program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.055470917,0.059894122,1,"4,5"
prio,0,0.038730126,0.044159638,1,"4,5"
baseline,1,0.034821792,0.038515969,1,"4,5"
prio,1,0.031614042,0.034605538,1,"4,5"
baseline,2,0.032263292,0.035793018,1,"4,5"
prio,2,0.031696292,0.060723404,1,"4,5"
baseline,3,0.031600916,0.034896355,1,"4,5"
prio,3,0.031667416,0.036254477,1,"4,5"
baseline,4,0.032211083,0.050030243,1,"4,5"
prio,4,0.031663333,0.035379689,1,"4,5"
baseline,5,0.032846042,0.035928071,1,"4,5"
prio,5,0.031647000,0.034548365,1,"4,5"
baseline,6,0.033972459,0.036738976,1,"4,5"
prio,6,0.031669166,0.036488412,1,"4,5"
baseline,7,0.033458542,0.036640968,1,"4,5"
prio,7,0.031652834,0.035031407,1,"4,5"
baseline,8,0.034848625,0.038277946,1,"4,5"
prio,8,0.075643459,0.157684067,1,"4,5"
baseline,9,0.049248791,0.069080102,1,"4,5"
prio,9,0.039043959,0.081279854,1,"4,5"
