program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.098870500,0.109051464,1,"6,7"
prio,0,0.062127042,0.070057043,1,"6,7"
baseline,1,0.040017333,0.046175509,1,"6,7"
prio,1,0.043763708,0.049640428,1,"6,7"
baseline,2,0.033875625,0.038179492,1,"6,7"
prio,2,0.038922334,0.063966890,1,"6,7"
baseline,3,0.105425833,0.147740418,1,"6,7"
prio,3,0.083532167,0.111090684,1,"6,7"
baseline,4,0.048725541,0.095781723,1,"6,7"
prio,4,0.053949292,0.074387275,1,"6,7"
baseline,5,0.038666834,0.069888723,1,"6,7"
prio,5,0.059439333,0.064459598,1,"6,7"
baseline,6,0.051033209,0.057135184,1,"6,7"
prio,6,0.054017375,0.059680978,1,"6,7"
baseline,7,0.038942750,0.044400610,1,"6,7"
prio,7,0.043735417,0.048662870,1,"6,7"
baseline,8,0.038469375,0.042759125,1,"6,7"
prio,8,0.038890833,0.043121436,1,"6,7"
baseline,9,0.033891667,0.038051123,1,"6,7"
prio,9,0.038916209,0.043783923,1,"6,7"
