program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.650841099,0.654071393,1,"0,1"
prio,0,0.548147735,0.551243729,1,"0,1"
baseline,1,0.545027518,0.548127939,1,"0,1"
prio,1,0.549786666,0.558545539,1,"0,1"
baseline,2,0.574024421,0.578033961,1,"0,1"
prio,2,0.549906569,0.553150891,1,"0,1"
baseline,3,0.555900807,0.559805293,1,"0,1"
prio,3,0.551157796,0.582286405,1,"0,1"
baseline,4,0.556734936,0.573495988,1,"0,1"
prio,4,0.546297522,0.549601457,1,"0,1"
baseline,5,0.578218839,0.597582536,1,"0,1"
prio,5,0.542675126,0.562482152,1,"0,1"
baseline,6,0.543812696,0.547102488,1,"0,1"
prio,6,0.531495988,0.534826962,1,"0,1"
baseline,7,0.618514448,0.621862679,1,"0,1"
prio,7,0.533413060,0.536791065,1,"0,1"
baseline,8,0.546318189,0.549632917,1,"0,1"
prio,8,0.543631572,0.569653197,1,"0,1"
baseline,9,0.549314482,0.558235403,1,"0,1"
prio,9,0.532263762,0.535623893,1,"0,1"
