program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.544851944,0.547778941,1,"0,1"
prio,0,0.562273601,0.576532501,1,"0,1"
baseline,1,0.577130552,0.580793487,1,"0,1"
prio,1,0.569903375,0.573231117,1,"0,1"
baseline,2,0.592154571,0.617091913,1,"0,1"
prio,2,0.562763409,0.582286271,1,"0,1"
baseline,3,0.555892297,0.559362669,1,"0,1"
prio,3,0.549540901,0.552897866,1,"0,1"
baseline,4,0.613448226,0.616746090,1,"0,1"
prio,4,0.553467922,0.556890678,1,"0,1"
baseline,5,0.537217095,0.540374039,1,"0,1"
prio,5,0.573386534,0.598644996,1,"0,1"
baseline,6,0.562848985,0.566229744,1,"0,1"
prio,6,0.570682597,0.574016705,1,"0,1"
baseline,7,0.564269411,0.567471214,1,"0,1"
prio,7,0.573865806,0.593507153,1,"0,1"
baseline,8,0.535745358,0.539444777,1,"0,1"
prio,8,0.545015809,0.548206801,1,"0,1"
baseline,9,0.580768917,0.605434955,1,"0,1"
prio,9,0.573211219,0.594346101,1,"0,1"
