program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.553126174,0.556500618,1,"0,1"
prio,0,0.545337768,0.576021269,1,"0,1"
baseline,1,0.551261248,0.581917859,1,"0,1"
prio,1,0.541842924,0.545156837,1,"0,1"
baseline,2,0.548991025,0.552240419,1,"0,1"
prio,2,0.537297990,0.557467314,1,"0,1"
baseline,3,0.553713986,0.556909506,1,"0,1"
prio,3,0.543578022,0.547601162,1,"0,1"
baseline,4,0.552537389,0.555780225,1,"0,1"
prio,4,0.532773342,0.563580890,1,"0,1"
baseline,5,0.567692327,0.582023278,1,"0,1"
prio,5,0.546022916,0.549588693,1,"0,1"
baseline,6,0.542128487,0.567066811,1,"0,1"
prio,6,0.544050520,0.587042201,1,"0,1"
baseline,7,0.553815198,0.569386491,1,"0,1"
prio,7,0.504290585,0.507502340,1,"0,1"
baseline,8,0.619180105,0.634506979,1,"0,1"
prio,8,0.543851286,0.547360485,1,"0,1"
baseline,9,0.539783530,0.543172217,1,"0,1"
prio,9,0.532219800,0.535651609,1,"0,1"
