program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.177759647,0.180854277,1,"0,1"
prio,0,0.169882126,0.173208190,1,"0,1"
baseline,1,0.246356268,0.271463683,1,"0,1"
prio,1,0.170814153,0.195792369,1,"0,1"
baseline,2,0.179360829,0.182538624,1,"0,1"
prio,2,0.170637712,0.173910891,1,"0,1"
baseline,3,0.178459053,0.181680888,1,"0,1"
prio,3,0.169044634,0.172199159,1,"0,1"
baseline,4,0.178393523,0.181573698,1,"0,1"
prio,4,0.163665633,0.166695921,1,"0,1"
baseline,5,0.180444707,0.184259087,1,"0,1"
prio,5,0.170927999,0.174301846,1,"0,1"
baseline,6,0.199542072,0.219982130,1,"0,1"
prio,6,0.171745153,0.192851524,1,"0,1"
baseline,7,0.188774926,0.215248787,1,"0,1"
prio,7,0.169024350,0.172307977,1,"0,1"
baseline,8,0.170136669,0.173638381,1,"0,1"
prio,8,0.157429908,0.160604384,1,"0,1"
baseline,9,0.173145060,0.176500679,1,"0,1"
prio,9,0.169171238,0.172429799,1,"0,1"
