program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.932657094,0.935516894,1,"0,1"
prio,0,0.831544785,0.834260674,1,"0,1"
baseline,1,0.933370336,0.936178601,1,"0,1"
prio,1,0.872842884,0.876098421,1,"0,1"
baseline,2,1.049428794,1.052197500,1,"0,1"
prio,2,0.868277213,0.870990159,1,"0,1"
baseline,3,0.949852420,0.952571239,1,"0,1"
prio,3,0.821540855,0.824316614,1,"0,1"
baseline,4,0.939573048,0.942298948,1,"0,1"
prio,4,0.836455657,0.839452348,1,"0,1"
baseline,5,0.850973809,0.855484605,1,"0,1"
prio,5,0.837873506,0.840706831,1,"0,1"
baseline,6,0.901437150,0.904436131,1,"0,1"
prio,6,0.844810089,0.847898570,1,"0,1"
baseline,7,0.910419266,0.913647534,1,"0,1"
prio,7,0.818655988,0.821593935,1,"0,1"
baseline,8,0.912466041,0.915386998,1,"0,1"
prio,8,0.816813736,0.820097476,1,"0,1"
baseline,9,0.931930102,0.936884748,1,"0,1"
prio,9,0.832588869,0.835389701,1,"0,1"
