program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.057728251,0.057728251,0,"1,2"
prio,0,0.058455670,0.058455670,0,"1,2"
baseline,1,0.059003424,0.059003424,0,"1,2"
prio,1,0.058985806,0.058985806,0,"1,2"
baseline,2,0.050597181,0.050597181,0,"1,2"
prio,2,0.059841466,0.059841466,0,"1,2"
baseline,3,0.067080095,0.067080095,0,"1,2"
prio,3,0.059950706,0.059950706,0,"1,2"
baseline,4,0.065835325,0.065835325,0,"1,2"
prio,4,0.059931300,0.059931300,0,"1,2"
baseline,5,0.066668366,0.066668366,0,"1,2"
prio,5,0.060455910,0.060455910,0,"1,2"
baseline,6,0.067092332,0.067092332,0,"1,2"
prio,6,0.060815224,0.060815224,0,"1,2"
baseline,7,0.051812326,0.051812326,0,"1,2"
prio,7,0.059686088,0.059686088,0,"1,2"
baseline,8,0.068409587,0.068409587,0,"1,2"
prio,8,0.059244957,0.059244957,0,"1,2"
baseline,9,0.068397342,0.068397342,0,"1,2"
prio,9,0.062550215,0.062550215,0,"1,2"
baseline,10,0.076833729,0.076833729,0,"1,2"
prio,10,0.060375086,0.060375086,0,"1,2"
baseline,11,0.066604910,0.066604910,0,"1,2"
prio,11,0.085028157,0.085028157,0,"1,2"
baseline,12,0.116939488,0.116939488,0,"1,2"
prio,12,0.092407525,0.092407525,0,"1,2"
baseline,13,0.086554419,0.086554419,0,"1,2"
prio,13,0.071226695,0.071226695,0,"1,2"
baseline,14,0.057771708,0.057771708,0,"1,2"
prio,14,0.059987805,0.059987805,0,"1,2"
baseline,15,0.057275710,0.057275710,0,"1,2"
prio,15,0.063141460,0.063141460,0,"1,2"
baseline,16,0.055691533,0.055691533,0,"1,2"
prio,16,0.060124200,0.060124200,0,"1,2"
baseline,17,0.068113008,0.068113008,0,"1,2"
prio,17,0.061828494,0.061828494,0,"1,2"
baseline,18,0.069548755,0.069548755,0,"1,2"
prio,18,0.060560332,0.060560332,0,"1,2"
baseline,19,0.075491401,0.075491401,0,"1,2"
prio,19,0.058153233,0.058153233,0,"1,2"
baseline,20,0.049627951,0.049627951,0,"1,2"
