program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.874616231,0.878431974,1,"0,1"
prio,0,0.810346527,0.824427608,1,"0,1"
baseline,1,0.880037514,0.905277305,1,"0,1"
prio,1,0.809478598,0.812895767,1,"0,1"
baseline,2,0.926448564,0.929775647,1,"0,1"
prio,2,0.819042129,0.822234739,1,"0,1"
baseline,3,0.909612820,0.912951762,1,"0,1"
prio,3,0.809815016,0.813100750,1,"0,1"
baseline,4,0.941817342,0.955814323,1,"0,1"
prio,4,0.802093766,0.810766900,1,"0,1"
baseline,5,0.846259792,0.849383527,1,"0,1"
prio,5,0.809869986,0.830000071,1,"0,1"
baseline,6,0.876806684,0.899796143,1,"0,1"
prio,6,0.807943572,0.822008566,1,"0,1"
baseline,7,0.881508406,0.886315882,1,"0,1"
prio,7,0.800535047,0.809221521,1,"0,1"
baseline,8,0.879070321,0.888334448,1,"0,1"
prio,8,0.802139465,0.805572026,1,"0,1"
baseline,9,0.894569397,0.897780990,1,"0,1"
prio,9,0.811824255,0.815170455,1,"0,1"
