program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.249116334,1.259726800,1,"0,1"
prio,0,1.078492334,1.086732365,1,"0,1"
baseline,1,1.212640334,1.221216346,1,"0,1"
prio,1,1.099620376,1.107880298,1,"0,1"
baseline,2,1.214648168,1.223037600,1,"0,1"
prio,2,1.081486875,1.089823636,1,"0,1"
baseline,3,1.216587751,1.224845145,1,"0,1"
prio,3,1.078708459,1.086967881,1,"0,1"
baseline,4,1.214906584,1.223196435,1,"0,1"
prio,4,1.101100292,1.109386204,1,"0,1"
baseline,5,1.210897917,1.219202093,1,"0,1"
prio,5,1.081201917,1.089938680,1,"0,1"
baseline,6,1.209601751,1.218230494,1,"0,1"
prio,6,1.079689334,1.087940579,1,"0,1"
baseline,7,1.217301458,1.227336384,1,"0,1"
prio,7,1.098841334,1.107994832,1,"0,1"
baseline,8,1.209084042,1.217553298,1,"0,1"
prio,8,1.079220625,1.087432412,1,"0,1"
baseline,9,1.216854043,1.225180240,1,"0,1"
prio,9,1.079768959,1.087983315,1,"0,1"
baseline,10,1.214038584,1.222366736,1,"0,1"
prio,10,1.082472125,1.090615872,1,"0,1"
baseline,11,1.212261459,1.220996960,1,"0,1"
prio,11,1.080880792,1.089454135,1,"0,1"
baseline,12,1.242366125,1.250631572,1,"0,1"
prio,12,1.081308959,1.089570680,1,"0,1"
baseline,13,1.215458126,1.223994198,1,"0,1"
prio,13,1.079416626,1.087597095,1,"0,1"
baseline,14,1.142274292,1.152233356,1,"0,1"
prio,14,1.079997917,1.088462779,1,"0,1"
baseline,15,1.206061792,1.214393601,1,"0,1"
prio,15,1.078967167,1.087141195,1,"0,1"
baseline,16,1.213925417,1.222226769,1,"0,1"
prio,16,1.079680292,1.087980602,1,"0,1"
baseline,17,1.241101459,1.250807640,1,"0,1"
prio,17,1.080211126,1.088553978,1,"0,1"
baseline,18,1.125302500,1.133865395,1,"0,1"
prio,18,1.080631126,1.089176966,1,"0,1"
baseline,19,1.205684376,1.215569381,1,"0,1"
prio,19,1.085282917,1.093550186,1,"0,1"
baseline,20,1.115161543,1.123510225,1,"0,1"
prio,20,1.084826459,1.093184261,1,"0,1"
baseline,21,1.114964667,1.123351419,1,"0,1"
prio,21,1.097983250,1.106517125,1,"0,1"
baseline,22,1.212694292,1.221763969,1,"0,1"
prio,22,1.079210709,1.087796709,1,"0,1"
baseline,23,1.182181000,1.191759542,1,"0,1"
prio,23,1.081846209,1.090371234,1,"0,1"
baseline,24,1.214019626,1.222357254,1,"0,1"
prio,24,1.096567792,1.105112159,1,"0,1"
baseline,25,1.219242501,1.227986539,1,"0,1"
prio,25,1.079463875,1.088213213,1,"0,1"
baseline,26,1.142620209,1.151084344,1,"0,1"
prio,26,1.080586208,1.088868008,1,"0,1"
baseline,27,1.113490001,1.121766680,1,"0,1"
prio,27,1.078794209,1.087039750,1,"0,1"
baseline,28,1.243188918,1.251434371,1,"0,1"
prio,28,1.079653459,1.087952404,1,"0,1"
baseline,29,1.201848959,1.210199147,1,"0,1"
prio,29,1.078377125,1.086805588,1,"0,1"
baseline,30,1.211457334,1.220054742,1,"0,1"
prio,30,1.079205751,1.087464156,1,"0,1"
baseline,31,1.213075792,1.221663351,1,"0,1"
prio,31,1.091151834,1.099495655,1,"0,1"
baseline,32,1.209931333,1.219212549,1,"0,1"
prio,32,1.080070251,1.088281329,1,"0,1"
baseline,33,1.206710459,1.214998655,1,"0,1"
prio,33,1.083131583,1.091788170,1,"0,1"
baseline,34,1.217027000,1.227174471,1,"0,1"
prio,34,1.084790292,1.092957238,1,"0,1"
baseline,35,1.178526709,1.186991849,1,"0,1"
prio,35,1.079940167,1.089743379,1,"0,1"
baseline,36,1.102402292,1.111839356,1,"0,1"
prio,36,1.085203292,1.093517740,1,"0,1"
baseline,37,1.216984126,1.225260459,1,"0,1"
prio,37,1.078299834,1.086891152,1,"0,1"
baseline,38,1.237414501,1.246960303,1,"0,1"
prio,38,1.079813584,1.088094072,1,"0,1"
baseline,39,1.213295709,1.221634512,1,"0,1"
prio,39,1.083370751,1.091567665,1,"0,1"
baseline,40,1.214025751,1.223862752,1,"0,1"
prio,40,1.080743126,1.089097662,1,"0,1"
baseline,41,1.216684001,1.225298099,1,"0,1"
prio,41,1.106649250,1.115782281,1,"0,1"
baseline,42,1.203946334,1.213638639,1,"0,1"
prio,42,1.096608043,1.105439926,1,"0,1"
baseline,43,1.234273543,1.243462293,1,"0,1"
prio,43,1.091032251,1.100637120,1,"0,1"
baseline,44,1.222321626,1.232526828,1,"0,1"
prio,44,1.105018543,1.114117790,1,"0,1"
baseline,45,1.250167625,1.259270009,1,"0,1"
prio,45,1.092043459,1.100990790,1,"0,1"
baseline,46,1.214306918,1.223440709,1,"0,1"
prio,46,1.086171042,1.096031351,1,"0,1"
baseline,47,1.311105834,1.339984393,1,"0,1"
prio,47,1.082278167,1.101328107,1,"0,1"
baseline,48,1.263320334,1.271769586,1,"0,1"
prio,48,1.088390042,1.097244393,1,"0,1"
baseline,49,1.327321042,1.336125603,1,"0,1"
prio,49,1.094790084,1.124376108,1,"0,1"
baseline,50,1.157231251,1.188225102,1,"0,1"
prio,50,1.082122125,1.111874569,1,"0,1"
baseline,51,1.171265667,1.224313141,1,"0,1"
prio,51,1.083635584,1.113452335,1,"0,1"
baseline,52,1.179045001,1.223775673,1,"0,1"
prio,52,1.097971292,1.149645379,1,"0,1"
baseline,53,1.213006667,1.256347127,1,"0,1"
prio,53,1.084552584,1.161925036,1,"0,1"
baseline,54,1.327081000,1.346126882,1,"0,1"
prio,54,1.085467251,1.093757091,1,"0,1"
baseline,55,1.328545459,1.338052815,1,"0,1"
