program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,3.081324626,3.091970425,1,"0,1"
prio,0,3.334372876,3.342686386,1,"0,1"
baseline,1,3.057316793,3.067294189,1,"0,1"
prio,1,3.940941752,3.949730217,1,"0,1"
baseline,2,3.062224960,3.072013508,1,"0,1"
prio,2,3.216092251,3.225774019,1,"0,1"
baseline,3,3.066259876,3.074719019,1,"0,1"
prio,3,3.151926751,3.160508439,1,"0,1"
baseline,4,3.056592001,3.064906806,1,"0,1"
prio,4,3.197435502,3.205740075,1,"0,1"
baseline,5,3.054450001,3.064410565,1,"0,1"
prio,5,3.448909918,3.457627285,1,"0,1"
baseline,6,3.060185627,3.068427928,1,"0,1"
prio,6,3.237282043,3.245466511,1,"0,1"
baseline,7,3.087740835,3.096055767,1,"0,1"
prio,7,3.609848335,3.618274678,1,"0,1"
baseline,8,3.356184418,3.364429652,1,"0,1"
prio,8,3.420087585,3.428793656,1,"0,1"
baseline,9,3.028061460,3.036509467,1,"0,1"
prio,9,3.758537710,3.767105078,1,"0,1"
baseline,10,3.062804502,3.072970095,1,"0,1"
prio,10,3.256698043,3.265036913,1,"0,1"
baseline,11,3.054396626,3.062827887,1,"0,1"
prio,11,3.198897043,3.207276969,1,"0,1"
baseline,12,3.072905210,3.081177969,1,"0,1"
prio,12,3.353051794,3.361728721,1,"0,1"
baseline,13,3.046355085,3.054999366,1,"0,1"
prio,13,3.605562751,3.614187496,1,"0,1"
baseline,14,3.058686459,3.068787878,1,"0,1"
prio,14,3.331589085,3.339959519,1,"0,1"
baseline,15,3.042532794,3.052827551,1,"0,1"
prio,15,3.377598293,3.386258035,1,"0,1"
baseline,16,3.060854127,3.069368983,1,"0,1"
prio,16,3.198075127,3.206361480,1,"0,1"
baseline,17,3.304279419,3.340890519,1,"0,1"
prio,17,3.584500210,3.627058050,1,"0,1"
baseline,18,3.072416377,3.082170344,1,"0,1"
prio,18,3.278930418,3.287583183,1,"0,1"
baseline,19,3.055992334,3.064603668,1,"0,1"
prio,19,3.407174835,3.415920617,1,"0,1"
baseline,20,3.044723793,3.053759254,1,"0,1"
prio,20,3.329814627,3.338045577,1,"0,1"
baseline,21,3.055724585,3.064366939,1,"0,1"
prio,21,3.244040335,3.252435642,1,"0,1"
baseline,22,3.065586418,3.075626801,1,"0,1"
prio,22,3.443867419,3.453616474,1,"0,1"
baseline,23,3.068116627,3.077352819,1,"0,1"
prio,23,3.671995294,3.680651656,1,"0,1"
baseline,24,3.069510960,3.080540689,1,"0,1"
prio,24,3.316426710,3.324745748,1,"0,1"
baseline,25,3.064129835,3.072660533,1,"0,1"
prio,25,3.577791335,3.586185700,1,"0,1"
baseline,26,3.067663960,3.080368052,1,"0,1"
prio,26,3.299864668,3.335460627,1,"0,1"
baseline,27,3.056657626,3.095634973,1,"0,1"
prio,27,3.202602085,3.211057797,1,"0,1"
baseline,28,3.055624835,3.064223118,1,"0,1"
prio,28,3.604160668,3.612891403,1,"0,1"
baseline,29,3.055623960,3.065562510,1,"0,1"
prio,29,3.326456502,3.356881238,1,"0,1"
baseline,30,3.702249835,3.962552118,1,"0,1"
prio,30,3.353605919,3.584740845,1,"0,1"
baseline,31,3.680882919,3.756664513,1,"0,1"
prio,31,3.369187043,3.405940551,1,"0,1"
baseline,32,3.608312460,3.643466504,1,"0,1"
prio,32,3.207416044,3.286499428,1,"0,1"
baseline,33,3.663208501,3.715632735,1,"0,1"
prio,33,3.162863084,3.275560103,1,"0,1"
baseline,34,3.674989377,3.717681204,1,"0,1"
prio,34,3.162442210,3.212038347,1,"0,1"
baseline,35,3.726572502,3.782100784,1,"0,1"
prio,35,3.236751293,3.357899561,1,"0,1"
baseline,36,3.588284585,3.642687349,1,"0,1"
prio,36,3.161355459,3.291219098,1,"0,1"
baseline,37,3.617477418,3.681240366,1,"0,1"
prio,37,3.210757377,3.284830341,1,"0,1"
baseline,38,3.764063626,3.813367290,1,"0,1"
prio,38,3.153311585,3.414372404,1,"0,1"
baseline,39,3.173914002,3.208963720,1,"0,1"
prio,39,3.393331960,3.401720107,1,"0,1"
baseline,40,3.067799002,3.076961134,1,"0,1"
prio,40,3.241708459,3.250402466,1,"0,1"
baseline,41,3.069223501,3.077665450,1,"0,1"
prio,41,3.318947960,3.327987699,1,"0,1"
baseline,42,3.070837626,3.083367583,1,"0,1"
prio,42,3.326618585,3.334912260,1,"0,1"
baseline,43,3.076152043,3.084489822,1,"0,1"
prio,43,3.199332794,3.207928006,1,"0,1"
baseline,44,3.341913752,3.351944132,1,"0,1"
prio,44,3.518606793,3.527281803,1,"0,1"
baseline,45,3.058652335,3.068373424,1,"0,1"
prio,45,3.384898210,3.393450580,1,"0,1"
baseline,46,3.018189418,3.026796879,1,"0,1"
prio,46,3.566491418,3.574762083,1,"0,1"
baseline,47,3.029497919,3.038194718,1,"0,1"
prio,47,3.395943669,3.404306165,1,"0,1"
baseline,48,3.062159043,3.070636300,1,"0,1"
prio,48,3.372675793,3.381070866,1,"0,1"
baseline,49,3.061675459,3.071269745,1,"0,1"
prio,49,3.281583710,3.290045155,1,"0,1"
baseline,50,3.056428668,3.064977765,1,"0,1"
prio,50,3.393958002,3.402530266,1,"0,1"
baseline,51,3.045128043,3.053527299,1,"0,1"
prio,51,3.425482835,3.433885993,1,"0,1"
baseline,52,3.036516294,3.044813580,1,"0,1"
prio,52,3.316139793,3.324884425,1,"0,1"
baseline,53,3.172399126,3.202943594,1,"0,1"
prio,53,3.825875627,3.859402667,1,"0,1"
baseline,54,3.022654543,3.032693211,1,"0,1"
prio,54,3.196269710,3.204566061,1,"0,1"
baseline,55,3.089507168,3.099401586,1,"0,1"
prio,55,3.333930751,3.342443546,1,"0,1"
baseline,56,3.059152543,3.068645743,1,"0,1"
prio,56,3.243463710,3.252009364,1,"0,1"
baseline,57,3.056019460,3.065758441,1,"0,1"
prio,57,3.507515377,3.516186981,1,"0,1"
baseline,58,3.044827043,3.053260008,1,"0,1"
prio,58,3.149374085,3.157619700,1,"0,1"
baseline,59,3.070323085,3.078767710,1,"0,1"
prio,59,3.782327543,3.790771367,1,"0,1"
baseline,60,3.098816001,3.108940676,1,"0,1"
prio,60,3.519351627,3.527759232,1,"0,1"
baseline,61,3.060594543,3.070307399,1,"0,1"
prio,61,3.210686001,3.219160924,1,"0,1"
baseline,62,3.062385085,3.070863563,1,"0,1"
prio,62,3.401900460,3.432275015,1,"0,1"
baseline,63,3.142414043,3.198039728,1,"0,1"
prio,63,3.199146418,3.207556034,1,"0,1"
baseline,64,3.036050501,3.044372483,1,"0,1"
prio,64,3.197592419,3.206353132,1,"0,1"
baseline,65,3.055142126,3.063573102,1,"0,1"
prio,65,3.197827210,3.206373497,1,"0,1"
baseline,66,3.072881293,3.082811639,1,"0,1"
prio,66,3.322540751,3.336212692,1,"0,1"
baseline,67,3.054522043,3.063115663,1,"0,1"
prio,67,3.482080501,3.490621079,1,"0,1"
baseline,68,3.057043793,3.066148694,1,"0,1"
prio,68,3.315545293,3.323976590,1,"0,1"
baseline,69,3.092035334,3.100860934,1,"0,1"
prio,69,3.650905502,3.659797304,1,"0,1"
baseline,70,3.088525544,3.099683033,1,"0,1"
prio,70,3.327353960,3.335869012,1,"0,1"
baseline,71,3.052944126,3.061510111,1,"0,1"
prio,71,3.180067335,3.258288781,1,"0,1"
baseline,72,3.178151085,3.208687860,1,"0,1"
prio,72,3.204882335,3.213539482,1,"0,1"
baseline,73,3.059881126,3.068526152,1,"0,1"
prio,73,3.584801710,3.593628549,1,"0,1"
baseline,74,3.090773001,3.099600675,1,"0,1"
prio,74,3.197239501,3.205722325,1,"0,1"
baseline,75,3.057207710,3.065424436,1,"0,1"
prio,75,3.152273835,3.160644901,1,"0,1"
baseline,76,3.055729543,3.064219501,1,"0,1"
prio,76,3.394684835,3.403376632,1,"0,1"
baseline,77,3.009065210,3.018744825,1,"0,1"
prio,77,3.329997251,3.338717912,1,"0,1"
baseline,78,3.033865627,3.042335964,1,"0,1"
prio,78,3.524892043,3.533640554,1,"0,1"
baseline,79,3.046080626,3.055882095,1,"0,1"
prio,79,3.242714127,3.251093475,1,"0,1"
baseline,80,3.067414876,3.075854937,1,"0,1"
prio,80,3.580009627,3.590606899,1,"0,1"
baseline,81,3.419776585,3.432519790,1,"0,1"
prio,81,3.341975544,3.350936503,1,"0,1"
baseline,82,3.051438835,3.059754349,1,"0,1"
prio,82,3.847835752,3.856726770,1,"0,1"
baseline,83,3.037703084,3.046664428,1,"0,1"
prio,83,4.004696961,4.013257439,1,"0,1"
baseline,84,3.069494918,3.080575487,1,"0,1"
prio,84,3.731515627,3.740803876,1,"0,1"
baseline,85,3.079883376,3.092649433,1,"0,1"
prio,85,3.338402168,3.377881829,1,"0,1"
baseline,86,3.269298960,3.318247082,1,"0,1"
prio,86,3.206030043,3.255857884,1,"0,1"
baseline,87,3.286282710,3.316482432,1,"0,1"
prio,87,3.361822502,3.436933998,1,"0,1"
baseline,88,3.366643293,3.409484998,1,"0,1"
prio,88,3.202246251,3.247659819,1,"0,1"
baseline,89,3.371550001,3.433387052,1,"0,1"
prio,89,3.231563418,3.292232264,1,"0,1"
baseline,90,3.510050252,3.535322311,1,"0,1"
prio,90,3.187601669,3.211536066,1,"0,1"
baseline,91,3.252132043,3.284207474,1,"0,1"
prio,91,3.211077626,3.240506481,1,"0,1"
baseline,92,3.234788960,3.277277638,1,"0,1"
prio,92,3.159246710,3.193658927,1,"0,1"
baseline,93,3.275307876,3.325126710,1,"0,1"
prio,93,3.206285543,3.260748328,1,"0,1"
baseline,94,3.360708752,3.380455959,1,"0,1"
prio,94,3.397435210,3.427071365,1,"0,1"
baseline,95,3.332856626,3.390603422,1,"0,1"
prio,95,3.172887377,3.217374823,1,"0,1"
baseline,96,3.334807294,3.365326937,1,"0,1"
prio,96,3.204958168,3.244882510,1,"0,1"
baseline,97,3.367026543,3.406182334,1,"0,1"
prio,97,3.205133168,3.239941285,1,"0,1"
baseline,98,3.363133669,3.417533814,1,"0,1"
prio,98,3.342093585,3.402280184,1,"0,1"
baseline,99,3.499962377,3.543783293,1,"0,1"
prio,99,3.204153460,3.273756890,1,"0,1"
