program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.156643691,0.156643691,0,"1,2"
prio,0,0.165095255,0.165095255,0,"1,2"
baseline,1,0.168856361,0.168856361,0,"1,2"
prio,1,0.163009195,0.163009195,0,"1,2"
baseline,2,0.163318971,0.163318971,0,"1,2"
prio,2,0.160717309,0.160717309,0,"1,2"
baseline,3,0.193698314,0.193698314,0,"1,2"
prio,3,0.201966180,0.201966180,0,"1,2"
baseline,4,0.171128888,0.171128888,0,"1,2"
prio,4,0.164188340,0.164188340,0,"1,2"
baseline,5,0.169983672,0.169983672,0,"1,2"
prio,5,0.162560247,0.162560247,0,"1,2"
baseline,6,0.173138755,0.173138755,0,"1,2"
prio,6,0.165528374,0.165528374,0,"1,2"
baseline,7,0.171176390,0.171176390,0,"1,2"
prio,7,0.156471214,0.156471214,0,"1,2"
baseline,8,0.154824740,0.154824740,0,"1,2"
prio,8,0.150591275,0.150591275,0,"1,2"
baseline,9,0.183945957,0.183945957,0,"1,2"
prio,9,0.203234629,0.203234629,0,"1,2"
baseline,10,0.167499309,0.167499309,0,"1,2"
prio,10,0.163574113,0.163574113,0,"1,2"
baseline,11,0.168345962,0.168345962,0,"1,2"
prio,11,0.164057280,0.164057280,0,"1,2"
baseline,12,0.165458522,0.165458522,0,"1,2"
prio,12,0.163038594,0.163038594,0,"1,2"
baseline,13,0.168117449,0.168117449,0,"1,2"
prio,13,0.162658916,0.162658916,0,"1,2"
baseline,14,0.163049966,0.163049966,0,"1,2"
prio,14,0.169760869,0.169760869,0,"1,2"
baseline,15,0.193425986,0.193425986,0,"1,2"
prio,15,0.185975515,0.185975515,0,"1,2"
baseline,16,0.183333565,0.183333565,0,"1,2"
prio,16,0.166394565,0.166394565,0,"1,2"
baseline,17,0.167052582,0.167052582,0,"1,2"
prio,17,0.159347789,0.159347789,0,"1,2"
baseline,18,0.158274498,0.158274498,0,"1,2"
prio,18,0.162561679,0.162561679,0,"1,2"
baseline,19,0.162788737,0.162788737,0,"1,2"
prio,19,0.152453063,0.152453063,0,"1,2"
baseline,20,0.164100051,0.164100051,0,"1,2"
prio,20,0.179708840,0.179708840,0,"1,2"
baseline,21,0.200022227,0.200022227,0,"1,2"
prio,21,0.165637492,0.165637492,0,"1,2"
baseline,22,0.166134844,0.166134844,0,"1,2"
prio,22,0.151046621,0.151046621,0,"1,2"
baseline,23,0.164879300,0.164879300,0,"1,2"
prio,23,0.164500084,0.164500084,0,"1,2"
baseline,24,0.161481897,0.161481897,0,"1,2"
prio,24,0.150249454,0.150249454,0,"1,2"
baseline,25,0.158497439,0.158497439,0,"1,2"
prio,25,0.160210947,0.160210947,0,"1,2"
baseline,26,0.170255213,0.170255213,0,"1,2"
prio,26,0.167367717,0.167367717,0,"1,2"
baseline,27,0.239342993,0.239342993,0,"1,2"
prio,27,0.162865478,0.162865478,0,"1,2"
baseline,28,0.157613603,0.157613603,0,"1,2"
prio,28,0.163447676,0.163447676,0,"1,2"
baseline,29,0.166029858,0.166029858,0,"1,2"
prio,29,0.161540735,0.161540735,0,"1,2"
baseline,30,0.160009420,0.160009420,0,"1,2"
prio,30,0.158442087,0.158442087,0,"1,2"
baseline,31,0.168620707,0.168620707,0,"1,2"
prio,31,0.163157389,0.163157389,0,"1,2"
baseline,32,0.166000186,0.166000186,0,"1,2"
prio,32,0.186169014,0.186169014,0,"1,2"
baseline,33,0.206048439,0.206048439,0,"1,2"
prio,33,0.196144190,0.196144190,0,"1,2"
baseline,34,0.166269193,0.166269193,0,"1,2"
prio,34,0.161358838,0.161358838,0,"1,2"
baseline,35,0.163735034,0.163735034,0,"1,2"
prio,35,0.162036380,0.162036380,0,"1,2"
baseline,36,0.165053017,0.165053017,0,"1,2"
prio,36,0.161602211,0.161602211,0,"1,2"
baseline,37,0.165148937,0.165148937,0,"1,2"
prio,37,0.161643978,0.161643978,0,"1,2"
baseline,38,0.165565487,0.165565487,0,"1,2"
prio,38,0.184202863,0.184202863,0,"1,2"
baseline,39,0.222957768,0.222957768,0,"1,2"
prio,39,0.164020805,0.164020805,0,"1,2"
baseline,40,0.167786564,0.167786564,0,"1,2"
prio,40,0.165009050,0.165009050,0,"1,2"
baseline,41,0.167525877,0.167525877,0,"1,2"
prio,41,0.164747378,0.164747378,0,"1,2"
baseline,42,0.168596852,0.168596852,0,"1,2"
prio,42,0.164701193,0.164701193,0,"1,2"
baseline,43,0.169311292,0.169311292,0,"1,2"
prio,43,0.164993360,0.164993360,0,"1,2"
baseline,44,0.189834599,0.189834599,0,"1,2"
prio,44,0.201840062,0.201840062,0,"1,2"
baseline,45,0.196441442,0.196441442,0,"1,2"
prio,45,0.191305302,0.191305302,0,"1,2"
baseline,46,0.167155931,0.167155931,0,"1,2"
prio,46,0.164805745,0.164805745,0,"1,2"
baseline,47,0.166256104,0.166256104,0,"1,2"
prio,47,0.160483968,0.160483968,0,"1,2"
baseline,48,0.164073247,0.164073247,0,"1,2"
prio,48,0.163105319,0.163105319,0,"1,2"
baseline,49,0.169851441,0.169851441,0,"1,2"
prio,49,0.160092556,0.160092556,0,"1,2"
baseline,50,0.179368869,0.179368869,0,"1,2"
prio,50,0.170011492,0.170011492,0,"1,2"
baseline,51,0.174991347,0.174991347,0,"1,2"
prio,51,0.162971365,0.162971365,0,"1,2"
baseline,52,0.167178124,0.167178124,0,"1,2"
prio,52,0.163836508,0.163836508,0,"1,2"
baseline,53,0.168407527,0.168407527,0,"1,2"
prio,53,0.162808360,0.162808360,0,"1,2"
baseline,54,0.167994866,0.167994866,0,"1,2"
prio,54,0.162262483,0.162262483,0,"1,2"
baseline,55,0.165991266,0.165991266,0,"1,2"
prio,55,0.163206605,0.163206605,0,"1,2"
baseline,56,0.194137635,0.194137635,0,"1,2"
prio,56,0.208888320,0.208888320,0,"1,2"
baseline,57,0.184618880,0.184618880,0,"1,2"
prio,57,0.164986798,0.164986798,0,"1,2"
baseline,58,0.164237779,0.164237779,0,"1,2"
prio,58,0.161059913,0.161059913,0,"1,2"
baseline,59,0.164624652,0.164624652,0,"1,2"
prio,59,0.150819210,0.150819210,0,"1,2"
baseline,60,0.154180953,0.154180953,0,"1,2"
prio,60,0.153585498,0.153585498,0,"1,2"
baseline,61,0.165018488,0.165018488,0,"1,2"
prio,61,0.164391252,0.164391252,0,"1,2"
baseline,62,0.194269905,0.194269905,0,"1,2"
prio,62,0.186460316,0.186460316,0,"1,2"
baseline,63,0.185062588,0.185062588,0,"1,2"
prio,63,0.163438570,0.163438570,0,"1,2"
baseline,64,0.168170525,0.168170525,0,"1,2"
prio,64,0.164101247,0.164101247,0,"1,2"
baseline,65,0.166331893,0.166331893,0,"1,2"
prio,65,0.160607781,0.160607781,0,"1,2"
baseline,66,0.163305800,0.163305800,0,"1,2"
prio,66,0.163621954,0.163621954,0,"1,2"
baseline,67,0.163246642,0.163246642,0,"1,2"
prio,67,0.160070145,0.160070145,0,"1,2"
baseline,68,0.194279679,0.194279679,0,"1,2"
prio,68,0.179376745,0.179376745,0,"1,2"
baseline,69,0.177746153,0.177746153,0,"1,2"
prio,69,0.163661955,0.163661955,0,"1,2"
baseline,70,0.165508475,0.165508475,0,"1,2"
prio,70,0.155722049,0.155722049,0,"1,2"
baseline,71,0.164899402,0.164899402,0,"1,2"
prio,71,0.161580485,0.161580485,0,"1,2"
baseline,72,0.162507626,0.162507626,0,"1,2"
prio,72,0.163639485,0.163639485,0,"1,2"
baseline,73,0.164246460,0.164246460,0,"1,2"
prio,73,0.160411476,0.160411476,0,"1,2"
baseline,74,0.189457566,0.189457566,0,"1,2"
prio,74,0.207911059,0.207911059,0,"1,2"
baseline,75,0.167586963,0.167586963,0,"1,2"
prio,75,0.163383149,0.163383149,0,"1,2"
baseline,76,0.168313016,0.168313016,0,"1,2"
prio,76,0.164087698,0.164087698,0,"1,2"
baseline,77,0.165872053,0.165872053,0,"1,2"
prio,77,0.160549174,0.160549174,0,"1,2"
baseline,78,0.163988723,0.163988723,0,"1,2"
prio,78,0.163804367,0.163804367,0,"1,2"
baseline,79,0.166452347,0.166452347,0,"1,2"
prio,79,0.180425877,0.180425877,0,"1,2"
baseline,80,0.225906472,0.225906472,0,"1,2"
prio,80,0.174387808,0.174387808,0,"1,2"
baseline,81,0.164657833,0.164657833,0,"1,2"
prio,81,0.162632667,0.162632667,0,"1,2"
baseline,82,0.163317366,0.163317366,0,"1,2"
prio,82,0.162158112,0.162158112,0,"1,2"
baseline,83,0.163679977,0.163679977,0,"1,2"
prio,83,0.163452264,0.163452264,0,"1,2"
baseline,84,0.159618327,0.159618327,0,"1,2"
prio,84,0.164898022,0.164898022,0,"1,2"
baseline,85,0.166828664,0.166828664,0,"1,2"
prio,85,0.184058170,0.184058170,0,"1,2"
baseline,86,0.195363480,0.195363480,0,"1,2"
prio,86,0.180457488,0.180457488,0,"1,2"
baseline,87,0.168414607,0.168414607,0,"1,2"
prio,87,0.164338207,0.164338207,0,"1,2"
baseline,88,0.166520097,0.166520097,0,"1,2"
prio,88,0.165418334,0.165418334,0,"1,2"
baseline,89,0.166375794,0.166375794,0,"1,2"
prio,89,0.164023413,0.164023413,0,"1,2"
baseline,90,0.165296724,0.165296724,0,"1,2"
prio,90,0.166047254,0.166047254,0,"1,2"
baseline,91,0.167984933,0.167984933,0,"1,2"
prio,91,0.183555223,0.183555223,0,"1,2"
baseline,92,0.204390890,0.204390890,0,"1,2"
prio,92,0.172000171,0.172000171,0,"1,2"
baseline,93,0.170345627,0.170345627,0,"1,2"
prio,93,0.163954553,0.163954553,0,"1,2"
baseline,94,0.165434691,0.165434691,0,"1,2"
prio,94,0.160529808,0.160529808,0,"1,2"
baseline,95,0.165877395,0.165877395,0,"1,2"
prio,95,0.157523198,0.157523198,0,"1,2"
baseline,96,0.160357061,0.160357061,0,"1,2"
prio,96,0.161624585,0.161624585,0,"1,2"
baseline,97,0.164684113,0.164684113,0,"1,2"
prio,97,0.185004137,0.185004137,0,"1,2"
baseline,98,0.207394027,0.207394027,0,"1,2"
prio,98,0.171252566,0.171252566,0,"1,2"
baseline,99,0.167387457,0.167387457,0,"1,2"
prio,99,0.164462799,0.164462799,0,"1,2"
