program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.658159621,1.658159621,0,"2,3"
prio,0,1.748381376,1.748381376,0,"2,3"
baseline,1,1.882484944,1.882484944,0,"2,3"
prio,1,1.735870815,1.735870815,0,"2,3"
baseline,2,2.055122068,2.055122068,0,"2,3"
prio,2,1.644122336,1.644122336,0,"2,3"
baseline,3,2.568773314,2.568773314,0,"2,3"
prio,3,1.833723542,1.833723542,0,"2,3"
baseline,4,2.332424520,2.332424520,0,"2,3"
prio,4,1.768612508,1.768612508,0,"2,3"
baseline,5,3.994080746,3.994080746,0,"2,3"
prio,5,2.999906213,2.999906213,0,"2,3"
baseline,6,3.140950881,3.140950881,0,"2,3"
prio,6,1.673299704,1.673299704,0,"2,3"
baseline,7,4.300386103,4.300386103,0,"2,3"
prio,7,1.650106169,1.650106169,0,"2,3"
baseline,8,3.899241689,3.899241689,0,"2,3"
prio,8,1.697576981,1.697576981,0,"2,3"
baseline,9,4.261401178,4.261401178,0,"2,3"
prio,9,1.761833314,1.761833314,0,"2,3"
baseline,10,4.585138711,4.585138711,0,"2,3"
prio,10,1.623781747,1.623781747,0,"2,3"
baseline,11,5.027497296,5.027497296,0,"2,3"
prio,11,1.906251478,1.906251478,0,"2,3"
baseline,12,5.098552955,5.098552955,0,"2,3"
prio,12,1.716129634,1.716129634,0,"2,3"
baseline,13,4.828401028,4.828401028,0,"2,3"
prio,13,2.593482131,2.593482131,0,"2,3"
baseline,14,3.881748736,3.881748736,0,"2,3"
prio,14,1.913372804,1.913372804,0,"2,3"
baseline,15,4.381168690,4.381168690,0,"2,3"
prio,15,1.695033236,1.695033236,0,"2,3"
baseline,16,4.467976163,4.467976163,0,"2,3"
prio,16,1.756788980,1.756788980,0,"2,3"
baseline,17,4.235318402,4.235318402,0,"2,3"
prio,17,1.794414278,1.794414278,0,"2,3"
baseline,18,5.788734079,5.788734079,0,"2,3"
prio,18,1.841057714,1.841057714,0,"2,3"
baseline,19,4.699050775,4.699050775,0,"2,3"
prio,19,2.347911487,2.347911487,0,"2,3"
baseline,20,4.309355868,4.309355868,0,"2,3"
prio,20,3.013151300,3.013151300,0,"2,3"
baseline,21,4.402276846,4.402276846,0,"2,3"
prio,21,1.929501869,1.929501869,0,"2,3"
baseline,22,4.530105615,4.530105615,0,"2,3"
prio,22,3.203534517,3.203534517,0,"2,3"
baseline,23,4.515640027,4.515640027,0,"2,3"
prio,23,1.880161553,1.880161553,0,"2,3"
baseline,24,4.313266673,4.313266673,0,"2,3"
prio,24,1.711668372,1.711668372,0,"2,3"
baseline,25,5.489648652,5.489648652,0,"2,3"
