program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.629455434,1.629455434,0,"0,1"
prio,0,1.621612008,1.621612008,0,"0,1"
baseline,1,1.638820741,1.638820741,0,"0,1"
prio,1,1.630952525,1.630952525,0,"0,1"
baseline,2,1.638809901,1.638809901,0,"0,1"
prio,2,1.678829734,1.678829734,0,"0,1"
baseline,3,1.657630691,1.657630691,0,"0,1"
prio,3,1.621875541,1.621875541,0,"0,1"
baseline,4,1.621009540,1.621009540,0,"0,1"
prio,4,1.631826824,1.631826824,0,"0,1"
baseline,5,1.641938548,1.641938548,0,"0,1"
prio,5,1.627143082,1.627143082,0,"0,1"
baseline,6,1.641757082,1.641757082,0,"0,1"
prio,6,1.658033915,1.658033915,0,"0,1"
baseline,7,1.616905849,1.616905849,0,"0,1"
prio,7,1.638594980,1.638594980,0,"0,1"
baseline,8,1.672883252,1.672883252,0,"0,1"
prio,8,1.663737800,1.663737800,0,"0,1"
baseline,9,1.656417056,1.656417056,0,"0,1"
prio,9,1.631022459,1.631022459,0,"0,1"
baseline,10,1.629462568,1.629462568,0,"0,1"
prio,10,1.626342511,1.626342511,0,"0,1"
baseline,11,1.645832131,1.645832131,0,"0,1"
prio,11,1.627550000,1.627550000,0,"0,1"
baseline,12,1.635855680,1.635855680,0,"0,1"
prio,12,1.643064960,1.643064960,0,"0,1"
baseline,13,1.629096392,1.629096392,0,"0,1"
prio,13,1.631596016,1.631596016,0,"0,1"
baseline,14,1.644669980,1.644669980,0,"0,1"
prio,14,1.642619201,1.642619201,0,"0,1"
baseline,15,1.636219568,1.636219568,0,"0,1"
prio,15,1.659198396,1.659198396,0,"0,1"
baseline,16,1.627092766,1.627092766,0,"0,1"
prio,16,1.678377152,1.678377152,0,"0,1"
baseline,17,1.647912398,1.647912398,0,"0,1"
prio,17,1.658222751,1.658222751,0,"0,1"
baseline,18,1.620462071,1.620462071,0,"0,1"
prio,18,1.633884251,1.633884251,0,"0,1"
baseline,19,1.643692676,1.643692676,0,"0,1"
