program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.876717807,0.876717807,0,"1,2"
prio,0,0.870210122,0.870210122,0,"1,2"
baseline,1,0.857429378,0.857429378,0,"1,2"
prio,1,0.864110404,0.864110404,0,"1,2"
baseline,2,0.857143253,0.857143253,0,"1,2"
prio,2,0.857630345,0.857630345,0,"1,2"
baseline,3,0.857667390,0.857667390,0,"1,2"
prio,3,0.858293026,0.858293026,0,"1,2"
baseline,4,0.860961238,0.860961238,0,"1,2"
prio,4,0.855674697,0.855674697,0,"1,2"
baseline,5,0.858082153,0.858082153,0,"1,2"
prio,5,0.906668472,0.906668472,0,"1,2"
baseline,6,0.856604550,0.856604550,0,"1,2"
prio,6,0.858146035,0.858146035,0,"1,2"
baseline,7,0.859570267,0.859570267,0,"1,2"
prio,7,0.856140507,0.856140507,0,"1,2"
baseline,8,0.857196650,0.857196650,0,"1,2"
prio,8,0.856837896,0.856837896,0,"1,2"
baseline,9,0.857449533,0.857449533,0,"1,2"
prio,9,0.934017841,0.934017841,0,"1,2"
baseline,10,0.895639522,0.895639522,0,"1,2"
prio,10,0.950260646,0.950260646,0,"1,2"
baseline,11,0.873014997,0.873014997,0,"1,2"
prio,11,0.856778406,0.856778406,0,"1,2"
baseline,12,0.856881367,0.856881367,0,"1,2"
prio,12,0.857263167,0.857263167,0,"1,2"
baseline,13,0.862344084,0.862344084,0,"1,2"
prio,13,0.857196669,0.857196669,0,"1,2"
baseline,14,0.856858625,0.856858625,0,"1,2"
prio,14,0.877861587,0.877861587,0,"1,2"
baseline,15,0.895478954,0.895478954,0,"1,2"
prio,15,0.871579574,0.871579574,0,"1,2"
baseline,16,0.858166778,0.858166778,0,"1,2"
prio,16,0.856474794,0.856474794,0,"1,2"
baseline,17,0.889472907,0.889472907,0,"1,2"
prio,17,0.856867387,0.856867387,0,"1,2"
baseline,18,0.891941533,0.891941533,0,"1,2"
prio,18,1.261344535,1.261344535,0,"1,2"
baseline,19,0.906079931,0.906079931,0,"1,2"
prio,19,0.877799188,0.877799188,0,"1,2"
baseline,20,0.889215039,0.889215039,0,"1,2"
prio,20,0.857403782,0.857403782,0,"1,2"
baseline,21,0.857166947,0.857166947,0,"1,2"
prio,21,0.858111963,0.858111963,0,"1,2"
baseline,22,0.861946484,0.861946484,0,"1,2"
prio,22,0.857275745,0.857275745,0,"1,2"
baseline,23,0.857902840,0.857902840,0,"1,2"
prio,23,0.856793907,0.856793907,0,"1,2"
baseline,24,0.860615678,0.860615678,0,"1,2"
prio,24,0.977064465,0.977064465,0,"1,2"
baseline,25,0.861634781,0.861634781,0,"1,2"
prio,25,0.856765331,0.856765331,0,"1,2"
baseline,26,0.857373759,0.857373759,0,"1,2"
prio,26,0.907703026,0.907703026,0,"1,2"
baseline,27,0.856320245,0.856320245,0,"1,2"
prio,27,1.007268586,1.007268586,0,"1,2"
baseline,28,0.891133599,0.891133599,0,"1,2"
prio,28,0.858053070,0.858053070,0,"1,2"
baseline,29,0.861566836,0.861566836,0,"1,2"
prio,29,0.857269353,0.857269353,0,"1,2"
baseline,30,0.857853863,0.857853863,0,"1,2"
prio,30,0.857699279,0.857699279,0,"1,2"
baseline,31,0.856128046,0.856128046,0,"1,2"
prio,31,0.856382094,0.856382094,0,"1,2"
