program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.586399534,0.586399534,0,"0,1"
prio,0,0.544893913,0.544893913,0,"0,1"
baseline,1,0.476221752,0.476221752,0,"0,1"
prio,1,0.530087394,0.530087394,0,"0,1"
baseline,2,0.601704269,0.601704269,0,"0,1"
prio,2,0.535467583,0.535467583,0,"0,1"
baseline,3,0.483745732,0.483745732,0,"0,1"
prio,3,0.549489471,0.549489471,0,"0,1"
baseline,4,0.623789742,0.623789742,0,"0,1"
prio,4,0.544168748,0.544168748,0,"0,1"
baseline,5,0.476279163,0.476279163,0,"0,1"
prio,5,0.548425998,0.548425998,0,"0,1"
baseline,6,0.603775667,0.603775667,0,"0,1"
prio,6,0.554886548,0.554886548,0,"0,1"
baseline,7,0.477611789,0.477611789,0,"0,1"
prio,7,0.547903583,0.547903583,0,"0,1"
baseline,8,0.597940126,0.597940126,0,"0,1"
prio,8,0.548989470,0.548989470,0,"0,1"
baseline,9,0.518597397,0.518597397,0,"0,1"
prio,9,0.563757165,0.563757165,0,"0,1"
baseline,10,0.487153838,0.487153838,0,"0,1"
prio,10,0.533853643,0.533853643,0,"0,1"
baseline,11,0.539910808,0.539910808,0,"0,1"
prio,11,0.534415100,0.534415100,0,"0,1"
baseline,12,0.476287820,0.476287820,0,"0,1"
prio,12,0.533271435,0.533271435,0,"0,1"
baseline,13,0.577704926,0.577704926,0,"0,1"
prio,13,0.552371641,0.552371641,0,"0,1"
baseline,14,0.476051834,0.476051834,0,"0,1"
prio,14,0.530368675,0.530368675,0,"0,1"
baseline,15,0.606861721,0.606861721,0,"0,1"
prio,15,0.556203906,0.556203906,0,"0,1"
baseline,16,0.479499097,0.479499097,0,"0,1"
prio,16,0.573669284,0.573669284,0,"0,1"
baseline,17,0.574513967,0.574513967,0,"0,1"
prio,17,0.533271364,0.533271364,0,"0,1"
baseline,18,0.477848788,0.477848788,0,"0,1"
prio,18,0.539998503,0.539998503,0,"0,1"
baseline,19,0.620960559,0.620960559,0,"0,1"
prio,19,0.556825116,0.556825116,0,"0,1"
baseline,20,0.480613240,0.480613240,0,"0,1"
prio,20,0.554764141,0.554764141,0,"0,1"
baseline,21,0.603112754,0.603112754,0,"0,1"
prio,21,0.557242184,0.557242184,0,"0,1"
baseline,22,0.585068668,0.585068668,0,"0,1"
prio,22,0.546078964,0.546078964,0,"0,1"
baseline,23,0.476401152,0.476401152,0,"0,1"
prio,23,0.530076595,0.530076595,0,"0,1"
baseline,24,0.563129862,0.563129862,0,"0,1"
prio,24,0.548655286,0.548655286,0,"0,1"
baseline,25,0.478824643,0.478824643,0,"0,1"
prio,25,0.532899090,0.532899090,0,"0,1"
baseline,26,0.605250941,0.605250941,0,"0,1"
prio,26,0.547062141,0.547062141,0,"0,1"
baseline,27,0.479961273,0.479961273,0,"0,1"
prio,27,0.566570394,0.566570394,0,"0,1"
baseline,28,0.579968688,0.579968688,0,"0,1"
prio,28,0.551821636,0.551821636,0,"0,1"
baseline,29,0.479070483,0.479070483,0,"0,1"
prio,29,0.569403097,0.569403097,0,"0,1"
baseline,30,0.587841501,0.587841501,0,"0,1"
prio,30,0.539147542,0.539147542,0,"0,1"
baseline,31,0.476494986,0.476494986,0,"0,1"
prio,31,0.547618593,0.547618593,0,"0,1"
baseline,32,0.616429522,0.616429522,0,"0,1"
prio,32,0.548549602,0.548549602,0,"0,1"
baseline,33,0.511531027,0.511531027,0,"0,1"
prio,33,0.559630253,0.559630253,0,"0,1"
baseline,34,0.478350285,0.478350285,0,"0,1"
prio,34,0.531567790,0.531567790,0,"0,1"
baseline,35,0.535064065,0.535064065,0,"0,1"
prio,35,0.547581214,0.547581214,0,"0,1"
baseline,36,0.494129780,0.494129780,0,"0,1"
prio,36,0.531539475,0.531539475,0,"0,1"
baseline,37,0.560173304,0.560173304,0,"0,1"
prio,37,0.535123542,0.535123542,0,"0,1"
baseline,38,0.482253708,0.482253708,0,"0,1"
prio,38,0.531925337,0.531925337,0,"0,1"
baseline,39,0.585073120,0.585073120,0,"0,1"
prio,39,0.555372338,0.555372338,0,"0,1"
baseline,40,0.478492275,0.478492275,0,"0,1"
prio,40,0.553217737,0.553217737,0,"0,1"
baseline,41,0.559136364,0.559136364,0,"0,1"
prio,41,0.549854735,0.549854735,0,"0,1"
