run,time_s,wall_s
1,0.678695400,0.704390733
2,0.532720606,0.543928352
3,0.460045547,0.464866284
4,0.465915718,0.470741121
5,0.460395555,0.483273639
6,0.533767128,0.544846832
7,0.460245931,0.465136961
8,0.463059683,0.469072187
9,0.460562981,0.476534881
10,0.536070169,0.547065872
11,0.460301647,0.465125009
12,0.465649143,0.470379754
13,0.460551320,0.478299497
14,0.717136452,0.733918906
15,0.972161940,0.982966014
16,1.008027847,1.016928477
17,0.550360396,0.556709781
18,0.462473445,0.467404726
19,0.460182370,0.483577880
20,0.851993327,0.885147271
21,0.479432365,0.485641456
22,0.460237211,0.480116336
23,0.530466326,0.536583541
24,0.464042353,0.469827938
25,0.539350044,0.544261490
26,0.460214175,0.471370589
27,0.579195509,0.585423266
28,0.459919591,0.465877845
29,0.469694070,0.474593267
30,0.460150014,0.481576745
31,0.931126942,0.957919836
32,0.575321838,0.581958227
33,0.459995435,0.480241191
34,0.460198148,0.471383146
35,0.459969771,0.464945094
36,0.543034454,0.548779497
37,0.459946733,0.474892244
38,0.460049985,0.466250910
39,0.464016712,0.469986050
40,0.825597710,0.842270789
41,0.625932728,0.649486742
42,0.459922825,0.464838355
43,0.754014206,0.760019711
44,0.789049393,0.797977150
45,0.464673859,0.470278900
46,0.532871784,0.539217670
47,0.464005644,0.480313844
48,0.460168422,0.471577424
49,0.460451637,0.466264055
50,0.533107462,0.538114286
51,0.460283929,0.486911739
52,0.970483642,1.005624745
53,0.472334903,0.478845291
54,0.460913070,0.487292085
55,0.503289947,0.529759673
56,0.460736904,0.465667310
57,0.467286376,0.472463828
58,0.460343442,0.492125955
59,1.098149559,1.128327881
60,0.587339621,0.593077955
61,0.459692731,0.480094533
62,0.459934820,0.471099985
63,0.460298534,0.466098704
64,0.531104002,0.536156619
65,0.459923449,0.465746951
66,0.470252978,0.475122717
67,0.460423084,0.466674177
68,0.858985628,0.865485225
69,0.612843434,0.622168448
70,0.459746413,0.465959297
71,0.472959694,0.478787572
72,0.460328592,0.465130663
73,0.460102547,0.464897327
74,0.459949130,0.465795093
75,0.460330928,0.464978998
76,0.473504252,0.478164572
77,0.460515559,0.465357298
78,0.469610155,0.475770539
79,0.460259475,0.466063145
80,0.469948788,0.475704332
81,0.460415231,0.466269942
82,0.480991746,0.486880001
83,0.460638362,0.466617034
84,0.469047530,0.475330707
85,0.460320152,0.465394935
86,0.706837703,0.712963669
87,0.545046917,0.551492847
88,0.466044493,0.471038775
89,0.460322783,0.466053244
90,0.466520795,0.471379742
91,0.484315935,0.490035020
92,0.460367413,0.465206818
93,0.460394248,0.466171960
94,0.465814372,0.471779336
95,0.460415251,0.466227380
96,0.473602575,0.479651832
97,0.460303836,0.466093215
98,0.470066650,0.475921945
99,0.460419925,0.465357915
100,0.463730100,0.469229848
avg,0.530039656,
min,0.459692731,
max,1.098149559,
