run,time_s,wall_s
1,0.814126634,0.823866125
2,0.476056438,0.481181979
3,0.459718174,0.465399641
4,0.471534074,0.476415195
5,0.459451588,0.465240973
6,0.473386482,0.479422621
7,0.459336380,0.465082014
8,0.468335026,0.474360082
9,0.459212129,0.465185559
10,0.459451883,0.465294936
11,0.465761904,0.471496164
12,0.486663369,0.491473905
13,0.470291854,0.476032531
14,0.459158465,0.463894625
15,0.466114830,0.470975826
16,0.459373428,0.465126356
17,0.485313518,0.491484410
18,0.458894506,0.464797643
19,0.472433894,0.477351765
20,0.458735838,0.464628767
21,0.556608807,0.561329218
22,0.458966261,0.463852048
23,0.468689128,0.474364763
24,0.459273976,0.465006777
25,0.532015078,0.537819631
26,0.459224685,0.463943637
27,0.472261815,0.477161312
28,0.458998059,0.464793861
29,0.459447233,0.464096183
30,0.459307524,0.464123894
31,0.472117149,0.477847618
32,0.494008257,0.499705767
33,0.459203399,0.464451151
34,0.458972397,0.463987978
35,0.459248318,0.464879909
36,0.472440034,0.477151986
37,0.459103067,0.463917395
38,0.472041322,0.477924917
39,0.459053485,0.463760478
40,0.471969572,0.476783025
41,0.459675622,0.464646578
42,0.472341162,0.478756184
43,0.458642232,0.463506144
44,0.468265931,0.474403572
45,0.459204868,0.465213007
46,0.468502187,0.474541826
47,0.459268453,0.465274843
48,0.463315978,0.469247408
49,0.459837798,0.465938689
50,0.459240746,0.465309262
51,0.465383640,0.471320320
52,0.483173556,0.487899800
53,0.459366169,0.464253415
54,0.459993262,0.473093976
55,0.531988273,0.538066122
56,0.459571215,0.465058138
57,0.472562554,0.478543860
58,0.459324171,0.464334212
59,0.463087318,0.468108441
60,0.459423341,0.465203977
61,0.755198885,0.761092691
62,0.476598999,0.482139006
63,0.458965129,0.464762974
64,0.459383969,0.464170298
65,0.478329489,0.484210752
66,0.459553432,0.465152649
67,0.465470280,0.470454653
68,0.459318639,0.464147259
69,0.469319178,0.475760450
70,0.459058178,0.464048968
71,0.466212296,0.471198127
72,0.459002178,0.465050278
73,0.552988342,0.557939465
74,0.459101057,0.464181681
75,0.471832224,0.476754471
76,0.459612650,0.465273118
77,0.459669234,0.464388478
78,0.459985700,0.464770278
79,0.482437401,0.488240204
80,0.460290789,0.466318764
81,0.458731806,0.463956225
82,0.458990812,0.464942075
83,0.462142613,0.468066460
84,0.473069794,0.479033600
85,0.459222984,0.465182123
86,0.469990620,0.475886758
87,0.459069274,0.465026956
88,0.469981871,0.475972511
89,0.459069859,0.464731786
90,0.468444181,0.473475805
91,0.459539743,0.465451632
92,0.476039599,0.481010555
93,0.459441453,0.465507343
94,0.468751897,0.474636078
95,0.458926362,0.464876752
96,0.469041237,0.474740205
97,0.459075116,0.464314119
98,0.458983240,0.463630441
99,0.461668369,0.467460380
100,0.459180119,0.464822212
avg,0.474301575,
min,0.458642232,
max,0.814126634,
