run,time_s,wall_s
1,0.374337926,0.412642370
2,0.273062376,0.309316379
3,0.274718479,0.279834080
4,0.283476750,0.289668322
5,0.273255757,0.279261243
6,0.273347925,0.278258481
7,0.283614420,0.288389351
8,0.273278802,0.293384203
9,0.273377387,0.294700509
10,0.288904734,0.299879987
11,0.275077535,0.279923925
12,0.283078337,0.287667765
13,0.273361056,0.277846067
14,0.273424351,0.278089905
15,0.277502483,0.313037815
16,0.275525252,0.322346173
17,0.273396062,0.279302089
18,0.278236328,0.283368555
19,0.284506069,0.290481805
20,0.284186981,0.289105998
21,0.278343375,0.283238474
22,0.284337195,0.305692112
23,0.283864981,0.315546477
24,0.275109631,0.296519672
25,0.273315570,0.278137751
26,0.281692335,0.286121053
27,0.274859963,0.279617102
28,0.278318007,0.283237315
29,0.274962343,0.289989769
30,0.275324598,0.317357465
31,0.283949284,0.305767664
32,0.275855732,0.282004137
33,0.273476579,0.279322231
34,0.273415912,0.278092842
35,0.274998517,0.279842282
36,0.284244167,0.300423690
37,0.278069512,0.304316611
38,0.273504878,0.283671330
39,0.273407752,0.279294821
40,0.273529087,0.278454520
41,0.283718291,0.288620973
42,0.273499048,0.278141853
43,0.273590633,0.288369264
44,0.283615626,0.299579313
45,0.284192843,0.291028715
46,0.278180357,0.283058831
47,0.278640320,0.283169374
48,0.275043445,0.279725042
49,0.288445398,0.293092578
50,0.275088657,0.295017600
51,0.353296204,0.383175472
52,0.284510188,0.289579123
53,0.281530779,0.287351347
54,0.274930284,0.279735549
55,0.275451500,0.280049388
56,0.276598932,0.291145687
57,0.273457645,0.299007072
58,0.284108271,0.300522590
59,0.278422457,0.283542434
60,0.273677568,0.279729430
61,0.276793479,0.281701995
62,0.281816625,0.286614597
63,0.273513360,0.309103824
64,0.279587391,0.326637864
65,0.274932046,0.301135981
66,0.274837255,0.279666145
67,0.273475739,0.278023459
68,0.283598734,0.288152288
69,0.293551105,0.298249036
70,0.273463200,0.305149368
71,0.290107064,0.311654778
72,0.273335451,0.299785556
73,0.284735963,0.289900274
74,0.274981056,0.280784999
75,0.275017223,0.279872947
76,0.273496166,0.277945885
77,0.274815973,0.284461213
78,0.273576084,0.304648869
79,0.273529419,0.278556937
80,0.275016646,0.280782672
81,0.274927686,0.279571075
82,0.276606831,0.281208219
83,0.275983244,0.280455422
84,0.273589507,0.298233301
85,0.361747681,0.396542763
86,0.275156071,0.280316007
87,0.282925871,0.289197947
88,0.283193042,0.289187738
89,0.277290514,0.281997487
90,0.283818970,0.313874120
91,0.287950477,0.329395055
92,0.284105974,0.292268946
93,0.275172703,0.279979135
94,0.283251383,0.288051399
95,0.278436492,0.284389771
96,0.275376875,0.280030472
97,0.273617230,0.299248619
98,0.273548687,0.320677042
99,0.273605272,0.279750179
100,0.275082875,0.279994309
avg,0.280438142,
min,0.273062376,
max,0.374337926,
