run,time_s,wall_s
1,0.460374559,0.471508493
2,0.275349960,0.281329786
3,0.275454087,0.290911450
4,0.326965992,0.349019481
5,0.275529632,0.303617781
6,0.276697772,0.282580764
7,0.275674009,0.281482333
8,0.288444506,0.293821742
9,0.275700555,0.280264321
10,0.275692096,0.296401568
11,0.326253740,0.346750876
12,0.275837643,0.284522420
13,0.275675474,0.281788010
14,0.317012168,0.322712865
15,0.275706976,0.281381715
16,0.275636684,0.310988302
17,0.275475974,0.322489157
18,0.275533726,0.296759455
19,0.275753355,0.281545055
20,0.275468394,0.280194621
21,0.342396832,0.349461089
22,0.275685107,0.281604267
23,0.275814901,0.287007169
24,0.333616973,0.355012746
25,0.275692985,0.284808268
26,0.275847279,0.280740342
27,0.275792737,0.281471559
28,0.314764279,0.320637353
29,0.275857490,0.291828778
30,0.275794199,0.317603108
31,0.279153075,0.295063987
32,0.275860410,0.280752890
33,0.275812576,0.281357523
34,0.463419940,0.469104013
35,0.390450925,0.422085205
36,0.275627369,0.297215937
37,0.275721579,0.307720448
38,0.275793623,0.280626019
39,0.275844083,0.281863869
40,0.341599135,0.347343584
41,0.275685417,0.280506145
42,0.275840586,0.297636241
43,0.298020079,0.348419268
44,0.275765337,0.302330971
45,0.275795379,0.281476827
46,0.275910006,0.280462398
47,0.288521545,0.293826738
48,0.275944135,0.280420692
49,0.275826883,0.290444821
50,0.312622273,0.347199218
51,0.275853719,0.281874380
52,0.275851678,0.281653003
53,0.331282767,0.336810504
54,0.276752942,0.282563016
55,0.275801805,0.286787280
56,0.275828055,0.312633947
57,0.287006909,0.292736191
58,0.275865101,0.281860386
59,0.275824267,0.281714550
60,0.338964789,0.343751393
61,0.275832144,0.280444621
62,0.275880853,0.296697372
63,0.315920495,0.348139578
64,0.446652146,0.478776728
65,0.275723062,0.281767641
66,0.293439125,0.299186199
67,0.275718982,0.281472473
68,0.275773816,0.291378476
69,0.275914693,0.297269927
70,0.294411851,0.305432035
71,0.275886404,0.281748397
72,0.275868612,0.280745341
73,0.343431154,0.349184937
74,0.275751072,0.281561146
75,0.275910032,0.302396042
76,0.363492542,0.369702498
77,0.280046505,0.286198419
78,0.275819326,0.280513761
79,0.335579100,0.341166631
80,0.275755160,0.281438359
81,0.275906538,0.295867880
82,0.275794536,0.322948898
83,0.278859994,0.284647902
84,0.275921415,0.281880827
85,0.275897207,0.281410070
86,0.337000125,0.342725617
87,0.275704707,0.281309156
88,0.276083296,0.306655902
89,0.295526924,0.343012915
90,0.325018018,0.351668239
91,0.275813212,0.281627079
92,0.275904212,0.280663983
93,0.281312368,0.287109902
94,0.275856382,0.307236332
95,0.275854340,0.318094057
96,0.275893134,0.300766207
97,0.275879135,0.281685128
98,0.275936011,0.280561321
99,0.337109807,0.342667005
100,0.275891680,0.280913370
avg,0.293237166,
min,0.275349960,
max,0.463419940,
