run,time_s,wall_s
1,0.498178913,0.532036022
2,0.275463510,0.281438963
3,0.477288061,0.483428307
4,0.297623844,0.336101888
5,0.275520680,0.322606795
6,0.275675850,0.302156320
7,0.275732728,0.281643721
8,0.275693060,0.281092172
9,0.336828651,0.341319209
10,0.275694813,0.280405875
11,0.275819648,0.296592128
12,0.275918524,0.292148820
13,0.293260961,0.308438035
14,0.275831609,0.281724228
15,0.275870110,0.281524725
16,0.474862549,0.480636166
17,0.277663595,0.309241299
18,0.275681985,0.322750894
19,0.275739154,0.296853472
20,0.275867199,0.281953779
21,0.275806239,0.281714609
22,0.415434738,0.421423024
23,0.284964112,0.291263320
24,0.275745575,0.296861935
25,0.308977928,0.336094533
26,0.275747328,0.305263799
27,0.275793121,0.280508265
28,0.299228553,0.304681041
29,0.275670329,0.281222569
30,0.275846207,0.302576058
31,0.275814414,0.317816717
32,0.275853792,0.286766644
33,0.275876543,0.280644189
34,0.275746166,0.281676995
35,0.338820788,0.343677685
36,0.275689002,0.280338813
37,0.275936922,0.311672683
38,0.286964692,0.334119937
39,0.275773297,0.291947885
40,0.275856131,0.281715501
41,0.275846798,0.280477943
42,0.304298674,0.309801622
43,0.275927594,0.296201319
44,0.275563006,0.322299122
45,0.276916649,0.287858085
46,0.275919429,0.281852883
47,0.275611718,0.280251028
48,0.355708523,0.361324932
49,0.287794214,0.292952991
50,0.275799847,0.302336323
51,0.275872766,0.292180939
52,0.291544224,0.297295383
53,0.275879477,0.280914002
54,0.275916811,0.281869222
55,0.501238871,0.507258659
56,0.283870960,0.305668957
57,0.275713519,0.312561131
58,0.295724451,0.301722947
59,0.275847982,0.281953229
60,0.275869274,0.281712018
61,0.335657356,0.341160013
62,0.275827276,0.280731133
63,0.276014528,0.292487787
64,0.328937270,0.357344522
65,0.275910988,0.292198453
66,0.275814153,0.281761315
67,0.275878029,0.281887317
68,0.291279109,0.296936643
69,0.275720530,0.301977586
70,0.275845657,0.322804612
71,0.275963200,0.302454760
72,0.275937827,0.281849989
73,0.275791116,0.281395274
74,0.337742814,0.343300595
75,0.284108688,0.289326966
76,0.275863745,0.307298246
77,0.275774202,0.292126711
78,0.282496918,0.301148374
79,0.275924999,0.280804647
80,0.275908082,0.281453614
81,0.512770939,0.518377430
82,0.284893288,0.311997939
83,0.275735708,0.322849834
84,0.485097036,0.495775969
85,0.275884170,0.280774610
86,0.467085756,0.472201950
87,0.297721672,0.336135559
88,0.275935507,0.330344314
89,0.275843923,0.281995255
90,0.275764883,0.281645252
91,0.275618172,0.281325581
92,0.495773440,0.501401223
93,0.391389718,0.412918506
94,0.275512007,0.317435274
95,0.275690803,0.291860435
96,0.275780346,0.281658966
97,0.275583177,0.280480326
98,0.493100623,0.497798852
99,0.285841525,0.316546852
100,0.275576180,0.322767310
avg,0.304116215,
min,0.275463510,
max,0.512770939,
