run,time_s,wall_s
1,0.448690120,0.459224886
2,0.275068386,0.281245968
3,0.275445224,0.285170105
4,0.343057379,0.364413789
5,0.275439685,0.286450248
6,0.275470311,0.281335806
7,0.275470894,0.281054927
8,0.312142927,0.318163008
9,0.275599815,0.281456269
10,0.275757901,0.293534348
11,0.319895533,0.330962681
12,0.275771320,0.280686845
13,0.275676236,0.281546981
14,0.399561271,0.405565018
15,0.416169789,0.424095353
16,0.275441736,0.292926219
17,0.295928385,0.306956741
18,0.275672741,0.280372721
19,0.275728159,0.280395763
20,0.275711241,0.281273107
21,0.322021239,0.327818484
22,0.275689660,0.306982997
23,0.275582034,0.327440189
24,0.275708329,0.286694976
25,0.275782998,0.281696035
26,0.275785914,0.281675910
27,0.499606840,0.505555170
28,0.333307940,0.364977241
29,0.275394495,0.333074979
30,0.275589041,0.291697132
31,0.275586709,0.281424496
32,0.275625209,0.281135742
33,0.343292204,0.349055906
34,0.275738671,0.281607375
35,0.275689088,0.301123347
36,0.296528076,0.339674324
37,0.275691715,0.281479918
38,0.275660215,0.280353778
39,0.279004510,0.283662780
40,0.306248295,0.311834953
41,0.275732843,0.290489917
42,0.275754718,0.307793276
43,0.290519668,0.318448586
44,0.275677720,0.281571799
45,0.275794096,0.281537382
46,0.360443031,0.364957800
47,0.275691431,0.280653040
48,0.276148479,0.307608654
49,0.275745681,0.297371307
50,0.275691432,0.294020596
51,0.275778352,0.281649098
52,0.275725268,0.281495970
53,0.527445213,0.533306917
54,0.293439593,0.315597684
55,0.275547934,0.322630862
56,0.275634854,0.302341674
57,0.275610645,0.281481392
58,0.275687939,0.281382808
59,0.316238030,0.322168860
60,0.275836110,0.280829219
61,0.275874610,0.297270400
62,0.310272202,0.335054578
63,0.275752695,0.282785748
64,0.275791196,0.280673469
65,0.275763195,0.281291812
66,0.313061452,0.318872989
67,0.275696113,0.301692132
68,0.275703114,0.317130258
69,0.289175963,0.294020904
70,0.275676282,0.280395221
71,0.275841951,0.280529681
72,0.410996576,0.416688529
73,0.297979004,0.303428578
74,0.275649742,0.297057492
75,0.333329650,0.339321440
76,0.275624078,0.280419726
77,0.275752413,0.280684855
78,0.275643037,0.281263238
79,0.318882334,0.324695913
80,0.275607747,0.296529282
81,0.275715665,0.297034747
82,0.299165692,0.304946313
83,0.275783043,0.280746694
84,0.275797919,0.281364453
85,0.452933579,0.458493696
86,0.363559908,0.379840671
87,0.275561959,0.306159960
88,0.295752568,0.306757011
89,0.275764089,0.280643448
90,0.275623213,0.281585836
91,0.479839621,0.486031789
92,0.362545484,0.382024125
93,0.275487881,0.322541938
94,0.275603091,0.286995747
95,0.275574509,0.281759385
96,0.275621468,0.281150085
97,0.335427659,0.341140321
98,0.275516469,0.281108087
99,0.275736097,0.295635619
100,0.316781740,0.364399016
avg,0.300772403,
min,0.275068386,
max,0.527445213,
