run,time_s,wall_s
1,0.557090069,0.567919216
2,0.275281388,0.305901847
3,0.275382597,0.327361516
4,0.275540100,0.286568459
5,0.275619436,0.280508420
6,0.275630228,0.281472683
7,0.471773620,0.477868954
8,0.371894590,0.410442659
9,0.275364227,0.322272453
10,0.275625273,0.281350185
11,0.275648900,0.280355589
12,0.275647441,0.280310381
13,0.340432745,0.344882182
14,0.275605443,0.280418301
15,0.275648320,0.291525411
16,0.326764478,0.353484427
17,0.460554273,0.488334154
18,0.275339734,0.280261676
19,0.291278661,0.296990448
20,0.275606615,0.281295069
21,0.275575990,0.290955784
22,0.412783997,0.419076500
23,0.373781924,0.380504349
24,0.275507158,0.281259778
25,0.308799906,0.314177439
26,0.275561994,0.280114099
27,0.275683037,0.295589561
28,0.275641912,0.312470002
29,0.275705206,0.292611022
30,0.275752458,0.280699484
31,0.275698206,0.281156532
32,0.343465265,0.348022326
33,0.275747502,0.281764668
34,0.275586791,0.301035058
35,0.316881526,0.330453254
36,0.275582419,0.281393082
37,0.275602252,0.280509904
38,0.275772879,0.281333581
39,0.504263736,0.509197637
40,0.276469683,0.302952215
41,0.333743305,0.351228963
42,0.275446796,0.281844593
43,0.275397504,0.281122416
44,0.275431338,0.280013776
45,0.317587378,0.322252943
46,0.275606926,0.291623730
47,0.275547425,0.322553948
48,0.283270282,0.299237503
49,0.275741389,0.280472288
50,0.275764431,0.280727791
51,0.434962086,0.440830209
52,0.317435217,0.323423591
53,0.275624723,0.295850919
54,0.313418537,0.339991487
55,0.275636684,0.283112787
56,0.275744019,0.281492848
57,0.320948893,0.325531040
58,0.324953826,0.330754864
59,0.275689187,0.291870202
60,0.275725354,0.302289555
61,0.275732064,0.303457697
62,0.275764732,0.280582841
63,0.275734981,0.280376046
64,0.343420377,0.347908023
65,0.275743734,0.280430590
66,0.275765318,0.297007695
67,0.303540827,0.334978554
68,0.275716028,0.285472704
69,0.275769112,0.280638554
70,0.275784279,0.280621346
71,0.341274854,0.346959807
72,0.275626779,0.311252606
73,0.275515652,0.322333468
74,0.275590321,0.296846699
75,0.275619781,0.280355638
76,0.275684824,0.280322097
77,0.348754171,0.353196316
78,0.275634367,0.280368766
79,0.275715452,0.295616728
80,0.325054762,0.346477100
81,0.275709620,0.281641619
82,0.275720704,0.280785566
83,0.275770579,0.281591744
84,0.316862318,0.323314366
85,0.275792166,0.284203366
86,0.275758915,0.298038766
87,0.291768138,0.318421008
88,0.275795668,0.280728987
89,0.275931586,0.280661027
90,0.362593083,0.367655320
91,0.502834079,0.522474893
92,0.275332206,0.296541334
93,0.288527098,0.294063883
94,0.275732089,0.280573531
95,0.275759505,0.280105108
96,0.344760050,0.349222320
97,0.275694174,0.280459198
98,0.275785466,0.301322989
99,0.275813176,0.302424921
100,0.286609952,0.292440158
avg,0.302512603,
min,0.275281388,
max,0.557090069,
