run,time_s,wall_s
1,0.581228980,0.606825189
2,0.288715708,0.321025978
3,0.288597286,0.317251122
4,0.288713956,0.294842333
5,0.288758582,0.293743011
6,0.323143534,0.328113379
7,0.288700245,0.319481264
8,0.288726787,0.336511861
9,0.288864457,0.305759133
10,0.288968584,0.294429318
11,0.288839080,0.294993417
12,0.288795329,0.293756133
13,0.294357273,0.299213366
14,0.288731158,0.309058262
15,0.288792410,0.331537342
16,0.288672238,0.312293226
17,0.288924828,0.294118972
18,0.288713364,0.294692696
19,0.319156913,0.324329181
20,0.288797072,0.311728248
21,0.289216208,0.331734218
22,0.288806113,0.319367792
23,0.288816612,0.295150912
24,0.288854238,0.294011047
25,0.288882239,0.294045174
26,0.310532961,0.315461389
27,0.288823610,0.293929085
28,0.288966822,0.306750231
29,0.288823025,0.326078055
30,0.288844900,0.300519181
31,0.288818066,0.295195534
32,0.296556779,0.302796868
33,0.288900025,0.293990916
34,0.288960401,0.294065292
35,0.288919567,0.310797504
36,0.288966233,0.335018171
37,0.288991608,0.315016868
38,0.288845479,0.295221488
39,0.292742835,0.299164345
40,0.288922771,0.295166068
41,0.288994815,0.309437712
42,0.304492658,0.325915582
43,0.288959228,0.305753859
44,0.288717721,0.293805695
45,0.297551381,0.302356722
46,0.288985768,0.293870153
47,0.288872599,0.295133396
48,0.289032144,0.315743423
49,0.289046143,0.336648915
50,0.288828845,0.325303643
51,0.289046434,0.294173201
52,0.288933555,0.294227159
53,0.289085517,0.294992513
54,0.289524487,0.315129443
55,0.289072973,0.311128832
56,0.289006762,0.300664126
57,0.288956886,0.294311159
58,0.340398971,0.346524431
59,0.288823005,0.293700389
60,0.288941716,0.294039607
61,0.289095138,0.314713802
62,0.289077344,0.331153753
63,0.289074426,0.299592508
64,0.288990424,0.295369642
65,0.288768166,0.295135133
66,0.288925379,0.294930961
67,0.288927420,0.320600960
68,0.288994213,0.321105264
69,0.289022504,0.300604323
70,0.289184384,0.295709438
71,0.307094084,0.313325423
72,0.293517501,0.298558807
73,0.289007627,0.293929638
74,0.289175923,0.314963175
75,0.289074418,0.328298540
76,0.288990415,0.321031465
77,0.289037959,0.295332882
78,0.313865599,0.320125813
79,0.288989830,0.295180626
80,0.288963580,0.320156730
81,0.288991870,0.331770631
82,0.288909909,0.310777636
83,0.288967661,0.294209055
84,0.316837468,0.322852384
85,0.288986618,0.295325001
86,0.288967367,0.294870863
87,0.289065953,0.315692352
88,0.289004700,0.337097772
89,0.289062159,0.309619683
90,0.289160454,0.295780594
91,0.289049907,0.295210368
92,0.288864985,0.294084212
93,0.288916612,0.318362629
94,0.288880151,0.341613475
95,0.289149949,0.305871951
96,0.289084906,0.295310994
97,0.318101285,0.323142007
98,0.288864689,0.294078957
99,0.289138280,0.294017122
100,0.289322618,0.315188621
avg,0.294697638,
min,0.288597286,
max,0.581228980,
