run,time_s,wall_s
1,0.657352539,0.692426226
2,0.591639982,0.597525847
3,0.592283995,0.612664314
4,0.592094130,0.598363248
5,0.568764758,0.574629914
6,0.588997799,0.603896214
7,0.586832458,0.592048362
8,0.589484316,0.595481891
9,0.565095900,0.571073058
10,0.593436728,0.608641687
11,0.566107424,0.572384417
12,0.593028119,0.598832901
13,0.593284798,0.613663953
14,0.593471767,0.604890872
15,0.596676040,0.602738074
16,0.593402952,0.619070346
17,0.608612294,0.630206541
18,0.593333259,0.599779712
19,0.579322399,0.585700018
20,0.591113678,0.597427713
21,0.593683874,0.599502656
22,0.593759129,0.598893366
23,0.593504221,0.614758967
24,0.593966234,0.600167685
25,0.593798529,0.599638313
26,0.593959836,0.614394995
27,0.593991050,0.605267532
28,0.583576457,0.589743201
29,0.593890736,0.630775700
30,0.583192637,0.604683929
31,0.594048546,0.599996831
32,0.589156983,0.595079309
33,0.593850518,0.613805593
34,0.588100870,0.603386044
35,0.589137465,0.595043166
36,0.594327133,0.614714170
37,0.588084270,0.604504617
38,0.594505065,0.600498850
39,0.584293766,0.605573018
40,0.675742609,0.705817705
41,0.589500064,0.594540385
42,0.594432769,0.600397389
43,0.594284606,0.600375809
44,0.583135012,0.589297966
45,0.590989647,0.597239810
46,0.569703694,0.591024073
47,0.594332187,0.626529756
48,0.594662360,0.601705278
49,0.594674333,0.615988587
50,0.594908839,0.611573899
51,0.594769722,0.600703717
52,0.571145754,0.592331092
53,0.652186716,0.663532619
54,0.589636386,0.596426427
55,0.594798924,0.600014248
56,0.588959436,0.605282663
57,0.592125218,0.598269798
58,0.595041616,0.600775526
59,0.594925251,0.615364504
60,0.588313135,0.614925842
61,0.588253349,0.594313054
62,0.590260332,0.611664425
63,0.595109909,0.601407324
64,0.591634106,0.597754770
65,0.594726384,0.600861047
66,0.594694890,0.621222724
67,0.589806247,0.611420342
68,0.587874822,0.593748442
69,0.583632513,0.608973549
70,0.599046329,0.615210890
71,0.609475526,0.614346098
72,0.596256538,0.622173330
73,0.598123223,0.623690304
74,0.595508422,0.601399251
75,0.595399348,0.615638812
76,0.583827403,0.590036152
77,0.595158739,0.602031325
78,0.595246537,0.601131534
79,0.595428837,0.615276300
80,0.581254631,0.594425217
81,0.595104809,0.600970556
82,0.589496034,0.610961092
83,0.595297037,0.601522120
84,0.594957542,0.601035332
85,0.594992262,0.632047590
86,0.665141774,0.700195673
87,0.595095529,0.600151021
88,0.589654752,0.610957935
89,0.587137948,0.608248047
90,0.593908465,0.598948789
91,0.584862368,0.590837782
92,0.588917736,0.615668998
93,0.661915695,0.692516983
94,0.594302831,0.600452079
95,0.574929335,0.591160402
96,0.575651805,0.580672005
97,0.594699524,0.599834349
98,0.590947509,0.601798749
99,0.597365974,0.618580785
100,0.591232776,0.597704904
avg,0.594217607,
min,0.565095900,
max,0.675742609,
