run,time_s,wall_s
1,0.420938065,0.454557673
2,0.288314148,0.293345829
3,0.288323188,0.293422830
4,0.288332521,0.293316369
5,0.288492942,0.319174216
6,0.288375688,0.325217426
7,0.288510731,0.298906022
8,0.288564983,0.293795879
9,0.339989879,0.346170467
10,0.288541938,0.294065384
11,0.288541939,0.294881782
12,0.288663567,0.303830074
13,0.288616896,0.336844161
14,0.288562645,0.318363644
15,0.288596771,0.293800542
16,0.288654813,0.294539644
17,0.288544267,0.293655868
18,0.288634686,0.315545188
19,0.288604642,0.343136457
20,0.288623892,0.300147672
21,0.288577224,0.294879442
22,0.296498237,0.301635796
23,0.288601722,0.294246797
24,0.288667640,0.293729658
25,0.288663558,0.314463361
26,0.288737057,0.330696520
27,0.288817560,0.299703154
28,0.288704098,0.294884979
29,0.298360865,0.303364547
30,0.288740847,0.294018702
31,0.288615135,0.320247559
32,0.288550382,0.336075583
33,0.288751053,0.310987174
34,0.288760095,0.294938351
35,0.319941881,0.325084107
36,0.288697383,0.314286013
37,0.288811136,0.320646565
38,0.288954348,0.300322373
39,0.288832717,0.295311398
40,0.288837092,0.295255688
41,0.288886093,0.295152144
42,0.301375315,0.306521334
43,0.288739962,0.309514208
44,0.288777589,0.340479862
45,0.288767379,0.311727143
46,0.288704668,0.293897062
47,0.288670541,0.294705876
48,0.323326464,0.329640348
49,0.288976506,0.321081150
50,0.363033902,0.431138507
51,0.288678704,0.315623330
52,0.288772623,0.293884515
53,0.288704663,0.293847473
54,0.326496089,0.331716193
55,0.288612200,0.315173856
56,0.288753370,0.316010379
57,0.289011502,0.299956015
58,0.289030167,0.295421928
59,0.288846995,0.294087225
60,0.288772910,0.294556530
61,0.623317173,0.671679477
62,0.593778974,0.624705543
63,0.288482106,0.294675236
64,0.288515940,0.293556664
65,0.315583358,0.321863408
66,0.288670525,0.310631011
67,0.288466061,0.331035120
68,0.288684525,0.300203638
69,0.288670231,0.294964865
70,0.288698524,0.294948240
71,0.288707858,0.293927378
72,0.300357346,0.305424029
73,0.288831817,0.303788608
74,0.288711939,0.320813373
75,0.288788648,0.305729118
76,0.288764730,0.293922123
77,0.288893359,0.294063002
78,0.323512236,0.330076960
79,0.288810521,0.325180906
80,0.289083528,0.326141099
81,0.289487789,0.294674932
82,0.289092276,0.295253613
83,0.289104234,0.294281462
84,0.301871131,0.307484995
85,0.565061975,0.590841358
86,0.297575634,0.340650454
87,0.288987269,0.317377140
88,0.288825973,0.294926642
89,0.288908224,0.294028575
90,0.315872680,0.322068727
91,0.288854262,0.319957000
92,0.288715133,0.331178895
93,0.288823636,0.306056365
94,0.288711631,0.294955513
95,0.288898012,0.294063572
96,0.288882553,0.294875010
97,0.573684530,0.600387645
98,0.320915439,0.338954063
99,0.321008189,0.334529356
100,0.288745752,0.293985106
avg,0.306518416,
min,0.288314148,
max,0.623317173,
