run,time_s,wall_s
1,0.433745130,0.447159067
2,0.275557968,0.281521760
3,0.275675220,0.290411591
4,0.301019656,0.332701807
5,0.275655388,0.281823349
6,0.275662388,0.281362218
7,0.275680181,0.281763557
8,0.325447085,0.331544753
9,0.275662683,0.297016772
10,0.275544556,0.301882424
11,0.289034328,0.305253554
12,0.275717811,0.281775812
13,0.275792187,0.280729006
14,0.500440868,0.505908236
15,0.330000488,0.348983671
16,0.275644895,0.296061264
17,0.311733901,0.317542523
18,0.275757774,0.280698094
19,0.275674648,0.281177308
20,0.335175189,0.339677127
21,0.275716943,0.281378271
22,0.275719859,0.295532470
23,0.275647233,0.292135380
24,0.275517441,0.310048924
25,0.275749904,0.280424803
26,0.275805904,0.280453678
27,0.516725822,0.522181232
28,0.297675505,0.319506186
29,0.388786615,0.400172275
30,0.439084907,0.446774515
31,0.276229415,0.282173957
32,0.325115184,0.330084087
33,0.275641409,0.280372892
34,0.275757785,0.295796442
35,0.322076269,0.348628225
36,0.467392478,0.478422299
37,0.275406616,0.281436326
38,0.314458415,0.320009492
39,0.275365493,0.281112866
40,0.275595038,0.300772058
41,0.318516140,0.338365503
42,0.275706750,0.282766349
43,0.275691000,0.281695917
44,0.275687208,0.281415913
45,0.310771118,0.316353406
46,0.275805629,0.302089832
47,0.500791126,0.537527642
48,0.275404292,0.282221513
49,0.275540794,0.280366195
50,0.276138428,0.281674630
51,0.502817370,0.508426198
52,0.281703800,0.312507734
53,0.305289757,0.332808019
54,0.275664466,0.282057599
55,0.275715801,0.281729469
56,0.275838303,0.281988181
57,0.325097707,0.331200625
58,0.275729804,0.301455166
59,0.275657469,0.322602464
60,0.276958321,0.282987448
61,0.275842390,0.281788682
62,0.275801557,0.281598805
63,0.339745417,0.344466400
64,0.277006159,0.282141898
65,0.275657182,0.301876635
66,0.386627123,0.418348945
67,0.477322615,0.499659347
68,0.275388263,0.280350751
69,0.285545990,0.290897274
70,0.275688687,0.280535088
71,0.275741479,0.296594773
72,0.322073675,0.349167558
73,0.275686647,0.306989048
74,0.275684314,0.281607565
75,0.275704439,0.280341130
76,0.288825834,0.294155534
77,0.275797484,0.311110359
78,0.275668274,0.322524020
79,0.275726317,0.302297527
80,0.275797487,0.281645778
81,0.275945364,0.281009060
82,0.342371637,0.348250845
83,0.275721654,0.280479680
84,0.275793114,0.290495072
85,0.275834822,0.297813675
86,0.282413459,0.299545618
87,0.275789908,0.281660074
88,0.275815283,0.280400056
89,0.595437314,0.601804196
90,0.308168452,0.334907081
91,0.308470456,0.350963392
92,0.275632993,0.297158298
93,0.275559783,0.281595911
94,0.275613159,0.281454743
95,0.291769973,0.297608931
96,0.275553078,0.295845199
97,0.275715246,0.312438351
98,0.291578347,0.297181926
99,0.275700081,0.280555525
100,0.275707373,0.281175326
avg,0.306105387,
min,0.275365493,
max,0.595437314,
