run,time_s,wall_s
1,1.985819770,1.995269356
2,1.674142102,1.679174317
3,1.595574393,1.603101278
4,1.917817671,1.924000241
5,1.820263244,1.826651443
6,2.939314496,2.945286771
7,2.263638255,2.273105051
8,3.022546089,3.032553644
9,2.970452442,2.977595488
10,1.990478787,1.996890611
11,1.960495705,1.967659750
12,1.969912085,1.977820770
13,1.962179946,1.968871193
14,1.916217534,1.923829880
15,1.903879938,1.909289577
16,1.767176136,1.773222787
17,2.198925188,2.207144628
18,2.146371491,2.157478274
19,2.596652879,2.606044423
20,1.529814727,1.538778556
21,1.864993911,1.870056752
22,2.957623242,2.964804205
23,2.106414819,2.115452691
24,1.970252068,1.978254088
25,1.989052076,1.996355250
26,2.003492630,2.012037159
27,1.890160500,1.901670750
28,2.063677180,2.075279306
29,3.109924220,3.119047135
30,2.887993086,2.895795602
31,1.951976874,1.958914292
32,1.941948736,1.950740895
33,1.789579024,1.794547655
34,1.506605742,1.513199277
35,1.847066274,1.854612993
36,1.914115571,1.920529146
37,1.553798848,1.561113397
38,1.501047645,1.507074754
39,1.970710390,1.975938901
40,1.959491479,1.966633650
41,1.942390005,1.949308172
42,2.961200017,2.970386225
43,2.019592280,2.028975574
44,2.658405795,2.667884550
45,2.321035778,2.332255814
46,2.002660770,2.010048237
47,2.457852673,2.467348136
48,2.238927714,2.249915580
49,1.825431402,1.833162750
50,1.508807007,1.516269434
51,1.875398391,1.881575711
52,1.889255434,1.896389147
53,1.736500630,1.742539114
54,1.520225301,1.527752186
55,1.847489182,1.853684003
56,1.842149628,1.848730623
57,1.734705059,1.741439182
58,1.512658084,1.520266346
59,1.957182380,1.963292324
60,2.003921852,2.012025373
61,2.018054109,2.025217572
62,1.904353511,1.910923421
63,1.987903149,1.994199763
64,1.978715984,1.987191846
65,1.580959868,1.590821297
66,1.473832346,1.478832771
67,1.946335860,1.952591639
68,1.802736219,1.809934391
69,1.841758177,1.848312046
70,2.397778536,2.407397877
71,1.881038182,1.888921200
72,1.829335331,1.835962117
73,1.918394319,1.926806846
74,1.893683706,1.903312964
75,1.550427075,1.559266943
76,1.858962246,1.864207091
77,1.772055048,1.779072384
78,2.021614277,2.027694179
79,2.212815158,2.223426475
80,1.853478276,1.859446467
81,1.899549945,1.906054229
82,1.848775318,1.855219226
83,2.311778913,2.320508363
84,1.899183066,1.905018839
85,1.861637930,1.868428636
86,1.874342577,1.882146843
87,2.252424969,2.261975475
88,1.877921061,1.885334487
89,2.216043313,2.224361213
90,1.935495356,1.942939116
91,2.525180791,2.534679088
92,2.565741236,2.576995107
93,1.940238655,1.945420498
94,1.782148666,1.788201734
95,2.052749778,2.057969248
96,1.929175332,1.938462750
97,1.888778809,1.895176634
98,1.814631758,1.821415173
99,1.963865672,1.973827728
100,2.359198963,2.372726708
avg,2.012904801,
min,1.473832346,
max,3.109924220,
