run,time_s,wall_s
1,2.301380209,2.312327533
2,1.976703926,1.983140836
3,2.824570106,2.830002496
4,2.114326849,2.122168742
5,1.803620904,1.808541410
6,2.170986256,2.176028098
7,1.793869103,1.799753585
8,1.720900858,1.728285118
9,1.525158547,1.533934081
10,1.873893810,1.879071571
11,1.891424922,1.898793430
12,2.176329398,2.184368170
13,1.940129267,1.947429233
14,2.744033940,2.752665972
15,2.357356028,2.366542404
16,1.873236468,1.880820523
17,2.014866462,2.021252037
18,2.980140657,2.989054735
19,1.949711611,1.957626713
20,1.982277455,1.990280933
21,1.775065225,1.782123395
22,1.636130155,1.642321476
23,1.815334584,1.823138559
24,1.798818159,1.804868602
25,2.036222064,2.042863435
26,1.996479382,2.007440123
27,1.919113974,1.926537610
28,2.470383927,2.478933124
29,1.974543693,1.985738355
30,2.190510417,2.198208806
31,1.768212980,1.777152725
32,2.145051631,2.152198637
33,1.529023584,1.536732183
34,1.871438776,1.877594222
35,1.822490137,1.828628372
36,1.851830295,1.857853114
37,2.121665833,2.129307639
38,1.774784644,1.780993757
39,2.025265538,2.034901797
40,1.883385538,1.891045428
41,1.577038336,1.584602557
42,1.887953081,1.894367531
43,2.387860058,2.396710427
44,1.798833417,1.809479444
45,1.853673208,1.858672757
46,2.436841784,2.441683831
47,1.937513193,1.942638745
48,2.058283935,2.066132452
49,1.996107762,2.005478890
50,2.552876108,2.562258029
51,2.663186159,2.668611841
52,2.300305552,2.309080795
53,1.983358364,1.990434036
54,1.967188904,1.974322908
55,1.975355429,1.981800213
56,2.050981723,2.056924247
57,1.886689815,1.892281750
58,1.797253519,1.804297106
59,1.730299092,1.737192468
60,2.397968834,2.409143079
61,2.244256411,2.249830554
62,1.884046643,1.889803957
63,1.891360360,1.897706851
64,1.906785891,1.914886497
65,1.801932732,1.808700980
66,2.009400261,2.017503659
67,1.716825642,1.724718868
68,1.707734017,1.716316840
69,1.951813755,1.957879657
70,2.538482899,2.543998708
71,1.711060455,1.718860346
72,2.418642342,2.426834533
73,1.714139803,1.725630220
74,2.010433116,2.018308135
75,1.656358752,1.665332331
76,1.891952667,1.897732148
77,1.871494503,1.876603430
78,1.831320689,1.838156605
79,1.745594753,1.751599987
80,2.071083182,2.079123995
81,1.833225016,1.844164049
82,1.912410375,1.920354937
83,1.730679399,1.737943781
84,1.959815157,1.965784223
85,1.915570059,1.921729880
86,1.880851261,1.887779345
87,1.871750762,1.882793754
88,1.766522845,1.773084590
89,1.486066195,1.493568874
90,2.030559447,2.036491180
91,1.984921533,1.991517987
92,2.015627926,2.021716578
93,1.534056821,1.540230058
94,2.233716650,2.238640072
95,2.035930172,2.043763314
96,2.853029975,2.861784801
97,1.744406487,1.751196027
98,1.493389998,1.500973760
99,1.850302666,1.855369509
100,1.915119014,1.922311937
avg,1.982829062,
min,1.486066195,
max,2.980140657,
