run,time_s,wall_s
1,2.761889442,2.770791853
2,1.867475773,1.874089143
3,1.805546228,1.812046430
4,1.786258127,1.793041250
5,1.552965127,1.560445347
6,2.349001796,2.355437247
7,2.426805548,2.437784956
8,1.881050396,1.889137586
9,2.174200655,2.182455555
10,3.033187347,3.042133802
11,1.891945847,1.899081893
12,1.941875464,1.948137079
13,2.612585103,2.621079174
14,2.484598813,2.495467969
15,1.966046657,1.972562609
16,2.453650458,2.462551412
17,1.721207862,1.729611349
18,1.806161786,1.811187002
19,1.803685908,1.808901294
20,1.798433646,1.806487876
21,2.392042005,2.401893226
22,2.875453230,2.885044863
23,1.933725237,1.941344292
24,1.843872975,1.850664848
25,2.272476411,2.281995126
26,1.896487309,1.903181473
27,1.813482672,1.819986665
28,1.671633754,1.679620316
29,1.766912366,1.778706414
30,1.902457044,1.908492904
31,1.891301425,1.896298057
32,1.825209596,1.831612087
33,1.803893166,1.810685915
34,2.430947510,2.440321264
35,1.916857058,1.923144923
36,2.000074908,2.007914177
37,1.856698254,1.863694299
38,1.877020083,1.883779873
39,2.157988704,2.169245201
40,1.913390413,1.920065035
41,2.544306246,2.552660023
42,1.558840993,1.567925410
43,1.852329135,1.858389787
44,1.836096798,1.843812979
45,1.520818010,1.528389814
46,1.877672430,1.883626039
47,1.983227896,1.988762956
48,1.973486927,1.981148567
49,1.820083132,1.825803403
50,1.722425352,1.728229624
51,1.528357565,1.534998353
52,1.964938940,1.970866297
53,1.940980586,1.946885777
54,1.929264915,1.937635900
55,2.018828715,2.027063781
56,2.523966005,2.533266842
57,1.910199360,1.919795368
58,2.267075948,2.274009574
59,1.716635082,1.725265656
60,2.407160835,2.420536913
61,1.990064692,1.996323097
62,2.123409623,2.133114133
63,2.009816844,2.018037328
64,2.654445470,2.663579345
65,2.170725486,2.180021656
66,1.964993861,1.972686543
67,1.886815311,1.894801582
68,2.040428654,2.049868909
69,2.816256422,2.824773410
70,2.478997232,2.489970807
71,1.913740512,1.920300506
72,1.880681826,1.887035608
73,1.824301299,1.830359617
74,2.061994256,2.071206300
75,1.874432422,1.883833468
76,3.165541667,3.175753103
77,2.168526783,2.178073499
78,1.873270151,1.879810604
79,1.999476785,2.006845795
80,2.207675706,2.215732853
81,1.878353994,1.884780112
82,1.906918682,1.913539053
83,1.850490862,1.857552532
84,1.794104334,1.801278881
85,1.825063316,1.834588448
86,1.743447578,1.748633339
87,2.279081302,2.287039280
88,2.116588381,2.124245938
89,1.551022737,1.558670085
90,1.845276144,1.851487882
91,1.910737295,1.918044554
92,2.123503175,2.131562363
93,1.992597789,2.000374930
94,1.939401402,1.946771078
95,2.016779646,2.033722581
96,1.903038031,1.909473481
97,1.918500980,1.925684861
98,1.835922974,1.842649222
99,2.170724705,2.179523865
100,1.984922400,1.992610582
avg,2.027492617,
min,1.520818010,
max,3.165541667,
