run,time_s,wall_s
1,0.709125247,0.724206103
2,0.581225879,0.587565351
3,0.764306012,0.771994171
4,0.471708335,0.478652441
5,0.459386689,0.464716688
6,0.515993348,0.522368404
7,0.459313483,0.465412325
8,0.462816162,0.467857114
9,0.459336819,0.465209034
10,0.541799249,0.547803882
11,0.459157152,0.464070352
12,0.459317280,0.465294789
13,0.459155112,0.463986936
14,0.481932879,0.487817928
15,0.459139949,0.464166901
16,0.472022479,0.477768693
17,0.460140675,0.466160183
18,0.459249620,0.464260238
19,0.459433958,0.465461926
20,0.462407546,0.467372663
21,0.472293450,0.477197316
22,0.459331585,0.464526248
23,0.472381245,0.478364586
24,0.459443297,0.464563000
25,0.468217059,0.474282068
26,0.458896708,0.464990593
27,0.469049782,0.475203460
28,0.460074770,0.465406518
29,0.472394086,0.478709350
30,0.459703767,0.465876696
31,0.470280055,0.476319398
32,0.459596435,0.465378816
33,0.469412919,0.474415663
34,0.459843191,0.465909076
35,0.459578646,0.464508180
36,0.459696192,0.465878454
37,0.459853111,0.466004747
38,0.469856850,0.476319408
39,0.460096950,0.466245670
40,0.469457847,0.475447897
41,0.460027244,0.464911569
42,0.472191099,0.477006881
43,0.459122191,0.463950223
44,0.472031558,0.477042468
45,0.460135459,0.465490541
46,0.472245063,0.478130404
47,0.462992963,0.468038584
48,0.472502319,0.478336618
49,0.459299535,0.465313211
50,0.468575553,0.473738424
51,0.459612209,0.464747663
52,0.459521207,0.465332755
53,0.459515960,0.464414868
54,0.459400749,0.464413702
55,0.472010571,0.478287334
56,0.459311792,0.465538972
57,0.469497535,0.475656755
58,0.459837678,0.465652726
59,0.472427957,0.477406493
60,0.459565843,0.465310015
61,0.463568447,0.468593650
62,0.459767973,0.465646606
63,0.755369166,0.761169922
64,0.459179967,0.464427131
65,0.459324638,0.465256355
66,0.459351472,0.464479343
67,0.473675738,0.479778081
68,0.459389392,0.465317026
69,0.472210675,0.477064375
70,0.459780525,0.464577350
71,0.469116921,0.474343669
72,0.459675818,0.465909414
73,0.464169305,0.470259983
74,0.459921991,0.465752498
75,0.487652921,0.492703791
76,0.459303651,0.465825419
77,0.475564027,0.480372228
78,0.512541519,0.518680906
79,0.465271246,0.470093446
80,0.463347385,0.468218877
81,0.459148195,0.464974035
82,0.462472374,0.467353199
83,0.459620122,0.464579407
84,0.475725331,0.481638382
85,0.473396337,0.478187620
86,0.459591834,0.464453700
87,0.459414498,0.464434159
88,0.472241907,0.477398945
89,0.459615170,0.465577513
90,0.543836395,0.549498608
91,0.459139749,0.464142202
92,0.459935721,0.465739394
93,0.459660385,0.464662545
94,0.479137605,0.485305284
95,0.459601761,0.464507379
96,0.461311539,0.467308590
97,0.459039713,0.463884664
98,0.472257086,0.477972091
99,0.459518348,0.465635860
100,0.462288349,0.468215399
avg,0.476313855,
min,0.458896708,
max,0.764306012,
