run,time_s,wall_s
1,1.135879267,1.145478767
2,0.764530820,0.770658551
3,0.843910740,0.849057872
4,0.792828521,0.799303342
5,0.752865995,0.758935684
6,0.837957725,0.843884785
7,0.789661554,0.794673640
8,0.789286172,0.794240509
9,0.790161481,0.795249694
10,0.752483619,0.758504890
11,0.752360825,0.758303346
12,1.139113049,1.145097570
13,0.796206591,0.802803622
14,0.787844155,0.792886867
15,1.119059873,1.125313315
16,1.174114291,1.185172441
17,0.775590737,0.780765286
18,0.764242083,0.770160685
19,0.782627903,0.787602949
20,0.752370754,0.758436943
21,0.754693628,0.760750775
22,0.953422544,0.958510174
23,0.846833734,0.853242928
24,0.752044085,0.758009647
25,0.752264006,0.758230444
26,0.752198673,0.758180861
27,0.825302405,0.830313908
28,1.241222854,1.247354961
29,0.940869294,0.948641763
30,0.804720884,0.810647945
31,0.752221429,0.757133181
32,0.752201304,0.757142224
33,0.752097179,0.757163225
34,1.231195439,1.237196003
35,0.802456058,0.808269660
36,0.789834840,0.794834093
37,0.789233413,0.795139183
38,0.789743257,0.795697444
39,0.796102869,0.801298126
40,0.754861943,0.761007175
41,1.230777528,1.236763216
42,0.790047475,0.796567797
43,0.789558051,0.794532221
44,0.789752597,0.794876395
45,0.789963768,0.795995832
46,0.752166902,0.758278301
47,0.811586855,0.817469583
48,0.807272449,0.812245160
49,0.806140180,0.812018532
50,0.985027050,0.990195765
51,1.000360819,1.009466519
52,1.032092749,1.039285374
53,1.298515856,1.312835772
54,1.119956369,1.125242628
55,0.751631695,0.757900596
56,0.787646158,0.793707097
57,0.752159040,0.757221586
58,0.752300210,0.758549569
59,0.822316890,0.828435873
60,0.807155794,0.812034004
61,0.807513676,0.812570681
62,0.752053168,0.758193441
63,0.752734222,0.758876246
64,0.789547282,0.795443427
65,0.789460365,0.794380867
66,0.789803955,0.794737291
67,0.796264778,0.801342491
68,0.970588197,0.977195729
69,0.765335031,0.771572724
70,0.811783469,0.817877367
71,0.789416912,0.794405666
72,0.752689313,0.757594065
73,0.752520728,0.757447064
74,0.789237828,0.794454961
75,0.790084552,0.796152784
76,0.790153388,0.795222935
77,0.760856127,0.766849981
78,0.752726653,0.758780300
79,0.752555150,0.758513130
80,0.788375652,0.793459491
81,0.752677655,0.757842578
82,0.752863159,0.758925557
83,0.794969187,0.801010002
84,0.789968184,0.795894662
85,0.755745462,0.761764691
86,0.752870746,0.758904268
87,0.778209439,0.784267754
88,0.752483116,0.758640015
89,0.791488382,0.797597739
90,0.752739497,0.758703310
91,0.752863166,0.758750853
92,0.802914043,0.807895505
93,0.790234780,0.795327369
94,0.771869669,0.778023068
95,0.752623416,0.758675022
96,0.752548457,0.758620771
97,0.789852986,0.795696629
98,0.789852695,0.794903284
99,0.752813590,0.758808903
100,0.752435875,0.757580091
avg,0.827287684,
min,0.751631695,
max,1.298515856,
