run,time_s,wall_s
1,2.059880192,2.074303056
2,2.049088568,2.069813772
3,2.019379066,2.023248473
4,2.022411538,2.026238990
5,2.031086947,2.037732191
6,2.020464510,2.024338696
7,2.031470707,2.034827134
8,2.025261769,2.033724954
9,2.039419651,2.059494109
10,2.032655167,2.036009495
11,2.035586411,2.055431028
12,2.040915942,2.060924307
13,2.090157614,2.094000042
14,2.023410418,2.049203968
15,2.052543496,2.072982846
16,2.025188021,2.048169809
17,2.017445617,2.037371037
18,2.022144626,2.043579000
19,2.018846826,2.044344001
20,2.017705520,2.037759312
21,2.042954987,2.047229680
22,2.014351931,2.040034929
23,2.033535738,2.063304020
24,2.033693358,2.037098145
25,2.030069914,2.058630474
26,2.058581503,2.074642205
27,2.029291313,2.032602951
28,2.049159698,2.052504526
29,2.026637295,2.030073188
30,2.029620420,2.033073634
31,2.018505847,2.022247215
32,2.023056788,2.026714825
33,2.031554034,2.035133707
34,2.033874240,2.037568040
35,2.072438663,2.075962931
36,2.012430192,2.016331137
37,2.083342932,2.086944819
38,2.057517345,2.071639879
39,2.049210120,2.069877911
40,2.034375737,2.054307760
41,2.023607652,2.049287865
42,2.024961387,2.028458962
43,2.017747034,2.021073195
44,2.014681957,2.018506897
45,2.024084018,2.027430782
46,2.015285840,2.018677032
47,2.036158893,2.045244209
48,2.024405907,2.049627764
49,2.029333906,2.054609126
50,2.028835336,2.032352177
51,2.036010784,2.039436048
52,2.024918325,2.043637212
53,2.015987638,2.070025942
54,2.040804160,2.121632011
55,2.015403154,2.047517900
56,2.045641795,2.049131204
57,2.112920450,2.117072229
58,2.098337450,2.101705332
59,2.069904363,2.073638680
60,2.051071380,2.054421460
61,2.023049350,2.026905403
62,2.024567486,2.028013401
63,2.025708571,2.029060833
64,2.023637924,2.027017048
65,2.028620860,2.032044190
66,2.047768995,2.067906930
67,2.061243960,2.092393968
68,2.051819187,2.077106598
69,2.018509550,2.038599353
70,2.031433675,2.040688807
71,2.032836351,2.041878313
72,2.016074742,2.019426823
73,2.024885369,2.028291091
74,2.025513772,2.045548799
75,2.027053811,2.058816635
76,2.076458794,2.080841868
77,2.032412199,2.036228513
78,2.058937326,2.062471052
79,2.047257746,2.050913985
80,2.065097730,2.068583654
81,2.021388007,2.025157746
82,2.026943688,2.030257754
83,2.027851580,2.031362220
84,2.031816115,2.035289252
85,2.023673422,2.027060013
86,2.025967486,2.029435963
87,2.034461314,2.038434670
88,2.028295246,2.042840590
89,2.056306062,2.076253876
90,2.015434852,2.019296596
91,2.026474945,2.029906704
92,2.023293281,2.026965970
93,2.041304346,2.044830576
94,2.049806779,2.069775024
95,2.011094510,2.058516301
96,2.024001429,2.074574222
97,2.030985972,2.080216524
98,2.028074778,2.083550864
99,2.027417308,2.047584944
100,2.028621717,2.048365206
avg,2.035154663,
min,2.011094510,
max,2.112920450,
