run,time_s,wall_s
1,2.821141440,2.836000454
2,2.739084676,2.786568003
3,2.742299733,2.779216883
4,2.691510691,2.741024104
5,2.706953473,2.775353854
6,2.739702119,2.800893834
7,2.742005919,2.762031861
8,2.680099159,2.741094902
9,2.729505595,2.744620631
10,2.749110042,2.775112665
11,2.760716072,2.813573832
12,2.713017031,2.767824416
13,2.699934092,2.719758653
14,2.753031420,2.816973631
15,2.701498925,2.766361880
16,2.729978816,2.761387629
17,2.693087664,2.735052532
18,2.753013118,2.795140614
19,2.759821269,2.786030118
20,2.731230909,2.751572733
21,2.689435924,2.698289715
22,2.766791198,2.797974904
23,2.758432648,2.804064993
24,2.716219083,2.736201602
25,2.721861583,2.747339333
26,2.781043352,2.822276245
27,2.831445974,2.867896950
28,2.892508341,2.969434795
29,2.897600575,2.925908052
30,2.945276826,2.977373616
31,2.866492082,2.941296464
32,2.868543250,2.910932440
33,2.854849829,2.879971997
34,2.760068678,2.802552116
35,2.814661740,2.845356610
36,2.709672233,2.755398897
37,2.735327895,2.793691798
38,2.727759427,2.769445869
39,2.669787860,2.701757362
40,2.732243259,2.735662050
41,2.725917875,2.785105537
42,2.765057965,2.804722856
43,2.693163269,2.718007625
44,2.693278957,2.746067595
45,2.731005466,2.789696087
46,2.739968284,2.766436943
47,2.761354552,2.815406129
48,2.674101938,2.721151499
49,2.693781428,2.740600455
50,2.724455225,2.728649786
51,2.730691685,2.734230447
52,2.765392652,2.817780500
53,2.692255108,2.751449524
54,2.731345303,2.813136417
55,2.760647286,2.793126998
56,2.677448229,2.713724679
57,2.733129731,2.807611958
58,2.769067922,2.828416260
59,2.738457033,2.742005376
60,2.723301216,2.754467590
61,2.684469395,2.780730965
62,2.661403202,2.713760884
63,2.741064348,2.779948454
64,2.750049560,2.786521996
65,2.693942470,2.781194046
66,2.689265339,2.762892025
67,2.738028873,2.778034449
68,2.728468145,2.792699977
69,2.683392278,2.751952208
70,2.683217944,2.709813284
71,2.733800224,2.773731606
72,2.732533312,2.781277899
73,2.754728903,2.789008946
74,2.683757180,2.768998326
75,2.728758917,2.765831566
76,2.735374467,2.793679352
77,2.763999332,2.827474618
78,2.701336132,2.765432994
79,2.694774660,2.739291757
80,2.762221466,2.798743913
81,2.709695870,2.774616635
82,2.723670279,2.756923667
83,2.717821301,2.744182630
84,2.769806092,2.849381554
85,2.736313474,2.788124163
86,2.743230049,2.759207365
87,2.674336885,2.735819709
88,2.701176818,2.775287779
89,2.739784945,2.765316101
90,2.739386673,2.764768192
91,2.683784307,2.711337025
92,2.690231047,2.745000777
93,2.747297241,2.806705392
94,2.731806851,2.844701464
95,2.747389930,2.833410261
96,2.679571039,2.689149344
97,2.691776305,2.717436020
98,2.753170976,2.773129729
99,2.727832328,2.747759247
100,2.727285331,2.770173131
avg,2.736805389,
min,2.661403202,
max,2.945276826,
