run,time_s,wall_s
1,1.950463516,1.975761627
2,1.857612896,1.909657319
3,1.883474958,1.908587161
4,1.888814540,1.908121935
5,1.803533718,1.811827347
6,1.833837526,1.865917820
7,1.803072780,1.835010062
8,1.839610973,1.870415748
9,1.891878359,1.917439896
10,1.852482099,1.893494513
11,1.896718005,1.927055438
12,1.840064408,1.843441514
13,1.803086244,1.826364047
14,1.778844255,1.792738227
15,1.815525801,1.835094368
16,1.830468879,1.866496415
17,1.849792645,1.870146167
18,1.856436886,1.881787183
19,1.877593921,1.935919629
20,1.883929422,1.919526588
21,1.793624757,1.808799834
22,1.808011987,1.817415027
23,1.796679329,1.805585029
24,1.823274307,1.848592453
25,1.852671824,1.875975851
26,1.855909777,1.859155579
27,1.821223122,1.846050694
28,1.806202305,1.847505009
29,1.823977514,1.864967717
30,1.825939270,1.861865465
31,1.922986675,1.969188989
32,1.850255380,1.894192673
33,1.868866228,1.894186506
34,1.851441342,1.887035138
35,1.810601488,1.852990438
36,1.792114086,1.824624625
37,1.790231006,1.826205704
38,1.834248688,1.864354899
39,1.834020988,1.869816804
40,1.834313743,1.859259993
41,1.835146112,1.849522567
42,1.799109813,1.840771144
43,1.811809270,1.902693287
44,1.825840344,1.861961332
45,1.806527546,1.852902358
46,1.875691706,1.916667059
47,1.848290400,1.878536774
48,1.846021082,1.881455207
49,1.873947435,1.920910108
50,1.836981986,1.869253032
51,1.802689205,1.844019249
52,1.807090050,1.832173380
53,1.797808523,1.817122636
54,1.847037041,1.893751334
55,1.843944145,1.890645890
56,1.848264078,1.867757827
57,1.812111253,1.836800528
58,1.787894144,1.818179768
59,1.813361708,1.859955689
60,1.792709044,1.835551370
61,1.883187866,1.913027491
62,1.914107698,1.961301568
63,1.836609819,1.872694906
64,1.851787124,1.887892369
65,1.788719071,1.808259197
66,1.864187158,1.874216149
67,1.796888295,1.833750678
68,1.781046063,1.819662173
69,1.860664528,1.901625836
70,1.841846359,1.867189268
71,1.860309219,1.863911734
72,1.855798843,1.885926885
73,1.789060742,1.833663494
74,1.801646206,1.842944850
75,1.810424443,1.851498419
76,1.892169372,1.924950274
77,1.842580083,1.878788680
78,1.823697017,1.854293732
79,1.873355198,1.915986032
80,1.857629567,1.921944074
81,1.793553226,1.841735902
82,1.774640303,1.828006634
83,1.798143069,1.828675166
84,1.842849952,1.895252924
85,1.840724379,1.881740241
86,1.822818534,1.850604792
87,1.878497831,1.900027107
88,1.936839186,1.972138508
89,1.781330935,1.822221063
90,1.809698160,1.855874221
91,1.771974158,1.856966912
92,1.823392814,1.892008226
93,1.854133676,1.895429298
94,1.830523522,1.861248029
95,1.838649427,1.858400345
96,1.820332407,1.839869954
97,1.792237192,1.816789240
98,1.811945252,1.858969790
99,1.891645035,1.938354481
100,1.862147016,1.887201420
avg,1.835479013,
min,1.771974158,
max,1.950463516,
