run,time_s,wall_s
1,4.057902826,4.061314354
2,4.057417351,4.061082538
3,4.060739454,4.064385309
4,4.044268429,4.048256481
5,4.111124378,4.126172538
6,4.129180418,4.154504426
7,4.139951648,4.160132497
8,4.194150182,4.197618920
9,4.087326357,4.090811540
10,4.070271882,4.074021397
11,4.034580048,4.038172971
12,4.061518416,4.065161969
13,4.027449006,4.030842770
14,4.081509959,4.084974775
15,4.034705866,4.038154312
16,4.031596049,4.034920513
17,4.059363724,4.063054333
18,4.060404870,4.063959977
19,4.043759389,4.047245249
20,4.015779233,4.019202093
21,4.096369866,4.099733459
22,4.031509477,4.035123580
23,4.056684525,4.060276934
24,4.065263889,4.068924461
25,4.042497808,4.045880814
26,4.057976499,4.061473688
27,4.026692345,4.030189361
28,4.055854866,4.059264998
29,4.050781322,4.055076325
30,4.085464096,4.088799035
31,4.070578088,4.074130075
32,4.076138331,4.079435329
33,4.011523485,4.014955590
34,4.010397345,4.013864571
35,4.043174145,4.046661412
36,4.049264125,4.053346408
37,4.077876890,4.081568035
38,4.086184025,4.089653629
39,4.052305080,4.055958243
40,4.046249204,4.049695569
41,4.096188609,4.099752846
42,4.061902861,4.065311383
43,4.052520575,4.055997119
44,4.045903545,4.049796029
45,4.126075802,4.140372965
46,4.012325802,4.038008798
47,4.054109358,4.092688096
48,4.048886650,4.085027197
49,4.024064211,4.076597511
50,4.041842584,4.074306341
51,4.043626650,4.047033868
52,4.020806382,4.024270943
53,4.071508279,4.075291596
54,4.024824419,4.028313482
55,4.049633233,4.053001187
56,4.061188370,4.064488232
57,4.039941492,4.043344966
58,4.059793300,4.063482580
59,4.041651657,4.045238590
60,4.095834230,4.099645090
61,4.062548844,4.066027294
62,4.079130722,4.082687829
63,4.044010028,4.047837230
64,4.037903559,4.041723731
65,4.037286002,4.040710386
66,4.040816621,4.044281137
67,4.055368882,4.059375543
68,4.056183863,4.059836496
69,4.029329480,4.033178128
70,4.012599749,4.016190442
71,4.082965865,4.086434431
72,4.013388539,4.016993614
73,4.025075781,4.028636901
74,4.202237052,4.205718378
75,4.037677586,4.041258953
76,4.090071168,4.093660358
77,4.108855511,4.112249997
78,4.126046470,4.129432992
79,4.054575823,4.058461837
80,4.037677552,4.041086739
81,4.077907143,4.082127512
82,4.032108272,4.035627277
83,4.044795618,4.048288131
84,4.062715169,4.066585391
85,4.050547844,4.053956597
86,4.021855083,4.025456348
87,4.075352639,4.096052910
88,4.055114687,4.086332293
89,4.013270697,4.033306445
90,4.021082319,4.068682307
91,4.101347274,4.137136239
92,4.030499379,4.050413495
93,4.079897742,4.083339455
94,4.049819840,4.053258813
95,4.083538691,4.087169995
96,4.040863372,4.044464544
97,4.042028612,4.045454984
98,4.011785624,4.015336598
99,4.045426561,4.048938607
100,4.048819883,4.052308259
avg,4.057909385,
min,4.010397345,
max,4.202237052,
