run,time_s,wall_s
1,4.130393801,4.149728026
2,4.072750926,4.119789572
3,4.091082744,4.146754596
4,4.085579472,4.155435640
5,4.083120017,4.121743342
6,4.151516309,4.199837974
7,4.129495192,4.143553430
8,4.032716515,4.074574351
9,4.060137061,4.070911603
10,4.027529273,4.030962455
11,4.027890615,4.035725781
12,4.013028382,4.016455103
13,4.040544406,4.061183592
14,4.050285093,4.077692625
15,4.030980311,4.055606447
16,4.036556912,4.062304792
17,4.045274324,4.064517593
18,4.041140009,4.093481553
19,4.160955738,4.200780221
20,4.106664301,4.127648839
21,4.091061720,4.132401787
22,4.055739730,4.079908264
23,4.024303595,4.054674010
24,4.028189291,4.064666446
25,4.105638026,4.119812396
26,4.115026490,4.152060051
27,4.057723457,4.115760165
28,4.064989947,4.106420166
29,4.127240853,4.171439771
30,4.025280062,4.055835582
31,4.041737140,4.066979082
32,4.026162470,4.051297283
33,4.040880614,4.066090254
34,4.047868300,4.056440504
35,4.038479624,4.042070011
36,4.007117958,4.037379987
37,4.084999380,4.110217538
38,4.052575226,4.056073540
39,4.046492259,4.050201501
40,4.018828997,4.022085334
41,4.045417261,4.069832855
42,4.092167742,4.161053422
43,4.075875955,4.101216504
44,4.076846115,4.091596073
45,4.090622491,4.111941283
46,4.007827659,4.047746311
47,4.043905837,4.132496652
48,4.047680031,4.124230064
49,4.027651438,4.079584877
50,4.042722986,4.068129158
51,4.032105749,4.068135620
52,4.134052491,4.165214168
53,4.072491971,4.099622543
54,4.055293649,4.096445631
55,4.021163006,4.047444471
56,4.032454525,4.084386833
57,4.022642170,4.070203389
58,4.077918715,4.131715528
59,4.030740019,4.061225139
60,4.015473614,4.049758851
61,4.039506171,4.106543632
62,4.018785639,4.049308815
63,4.063914640,4.168250962
64,4.128450928,4.164105319
65,4.195117629,4.219953541
66,4.099475448,4.102616763
67,4.020135745,4.023469022
68,4.113364930,4.116538657
69,4.009377426,4.012650382
70,4.085417296,4.095004489
71,4.091430030,4.111359044
72,4.025849757,4.029066268
73,4.038849776,4.042142099
74,4.082768347,4.085866706
75,4.096103567,4.111518954
76,4.063873757,4.118492129
77,4.017370983,4.060594451
78,4.064416004,4.099860220
79,4.017336047,4.059708502
80,4.095937945,4.140418682
81,4.078442052,4.125207821
82,4.023631868,4.090082125
83,4.021145143,4.062664779
84,4.029743371,4.105407875
85,4.094255519,4.113903170
86,4.066866260,4.112887905
87,4.058470909,4.097879480
88,4.026142891,4.056364228
89,4.060576020,4.080175987
90,4.130955894,4.151812528
91,4.028506169,4.070279454
92,4.044709984,4.120694489
93,4.061198577,4.069109012
94,4.155098500,4.180487784
95,4.087748729,4.116924604
96,4.062276581,4.065719042
97,4.041292411,4.044591703
98,4.003480114,4.027294861
99,4.013495019,4.039348203
100,4.120926449,4.165710769
avg,4.061394745,
min,4.003480114,
max,4.195117629,
