run,time_s,wall_s
1,4.219527265,4.250272294
2,4.145988930,4.193033984
3,4.263992997,4.337849316
4,4.147086485,4.172822368
5,4.108475787,4.139433670
6,4.142108654,4.177275510
7,4.140604779,4.182383653
8,4.125943797,4.178365597
9,4.075167751,4.135205662
10,4.114898049,4.171083887
11,4.035787350,4.133140044
12,4.140145714,4.223449646
13,4.127504694,4.213211037
14,4.146694090,4.191341277
15,4.136062533,4.166091156
16,4.086681385,4.167418349
17,4.214396770,4.276198820
18,4.232642547,4.282370601
19,4.148559892,4.181195530
20,4.263038655,4.310036157
21,4.073173119,4.098988788
22,4.058325905,4.088379892
23,4.272370370,4.301605167
24,4.131639645,4.177398093
25,4.111719073,4.167047473
26,4.100062899,4.156881367
27,4.105915908,4.150185104
28,4.138703683,4.267972905
29,4.128610803,4.183404959
30,4.067149234,4.137985606
31,4.159075253,4.216735717
32,4.155649269,4.260945334
33,4.294951244,4.348041204
34,4.132781634,4.272295194
35,4.164388268,4.195306342
36,4.228269362,4.291204209
37,4.134459123,4.158024644
38,4.193291143,4.212767885
39,4.182061693,4.196600686
40,4.238440788,4.261481128
41,4.088513708,4.105371128
42,4.226789438,4.349236531
43,4.193448712,4.236475591
44,4.133092422,4.163500743
45,4.201692219,4.258828605
46,4.131568017,4.186854012
47,4.131678327,4.241442609
48,4.156665215,4.216621313
49,4.154585749,4.221312906
50,4.061000114,4.126231954
51,4.182763613,4.306345430
52,4.246027884,4.315222201
53,4.159411092,4.202190570
54,4.075274889,4.119541561
55,4.152135600,4.225576598
56,4.145446213,4.187947821
57,4.187265445,4.249335272
58,4.110628117,4.137200858
59,4.165599735,4.180379734
60,4.210133225,4.252365148
61,4.189067350,4.242454851
62,4.161090379,4.202233646
63,4.198496000,4.234083728
64,4.070341915,4.129638614
65,4.137572319,4.160782917
66,4.146449205,4.212151377
67,4.193559180,4.250205691
68,4.135168192,4.199290868
69,4.031432190,4.223597002
70,4.197800404,4.265882564
71,4.150621624,4.207063928
72,4.181039053,4.245670466
73,4.176035364,4.213008708
74,4.242380640,4.292129915
75,4.136994220,4.166474810
76,4.332851690,4.374533239
77,4.273824202,4.313528613
78,4.223559890,4.269250440
79,4.240664716,4.272281795
80,4.190298227,4.228130331
81,4.078229029,4.142740606
82,4.145918221,4.224033471
83,4.118496940,4.178385909
84,4.167401723,4.193776866
85,4.096512172,4.124295183
86,4.126544233,4.144044383
87,4.068117855,4.137231902
88,4.188193402,4.191857882
89,4.091558685,4.094881074
90,4.178533953,4.181714597
91,4.191838442,4.216830295
92,4.087186020,4.142562434
93,4.096794132,4.140628359
94,4.233521004,4.288123144
95,4.153922024,4.181482189
96,4.149782805,4.180790223
97,4.116086142,4.173898259
98,4.102850914,4.135695450
99,4.130949818,4.204707137
100,4.168181905,4.237394722
avg,4.154999325,
min,4.031432190,
max,4.332851690,
