run,time_s,wall_s
1,1.299079227,1.339952755
2,1.284562654,1.324838886
3,1.344716749,1.363903404
4,1.317792410,1.337753059
5,1.305517059,1.352863880
6,1.333500421,1.389357457
7,1.297915908,1.369956013
8,1.292031420,1.325987246
9,1.335733940,1.361757692
10,1.292156029,1.317000707
11,1.298017071,1.371347909
12,1.273487879,1.350379603
13,1.299998193,1.342355413
14,1.323702798,1.399640769
15,1.286597725,1.320408460
16,1.300235490,1.342451620
17,1.343981952,1.451206157
18,1.266514304,1.329929247
19,1.279976587,1.384164285
20,1.338396532,1.408508203
21,1.288540470,1.310105808
22,1.338883779,1.401080217
23,1.294073082,1.393589592
24,1.275830995,1.354198971
25,1.331903200,1.362830591
26,1.288883182,1.388643910
27,1.289117718,1.333474831
28,1.330424925,1.423370901
29,1.298150706,1.361706597
30,1.352096770,1.403041931
31,1.265775757,1.374683362
32,1.296593380,1.364745476
33,1.344026707,1.385126245
34,1.267019183,1.332539850
35,1.275187248,1.325525463
36,1.352500375,1.458643664
37,1.314954104,1.418409685
38,1.329546778,1.395586879
39,1.298734626,1.308689682
40,1.270802768,1.324286234
41,1.330368657,1.352205704
42,1.313477597,1.361143079
43,1.279936423,1.358189817
44,1.321232282,1.381105894
45,1.269353330,1.360297538
46,1.262236439,1.365321178
47,1.347853568,1.373180083
48,1.307784859,1.361253698
49,1.328432044,1.397552048
50,1.284290123,1.357787215
51,1.268026220,1.315713832
52,1.347533957,1.395950663
53,1.280124747,1.346441405
54,1.274472811,1.339539642
55,1.329558349,1.372562477
56,1.318297099,1.374290391
57,1.295721984,1.318592533
58,1.356475592,1.432205951
59,1.300247412,1.336891393
60,1.278597192,1.289105771
61,1.330911222,1.400634601
62,1.290358872,1.367297755
63,1.323727197,1.410029979
64,1.307614841,1.372750449
65,1.304254265,1.400931009
66,1.338148869,1.423129518
67,1.272812725,1.308638814
68,1.293434026,1.383088244
69,1.292268211,1.349891428
70,1.303854631,1.339887689
71,1.319865893,1.394609029
72,1.269063762,1.321190070
73,1.286653848,1.316924967
74,1.394949504,1.415429612
75,1.311319981,1.403533866
76,1.292023085,1.340384934
77,1.332857670,1.408129398
78,1.291223819,1.352552543
79,1.270360535,1.338163518
80,1.335633196,1.382624731
81,1.271658263,1.340696809
82,1.327290865,1.389104351
83,1.286292800,1.339987783
84,1.286358015,1.328501297
85,1.341392462,1.419831325
86,1.273333001,1.335466244
87,1.275826360,1.372698448
88,1.338285490,1.379724492
89,1.307805718,1.333393403
90,1.284882768,1.316644137
91,1.348415115,1.413291497
92,1.274780191,1.308281746
93,1.379276974,1.392208941
94,1.288546540,1.313380039
95,1.287000169,1.409971155
96,1.341209138,1.385187294
97,1.278841668,1.358971332
98,1.291749447,1.315136920
99,1.331832314,1.371981536
100,1.282610156,1.325039510
avg,1.305697044,
min,1.262236439,
max,1.394949504,
