run,time_s,wall_s
1,2.283857416,2.286941660
2,2.306886332,2.337331116
3,2.256864316,2.276494428
4,2.297567859,2.300777393
5,2.287913970,2.291733686
6,2.289292722,2.309561806
7,2.248457235,2.296541130
8,2.270236635,2.297417476
9,2.241406388,2.244591978
10,2.258889167,2.262401948
11,2.259098840,2.262340827
12,2.289435441,2.292679863
13,2.294849573,2.319977495
14,2.250638144,2.294411190
15,2.244321582,2.260834440
16,2.238995450,2.242284126
17,2.245080060,2.248337381
18,2.267282812,2.270763802
19,2.287471254,2.290923475
20,2.284745534,2.288109579
21,2.276803811,2.305259184
22,2.232985367,2.272976290
23,2.272042352,2.291574293
24,2.279335761,2.282737967
25,2.251244398,2.255000663
26,2.290753597,2.293991461
27,2.286216106,2.289454867
28,2.239824650,2.264988472
29,2.236033393,2.283100732
30,2.238771776,2.285160354
31,2.233440565,2.255366278
32,2.262324253,2.265408216
33,2.248020035,2.251734951
34,2.283370775,2.287036605
35,2.252023649,2.266015522
36,2.296684584,2.329252735
37,2.293329312,2.314262689
38,2.294690738,2.309521928
39,2.298026464,2.301263212
40,2.241088734,2.244406622
41,2.263450956,2.266834603
42,2.235026305,2.238926855
43,2.262860054,2.287817482
44,2.274107971,2.293711558
45,2.248037616,2.273016099
46,2.262442626,2.276693103
47,2.245632750,2.248801767
48,2.277977365,2.281461987
49,2.267285294,2.270450540
50,2.250442177,2.253859642
51,2.266602652,2.291928127
52,2.240577496,2.287556313
53,2.266160354,2.286481763
54,2.248582409,2.262823744
55,2.234029470,2.237233754
56,2.314284172,2.317589438
57,2.244106274,2.247441282
58,2.251261932,2.276140632
59,2.282939511,2.298160995
60,2.276816361,2.313772750
61,2.271629152,2.279978667
62,2.254544761,2.258021990
63,2.289563486,2.292784816
64,2.225357748,2.228817600
65,2.242887831,2.273009143
66,2.226939093,2.274620794
67,2.279881915,2.316618645
68,2.232980353,2.253122395
69,2.252218268,2.270964433
70,2.254806860,2.258543359
71,2.238477714,2.241677898
72,2.261743300,2.265137569
73,2.249476913,2.274458425
74,2.227844083,2.280653485
75,2.264587972,2.275323224
76,2.261767710,2.275884219
77,2.276826680,2.280423878
78,2.300350711,2.303669306
79,2.278745799,2.282076707
80,2.285870042,2.299892556
81,2.265375401,2.296288843
82,2.234916104,2.293147930
83,2.246153697,2.273582264
84,2.321007923,2.324374877
85,2.262718706,2.265849471
86,2.259569371,2.263318654
87,2.286977937,2.302223734
88,2.292067989,2.333294454
89,2.321437035,2.337684490
90,2.262573585,2.266804787
91,2.303697017,2.307107670
92,2.255882115,2.259607997
93,2.250047171,2.253314328
94,2.241964340,2.267296315
95,2.259072944,2.302514323
96,2.330120547,2.349796582
97,2.241455961,2.244720300
98,2.243253758,2.246602294
99,2.271976217,2.275506553
100,2.260981752,2.264627859
avg,2.265106748,
min,2.225357748,
max,2.330120547,
