program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.232393742,0.236201239,1,"0,1"
prio,0,0.244831574,0.248426596,1,"0,1"
baseline,1,0.194908153,0.198590823,1,"0,1"
prio,1,0.244647236,0.248605121,1,"0,1"
baseline,2,0.263198847,0.288686948,1,"0,1"
prio,2,0.243874048,0.264037169,1,"0,1"
baseline,3,0.194900008,0.198483026,1,"0,1"
prio,3,0.244504261,0.248127677,1,"0,1"
baseline,4,0.213145552,0.216763475,1,"0,1"
prio,4,0.243753902,0.247503876,1,"0,1"
baseline,5,0.214182565,0.218018731,1,"0,1"
prio,5,0.244057974,0.248020393,1,"0,1"
baseline,6,0.247813231,0.262185250,1,"0,1"
prio,6,0.245951541,0.271751401,1,"0,1"
baseline,7,0.196359243,0.199948386,1,"0,1"
prio,7,0.242491417,0.246155036,1,"0,1"
baseline,8,0.225435484,0.229053593,1,"0,1"
prio,8,0.241361333,0.245079564,1,"0,1"
baseline,9,0.210523988,0.214571769,1,"0,1"
prio,9,0.244957000,0.248594576,1,"0,1"
baseline,10,0.216945872,0.220566256,1,"0,1"
prio,10,0.242721081,0.257736272,1,"0,1"
baseline,11,0.206259154,0.232246709,1,"0,1"
prio,11,0.244819422,0.248579935,1,"0,1"
baseline,12,0.214287025,0.217998569,1,"0,1"
prio,12,0.243309273,0.246925224,1,"0,1"
baseline,13,0.195325113,0.199031100,1,"0,1"
prio,13,0.244015702,0.247751186,1,"0,1"
baseline,14,0.194431069,0.198852580,1,"0,1"
prio,14,0.243505616,0.263893388,1,"0,1"
baseline,15,0.283589476,0.321710395,1,"0,1"
prio,15,0.245765099,0.250949304,1,"0,1"
baseline,16,0.213798893,0.217463250,1,"0,1"
prio,16,0.243080003,0.246929870,1,"0,1"
baseline,17,0.216948506,0.220555963,1,"0,1"
prio,17,0.240002409,0.244080044,1,"0,1"
baseline,18,0.242865337,0.246390878,1,"0,1"
prio,18,0.243257169,0.263472383,1,"0,1"
baseline,19,0.252690299,0.286966843,1,"0,1"
prio,19,0.243204280,0.246977773,1,"0,1"
baseline,20,0.196922391,0.201217492,1,"0,1"
prio,20,0.245902933,0.249734099,1,"0,1"
baseline,21,0.223269179,0.226896454,1,"0,1"
prio,21,0.241804779,0.245429811,1,"0,1"
baseline,22,0.215514855,0.219084936,1,"0,1"
prio,22,0.242996172,0.268239114,1,"0,1"
baseline,23,0.294791042,0.335623111,1,"0,1"
prio,23,0.248114907,0.252297447,1,"0,1"
baseline,24,0.213685586,0.217524401,1,"0,1"
prio,24,0.244525949,0.248581189,1,"0,1"
baseline,25,0.197161094,0.201177382,1,"0,1"
prio,25,0.243914749,0.247972115,1,"0,1"
baseline,26,0.225399851,0.229657429,1,"0,1"
prio,26,0.245086827,0.248692342,1,"0,1"
baseline,27,0.223030312,0.242534557,1,"0,1"
prio,27,0.246255007,0.268885194,1,"0,1"
baseline,28,0.214789638,0.218362475,1,"0,1"
prio,28,0.245053397,0.249183468,1,"0,1"
baseline,29,0.235719120,0.239442281,1,"0,1"
prio,29,0.243515813,0.247289682,1,"0,1"
baseline,30,0.224567221,0.228494231,1,"0,1"
prio,30,0.242037134,0.246005291,1,"0,1"
baseline,31,0.200300875,0.204308795,1,"0,1"
prio,31,0.261376618,0.276031152,1,"0,1"
baseline,32,0.207067610,0.227762584,1,"0,1"
prio,32,0.243932654,0.247706850,1,"0,1"
baseline,33,0.236539320,0.240144839,1,"0,1"
prio,33,0.244664782,0.248585073,1,"0,1"
baseline,34,0.231133006,0.234751197,1,"0,1"
prio,34,0.244987596,0.248660164,1,"0,1"
baseline,35,0.217855532,0.221489796,1,"0,1"
