program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.195313743,0.198877352,1,"0,1"
prio,0,0.194412378,0.198178207,1,"0,1"
baseline,1,0.197678146,0.201666651,1,"0,1"
prio,1,0.193623853,0.197616263,1,"0,1"
baseline,2,0.199404403,0.203567274,1,"0,1"
prio,2,0.194352503,0.198224177,1,"0,1"
baseline,3,0.284929216,0.310348871,1,"0,1"
prio,3,0.198251138,0.218413654,1,"0,1"
baseline,4,0.221124694,0.224850872,1,"0,1"
prio,4,0.195747335,0.199354546,1,"0,1"
baseline,5,0.232707953,0.236244996,1,"0,1"
prio,5,0.194699337,0.198378499,1,"0,1"
baseline,6,0.232844374,0.236411880,1,"0,1"
prio,6,0.195210041,0.198955800,1,"0,1"
baseline,7,0.226867260,0.230539152,1,"0,1"
prio,7,0.194430459,0.198386474,1,"0,1"
baseline,8,0.236258365,0.267029881,1,"0,1"
prio,8,0.195133899,0.201018395,1,"0,1"
baseline,9,0.224096195,0.227759536,1,"0,1"
prio,9,0.195007964,0.198855236,1,"0,1"
baseline,10,0.219080108,0.222767538,1,"0,1"
prio,10,0.196733707,0.200358015,1,"0,1"
baseline,11,0.215165052,0.218832941,1,"0,1"
prio,11,0.193825587,0.197397359,1,"0,1"
baseline,12,0.272322061,0.297587147,1,"0,1"
prio,12,0.195288544,0.226240385,1,"0,1"
baseline,13,0.219548503,0.223137677,1,"0,1"
prio,13,0.194501158,0.198597213,1,"0,1"
baseline,14,0.227313282,0.231085887,1,"0,1"
prio,14,0.194640891,0.198231172,1,"0,1"
baseline,15,0.218974444,0.222549599,1,"0,1"
prio,15,0.195278935,0.199275537,1,"0,1"
baseline,16,0.219005940,0.222770973,1,"0,1"
prio,16,0.194077091,0.211193822,1,"0,1"
baseline,17,0.244945180,0.263441233,1,"0,1"
prio,17,0.195060926,0.199247576,1,"0,1"
baseline,18,0.195027855,0.198480411,1,"0,1"
prio,18,0.194233200,0.197956967,1,"0,1"
baseline,19,0.210197862,0.213895744,1,"0,1"
prio,19,0.194279536,0.198089660,1,"0,1"
baseline,20,0.197402711,0.200998067,1,"0,1"
prio,20,0.194047868,0.197759870,1,"0,1"
baseline,21,0.247284000,0.272601384,1,"0,1"
prio,21,0.194635012,0.220507496,1,"0,1"
baseline,22,0.240985704,0.261105379,1,"0,1"
prio,22,0.194996522,0.198753100,1,"0,1"
baseline,23,0.199040457,0.202524881,1,"0,1"
prio,23,0.193837892,0.197537190,1,"0,1"
baseline,24,0.215221580,0.218894581,1,"0,1"
prio,24,0.194290673,0.197979799,1,"0,1"
baseline,25,0.218135533,0.221749172,1,"0,1"
prio,25,0.195077861,0.198693403,1,"0,1"
baseline,26,0.287386525,0.323809082,1,"0,1"
prio,26,0.196096229,0.210912664,1,"0,1"
baseline,27,0.232891503,0.236953442,1,"0,1"
prio,27,0.193768560,0.197510252,1,"0,1"
baseline,28,0.219835375,0.223466898,1,"0,1"
prio,28,0.195003539,0.199288238,1,"0,1"
baseline,29,0.242728582,0.246619540,1,"0,1"
prio,29,0.195057976,0.198825609,1,"0,1"
baseline,30,0.222599811,0.253357811,1,"0,1"
prio,30,0.194321313,0.239489910,1,"0,1"
baseline,31,0.216785976,0.239300762,1,"0,1"
prio,31,0.194824103,0.198566211,1,"0,1"
baseline,32,0.233810752,0.237806849,1,"0,1"
prio,32,0.194420485,0.198056716,1,"0,1"
baseline,33,0.221287868,0.224892617,1,"0,1"
prio,33,0.194956587,0.198691641,1,"0,1"
baseline,34,0.239434208,0.243266834,1,"0,1"
prio,34,0.195448243,0.199707104,1,"0,1"
baseline,35,0.290029587,0.336679608,1,"0,1"
prio,35,0.202822900,0.207776452,1,"0,1"
baseline,36,0.206587535,0.210535023,1,"0,1"
prio,36,0.194452192,0.198823794,1,"0,1"
baseline,37,0.215022329,0.218639988,1,"0,1"
prio,37,0.194295429,0.198441457,1,"0,1"
baseline,38,0.230421498,0.234194264,1,"0,1"
prio,38,0.194667918,0.198649857,1,"0,1"
baseline,39,0.292700696,0.301714980,1,"0,1"
prio,39,0.195327265,0.220923288,1,"0,1"
baseline,40,0.215996384,0.241376289,1,"0,1"
prio,40,0.195022365,0.198808361,1,"0,1"
