program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.216276057,0.219786975,1,"0,1"
prio,0,0.195507324,0.199388493,1,"0,1"
baseline,1,0.217173146,0.221027724,1,"0,1"
prio,1,0.195661048,0.199675783,1,"0,1"
baseline,2,0.215190256,0.218660602,1,"0,1"
prio,2,0.197340241,0.201089362,1,"0,1"
baseline,3,0.223713748,0.227292184,1,"0,1"
prio,3,0.201046130,0.215262578,1,"0,1"
baseline,4,0.250069781,0.270119269,1,"0,1"
prio,4,0.196180243,0.200041114,1,"0,1"
baseline,5,0.233017862,0.236859709,1,"0,1"
prio,5,0.197126653,0.200658757,1,"0,1"
baseline,6,0.228869981,0.232409592,1,"0,1"
prio,6,0.193890755,0.197390174,1,"0,1"
baseline,7,0.198775089,0.202529180,1,"0,1"
prio,7,0.195061449,0.198877472,1,"0,1"
baseline,8,0.248197684,0.273293654,1,"0,1"
prio,8,0.200291143,0.220599655,1,"0,1"
baseline,9,0.224008229,0.227532485,1,"0,1"
prio,9,0.195394531,0.199165698,1,"0,1"
baseline,10,0.218317462,0.221961282,1,"0,1"
prio,10,0.197737120,0.201305509,1,"0,1"
baseline,11,0.219597913,0.223147711,1,"0,1"
prio,11,0.197675639,0.201538493,1,"0,1"
baseline,12,0.221792216,0.225424985,1,"0,1"
prio,12,0.196857020,0.217005647,1,"0,1"
baseline,13,0.251741261,0.294812022,1,"0,1"
prio,13,0.196925432,0.211772015,1,"0,1"
baseline,14,0.228715350,0.232178981,1,"0,1"
prio,14,0.196439972,0.200201965,1,"0,1"
baseline,15,0.216894043,0.221084349,1,"0,1"
prio,15,0.196441792,0.200324736,1,"0,1"
baseline,16,0.201890485,0.205693181,1,"0,1"
prio,16,0.196274099,0.200076810,1,"0,1"
baseline,17,0.273656483,0.298786144,1,"0,1"
prio,17,0.199614674,0.203691290,1,"0,1"
baseline,18,0.245373553,0.248836535,1,"0,1"
prio,18,0.195719912,0.199389644,1,"0,1"
baseline,19,0.211386972,0.214913008,1,"0,1"
prio,19,0.196846593,0.200364028,1,"0,1"
baseline,20,0.227325449,0.230787251,1,"0,1"
prio,20,0.195916679,0.199508697,1,"0,1"
baseline,21,0.222823266,0.226498524,1,"0,1"
prio,21,0.195596844,0.226685122,1,"0,1"
baseline,22,0.224159293,0.260647202,1,"0,1"
prio,22,0.196198366,0.199828708,1,"0,1"
baseline,23,0.196614193,0.200277685,1,"0,1"
prio,23,0.195861046,0.199520220,1,"0,1"
baseline,24,0.218641064,0.222249197,1,"0,1"
prio,24,0.199041909,0.202614312,1,"0,1"
baseline,25,0.234337446,0.237846487,1,"0,1"
prio,25,0.194908945,0.198621010,1,"0,1"
baseline,26,0.273607209,0.282413641,1,"0,1"
prio,26,0.197979141,0.224885429,1,"0,1"
baseline,27,0.213006188,0.232969947,1,"0,1"
prio,27,0.196562940,0.200146134,1,"0,1"
baseline,28,0.224932463,0.228679757,1,"0,1"
prio,28,0.195642441,0.199634657,1,"0,1"
baseline,29,0.245432877,0.248959860,1,"0,1"
prio,29,0.200946302,0.209765916,1,"0,1"
baseline,30,0.203537473,0.207079372,1,"0,1"
prio,30,0.199774263,0.230925518,1,"0,1"
baseline,31,0.273613583,0.308413178,1,"0,1"
prio,31,0.199096709,0.224703414,1,"0,1"
baseline,32,0.223600066,0.227017611,1,"0,1"
prio,32,0.196891674,0.200504006,1,"0,1"
baseline,33,0.235056087,0.238551302,1,"0,1"
prio,33,0.198356713,0.202144038,1,"0,1"
baseline,34,0.217016032,0.220496653,1,"0,1"
prio,34,0.197802600,0.201881594,1,"0,1"
baseline,35,0.278465417,0.298783409,1,"0,1"
prio,35,0.196090500,0.205076002,1,"0,1"
baseline,36,0.224186356,0.227955878,1,"0,1"
prio,36,0.196092181,0.200032931,1,"0,1"
baseline,37,0.217930277,0.222359057,1,"0,1"
prio,37,0.197182984,0.201263300,1,"0,1"
baseline,38,0.217378057,0.221178432,1,"0,1"
prio,38,0.196077840,0.200006817,1,"0,1"
baseline,39,0.221199842,0.224844948,1,"0,1"
prio,39,0.225334760,0.245364690,1,"0,1"
baseline,40,0.245461876,0.259894009,1,"0,1"
prio,40,0.195369350,0.198965973,1,"0,1"
baseline,41,0.225057432,0.228797080,1,"0,1"
prio,41,0.199617501,0.203587490,1,"0,1"
baseline,42,0.203119502,0.207422408,1,"0,1"
prio,42,0.197971936,0.202112062,1,"0,1"
baseline,43,0.197414140,0.200944864,1,"0,1"
prio,43,0.195031685,0.198936475,1,"0,1"
baseline,44,0.234317183,0.248385577,1,"0,1"
prio,44,0.200329987,0.220385174,1,"0,1"
baseline,45,0.199536325,0.219394170,1,"0,1"
prio,45,0.200954246,0.204478645,1,"0,1"
baseline,46,0.194062794,0.197888406,1,"0,1"
prio,46,0.195737334,0.199880327,1,"0,1"
baseline,47,0.234321512,0.237901556,1,"0,1"
prio,47,0.194638040,0.198376917,1,"0,1"
baseline,48,0.196405759,0.199937607,1,"0,1"
prio,48,0.195534119,0.206687759,1,"0,1"
baseline,49,0.243264238,0.285592000,1,"0,1"
prio,49,0.197117104,0.212066510,1,"0,1"
baseline,50,0.221155651,0.224912292,1,"0,1"
