program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.215818791,0.219125572,1,"0,1"
prio,0,0.241982302,0.245766255,1,"0,1"
baseline,1,0.216103097,0.219649305,1,"0,1"
prio,1,0.243418349,0.247082921,1,"0,1"
baseline,2,0.211316908,0.214876272,1,"0,1"
prio,2,0.243189503,0.273835470,1,"0,1"
baseline,3,0.212235931,0.237728170,1,"0,1"
prio,3,0.246683512,0.250724452,1,"0,1"
baseline,4,0.197327807,0.201132117,1,"0,1"
prio,4,0.242474123,0.246323455,1,"0,1"
baseline,5,0.197085560,0.200754981,1,"0,1"
prio,5,0.243143397,0.246722546,1,"0,1"
baseline,6,0.196995574,0.201214684,1,"0,1"
prio,6,0.243322235,0.264071783,1,"0,1"
baseline,7,0.273014250,0.303514194,1,"0,1"
prio,7,0.241872794,0.245925478,1,"0,1"
baseline,8,0.225070514,0.228698137,1,"0,1"
prio,8,0.242186415,0.246089444,1,"0,1"
baseline,9,0.216069473,0.219771144,1,"0,1"
prio,9,0.243027477,0.247036708,1,"0,1"
baseline,10,0.196189705,0.200367154,1,"0,1"
prio,10,0.241560329,0.245533183,1,"0,1"
baseline,11,0.274674582,0.294735125,1,"0,1"
prio,11,0.245812937,0.265614026,1,"0,1"
baseline,12,0.214597083,0.218346467,1,"0,1"
prio,12,0.241834652,0.245760500,1,"0,1"
baseline,13,0.233601733,0.237164161,1,"0,1"
prio,13,0.241936775,0.245500173,1,"0,1"
baseline,14,0.217447373,0.221089142,1,"0,1"
prio,14,0.242539885,0.246011853,1,"0,1"
baseline,15,0.271577590,0.302069585,1,"0,1"
prio,15,0.241796157,0.262020417,1,"0,1"
baseline,16,0.211536761,0.215097606,1,"0,1"
prio,16,0.242560915,0.246225273,1,"0,1"
baseline,17,0.217743336,0.221414257,1,"0,1"
prio,17,0.240949916,0.244566965,1,"0,1"
baseline,18,0.210899567,0.214303425,1,"0,1"
prio,18,0.237530308,0.240988827,1,"0,1"
baseline,19,0.246778634,0.271991461,1,"0,1"
prio,19,0.243865256,0.252663374,1,"0,1"
baseline,20,0.195317519,0.198884099,1,"0,1"
prio,20,0.242903825,0.246634149,1,"0,1"
baseline,21,0.195237686,0.198747481,1,"0,1"
prio,21,0.242326476,0.246133271,1,"0,1"
baseline,22,0.214493903,0.218279342,1,"0,1"
prio,22,0.251497025,0.254949766,1,"0,1"
baseline,23,0.215870754,0.219399404,1,"0,1"
prio,23,0.242297590,0.267736498,1,"0,1"
baseline,24,0.259681106,0.279540692,1,"0,1"
prio,24,0.240464150,0.244157467,1,"0,1"
baseline,25,0.210447333,0.214320867,1,"0,1"
prio,25,0.240166005,0.244142888,1,"0,1"
baseline,26,0.199623181,0.203020111,1,"0,1"
prio,26,0.244769289,0.248429347,1,"0,1"
baseline,27,0.194842319,0.198432686,1,"0,1"
prio,27,0.243993501,0.269648832,1,"0,1"
baseline,28,0.274858609,0.296375981,1,"0,1"
prio,28,0.242136739,0.245847658,1,"0,1"
baseline,29,0.213984331,0.217639895,1,"0,1"
prio,29,0.241986668,0.246527893,1,"0,1"
baseline,30,0.225159183,0.228884697,1,"0,1"
prio,30,0.248784549,0.252325553,1,"0,1"
baseline,31,0.222713357,0.226707607,1,"0,1"
prio,31,0.241091477,0.271780799,1,"0,1"
baseline,32,0.258981583,0.299430087,1,"0,1"
