program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.148472251,0.151736373,1,"0,1"
prio,0,0.162366425,0.187804937,1,"0,1"
baseline,1,0.189214965,0.231042416,1,"0,1"
prio,1,0.164758895,0.184871055,1,"0,1"
baseline,2,0.146674725,0.150872850,1,"0,1"
prio,2,0.163509621,0.167589374,1,"0,1"
baseline,3,0.156281599,0.159835029,1,"0,1"
prio,3,0.166749148,0.170457341,1,"0,1"
baseline,4,0.146351584,0.150837476,1,"0,1"
prio,4,0.161244197,0.164667575,1,"0,1"
baseline,5,0.155659878,0.159318085,1,"0,1"
prio,5,0.161036634,0.164572171,1,"0,1"
baseline,6,0.146069126,0.149677484,1,"0,1"
prio,6,0.157338567,0.161355340,1,"0,1"
baseline,7,0.180988048,0.195101876,1,"0,1"
prio,7,0.163433471,0.210166324,1,"0,1"
baseline,8,0.142166916,0.173215887,1,"0,1"
prio,8,0.163400321,0.166843346,1,"0,1"
baseline,9,0.162091996,0.165629808,1,"0,1"
prio,9,0.165117476,0.168615128,1,"0,1"
baseline,10,0.150407455,0.153989133,1,"0,1"
prio,10,0.161676719,0.165160941,1,"0,1"
baseline,11,0.157710130,0.160881474,1,"0,1"
prio,11,0.163437939,0.166870011,1,"0,1"
baseline,12,0.144764909,0.148220926,1,"0,1"
prio,12,0.161875841,0.165299393,1,"0,1"
baseline,13,0.192712827,0.206732655,1,"0,1"
prio,13,0.157231796,0.173478833,1,"0,1"
baseline,14,0.157437598,0.161815681,1,"0,1"
prio,14,0.160007810,0.163691205,1,"0,1"
baseline,15,0.159361925,0.162832440,1,"0,1"
prio,15,0.157636742,0.161102791,1,"0,1"
baseline,16,0.143895533,0.147485757,1,"0,1"
prio,16,0.159274525,0.162647249,1,"0,1"
baseline,17,0.146209832,0.149444136,1,"0,1"
prio,17,0.161399372,0.164985314,1,"0,1"
baseline,18,0.145074856,0.148655368,1,"0,1"
prio,18,0.161435413,0.164893382,1,"0,1"
baseline,19,0.201604407,0.209404870,1,"0,1"
prio,19,0.159192566,0.168400129,1,"0,1"
baseline,20,0.148609544,0.152057622,1,"0,1"
prio,20,0.162140138,0.165642759,1,"0,1"
baseline,21,0.143278306,0.146757362,1,"0,1"
prio,21,0.147131426,0.150645974,1,"0,1"
baseline,22,0.146200545,0.149395989,1,"0,1"
prio,22,0.156669632,0.160535837,1,"0,1"
baseline,23,0.157953761,0.164941263,1,"0,1"
prio,23,0.148701658,0.152273885,1,"0,1"
baseline,24,0.144671555,0.148018994,1,"0,1"
prio,24,0.161778061,0.165186882,1,"0,1"
baseline,25,0.159937408,0.179604070,1,"0,1"
prio,25,0.162005407,0.203639338,1,"0,1"
baseline,26,0.156851523,0.185356095,1,"0,1"
prio,26,0.159504904,0.163121401,1,"0,1"
