program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.154057225,0.179488703,1,"0,1"
prio,0,0.142762097,0.180920298,1,"0,1"
baseline,1,0.171055389,0.196892834,1,"0,1"
prio,1,0.141416684,0.166767852,1,"0,1"
baseline,2,0.138238904,0.141891152,1,"0,1"
prio,2,0.129145292,0.132882976,1,"0,1"
baseline,3,0.145950051,0.149342449,1,"0,1"
prio,3,0.131033441,0.134711619,1,"0,1"
baseline,4,0.140967651,0.144733592,1,"0,1"
prio,4,0.129943482,0.133510717,1,"0,1"
baseline,5,0.140890898,0.144627402,1,"0,1"
prio,5,0.129396387,0.133030979,1,"0,1"
baseline,6,0.135270915,0.138808198,1,"0,1"
prio,6,0.130475450,0.133952515,1,"0,1"
baseline,7,0.228432680,0.253073447,1,"0,1"
prio,7,0.141418050,0.155847475,1,"0,1"
baseline,8,0.145646491,0.149321695,1,"0,1"
prio,8,0.137170748,0.140899167,1,"0,1"
baseline,9,0.143280301,0.147002384,1,"0,1"
prio,9,0.139819100,0.143746325,1,"0,1"
baseline,10,0.152586816,0.156220272,1,"0,1"
prio,10,0.141325223,0.145052128,1,"0,1"
baseline,11,0.146046987,0.149718402,1,"0,1"
prio,11,0.144022385,0.148156117,1,"0,1"
baseline,12,0.150003924,0.153534258,1,"0,1"
prio,12,0.143529088,0.147651539,1,"0,1"
baseline,13,0.142616473,0.167834440,1,"0,1"
prio,13,0.142136194,0.183898481,1,"0,1"
baseline,14,0.177472339,0.216737147,1,"0,1"
prio,14,0.141480540,0.166460020,1,"0,1"
baseline,15,0.145512489,0.149755730,1,"0,1"
prio,15,0.141604159,0.145519862,1,"0,1"
baseline,16,0.171426839,0.175051674,1,"0,1"
prio,16,0.141529773,0.145126757,1,"0,1"
baseline,17,0.146806345,0.150516781,1,"0,1"
prio,17,0.136424059,0.140293929,1,"0,1"
baseline,18,0.142300819,0.146066017,1,"0,1"
prio,18,0.140054436,0.143848341,1,"0,1"
baseline,19,0.149400947,0.152826512,1,"0,1"
prio,19,0.143294480,0.158285857,1,"0,1"
baseline,20,0.203254259,0.239176046,1,"0,1"
prio,20,0.137331452,0.168152727,1,"0,1"
baseline,21,0.136282815,0.139830573,1,"0,1"
prio,21,0.140150062,0.143748429,1,"0,1"
baseline,22,0.137855119,0.141615625,1,"0,1"
prio,22,0.136566447,0.140122975,1,"0,1"
baseline,23,0.145654805,0.149380173,1,"0,1"
prio,23,0.140377205,0.144232723,1,"0,1"
baseline,24,0.161960522,0.165554716,1,"0,1"
prio,24,0.140163539,0.144034778,1,"0,1"
baseline,25,0.144517808,0.148811788,1,"0,1"
prio,25,0.129171575,0.132858833,1,"0,1"
baseline,26,0.154674828,0.179537621,1,"0,1"
prio,26,0.141518920,0.167957273,1,"0,1"
baseline,27,0.185825092,0.221655866,1,"0,1"
prio,27,0.141475877,0.145545338,1,"0,1"
baseline,28,0.142824563,0.146226215,1,"0,1"
prio,28,0.129700367,0.133294609,1,"0,1"
baseline,29,0.130695605,0.134291128,1,"0,1"
prio,29,0.134255591,0.137631432,1,"0,1"
baseline,30,0.159570548,0.163258209,1,"0,1"
prio,30,0.140933479,0.144610281,1,"0,1"
baseline,31,0.148336557,0.152014774,1,"0,1"
prio,31,0.138414220,0.142212900,1,"0,1"
baseline,32,0.152600692,0.156533453,1,"0,1"
