program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.147083197,0.153515231,1,"0,1"
prio,0,0.146179584,0.150647120,1,"0,1"
baseline,1,0.177699199,0.181280804,1,"0,1"
prio,1,0.145120363,0.149153746,1,"0,1"
baseline,2,0.164248057,0.167718799,1,"0,1"
prio,2,0.146681974,0.151255654,1,"0,1"
baseline,3,0.148209113,0.151690480,1,"0,1"
prio,3,0.147435385,0.172826021,1,"0,1"
baseline,4,0.188068748,0.218937701,1,"0,1"
prio,4,0.147748947,0.167652225,1,"0,1"
baseline,5,0.162786209,0.166216044,1,"0,1"
prio,5,0.151147040,0.154639019,1,"0,1"
baseline,6,0.151869082,0.155508500,1,"0,1"
prio,6,0.146083315,0.149954504,1,"0,1"
baseline,7,0.149647725,0.153408006,1,"0,1"
prio,7,0.145730549,0.149341592,1,"0,1"
baseline,8,0.169733507,0.173714366,1,"0,1"
prio,8,0.147172752,0.151326708,1,"0,1"
baseline,9,0.156054091,0.159678005,1,"0,1"
prio,9,0.147393470,0.152100051,1,"0,1"
baseline,10,0.211307141,0.232731448,1,"0,1"
prio,10,0.145326372,0.176119604,1,"0,1"
baseline,11,0.145930546,0.149308019,1,"0,1"
prio,11,0.147452555,0.150936267,1,"0,1"
baseline,12,0.171463544,0.175147453,1,"0,1"
prio,12,0.135575375,0.139086283,1,"0,1"
baseline,13,0.143821342,0.147269099,1,"0,1"
prio,13,0.146939461,0.150674822,1,"0,1"
baseline,14,0.152079554,0.155766746,1,"0,1"
prio,14,0.148739869,0.152332977,1,"0,1"
baseline,15,0.165877429,0.169336121,1,"0,1"
prio,15,0.145195437,0.148653284,1,"0,1"
baseline,16,0.172531781,0.203140157,1,"0,1"
prio,16,0.135459153,0.169822991,1,"0,1"
baseline,17,0.145365517,0.166818266,1,"0,1"
prio,17,0.149572977,0.153522204,1,"0,1"
baseline,18,0.151180009,0.154818114,1,"0,1"
prio,18,0.144820865,0.148629500,1,"0,1"
baseline,19,0.172400016,0.175774718,1,"0,1"
prio,19,0.142444392,0.146083666,1,"0,1"
baseline,20,0.143353895,0.146729207,1,"0,1"
prio,20,0.135791668,0.139385297,1,"0,1"
