program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.272137792,0.275646852,1,"0,1"
prio,0,0.238167839,0.241882378,1,"0,1"
baseline,1,0.273912291,0.299894644,1,"0,1"
prio,1,0.238848743,0.271907663,1,"0,1"
baseline,2,0.274191613,0.289062432,1,"0,1"
prio,2,0.234546823,0.238238220,1,"0,1"
baseline,3,0.291516752,0.295056090,1,"0,1"
prio,3,0.238473228,0.242357840,1,"0,1"
baseline,4,0.265589028,0.269277745,1,"0,1"
prio,4,0.234314414,0.237941302,1,"0,1"
baseline,5,0.350977201,0.376283640,1,"0,1"
prio,5,0.234732650,0.260386200,1,"0,1"
baseline,6,0.296116575,0.299669084,1,"0,1"
prio,6,0.241660474,0.245898617,1,"0,1"
baseline,7,0.290263817,0.294799227,1,"0,1"
prio,7,0.236371186,0.240177943,1,"0,1"
baseline,8,0.290283059,0.294732272,1,"0,1"
prio,8,0.233588131,0.258691117,1,"0,1"
baseline,9,0.313445914,0.333622334,1,"0,1"
prio,9,0.237084036,0.240712903,1,"0,1"
baseline,10,0.254634602,0.258107763,1,"0,1"
prio,10,0.240190884,0.244567795,1,"0,1"
baseline,11,0.290385244,0.293898788,1,"0,1"
prio,11,0.234222001,0.237552166,1,"0,1"
baseline,12,0.306348797,0.320662924,1,"0,1"
prio,12,0.235879333,0.261452322,1,"0,1"
baseline,13,0.288989295,0.308862576,1,"0,1"
prio,13,0.234338386,0.238376094,1,"0,1"
baseline,14,0.252113208,0.255719896,1,"0,1"
prio,14,0.233881150,0.237540986,1,"0,1"
baseline,15,0.288850366,0.292621084,1,"0,1"
prio,15,0.234041934,0.237680019,1,"0,1"
baseline,16,0.327158392,0.358522135,1,"0,1"
prio,16,0.237423957,0.258092251,1,"0,1"
baseline,17,0.290037853,0.293434441,1,"0,1"
prio,17,0.237741413,0.241388000,1,"0,1"
baseline,18,0.312593588,0.316155047,1,"0,1"
prio,18,0.234926927,0.238602544,1,"0,1"
baseline,19,0.268864876,0.272859169,1,"0,1"
prio,19,0.234589440,0.238276112,1,"0,1"
baseline,20,0.368916338,0.372537401,1,"0,1"
prio,20,0.242418974,0.246460221,1,"0,1"
baseline,21,0.269218497,0.273610306,1,"0,1"
prio,21,0.234378009,0.238743939,1,"0,1"
baseline,22,0.280701760,0.284967350,1,"0,1"
prio,22,0.234387831,0.237918869,1,"0,1"
baseline,23,0.284118394,0.304388278,1,"0,1"
prio,23,0.239834879,0.281651312,1,"0,1"
baseline,24,0.291840072,0.306702354,1,"0,1"
prio,24,0.235670206,0.239282445,1,"0,1"
baseline,25,0.301720422,0.305531893,1,"0,1"
prio,25,0.233728250,0.237309974,1,"0,1"
baseline,26,0.288952449,0.292472383,1,"0,1"
prio,26,0.235026632,0.255897650,1,"0,1"
baseline,27,0.372980859,0.390143201,1,"0,1"
prio,27,0.235518433,0.239261393,1,"0,1"
baseline,28,0.288864319,0.293041295,1,"0,1"
prio,28,0.236261113,0.240270653,1,"0,1"
baseline,29,0.251994618,0.256142942,1,"0,1"
prio,29,0.234173091,0.237729924,1,"0,1"
baseline,30,0.289765560,0.293552429,1,"0,1"
prio,30,0.237423219,0.263414661,1,"0,1"
baseline,31,0.326899141,0.336746667,1,"0,1"
prio,31,0.236436892,0.240615217,1,"0,1"
baseline,32,0.288694997,0.292349083,1,"0,1"
prio,32,0.241910877,0.245580497,1,"0,1"
baseline,33,0.271796276,0.275821836,1,"0,1"
prio,33,0.233984363,0.237822837,1,"0,1"
baseline,34,0.316940500,0.342412578,1,"0,1"
prio,34,0.234377029,0.249207612,1,"0,1"
baseline,35,0.288789792,0.292166006,1,"0,1"
prio,35,0.234313878,0.237945571,1,"0,1"
baseline,36,0.254236681,0.258015560,1,"0,1"
prio,36,0.234974841,0.238693248,1,"0,1"
baseline,37,0.287221309,0.290946117,1,"0,1"
prio,37,0.234024294,0.265081193,1,"0,1"
baseline,38,0.308449010,0.329832764,1,"0,1"
prio,38,0.237000606,0.241658366,1,"0,1"
baseline,39,0.291346488,0.294880596,1,"0,1"
prio,39,0.236959344,0.240642430,1,"0,1"
baseline,40,0.265795025,0.269149671,1,"0,1"
prio,40,0.236788133,0.240505614,1,"0,1"
baseline,41,0.272461013,0.275974597,1,"0,1"
prio,41,0.235543085,0.250498401,1,"0,1"
baseline,42,0.336580422,0.349661146,1,"0,1"
prio,42,0.235489450,0.239119607,1,"0,1"
baseline,43,0.280139452,0.284108041,1,"0,1"
prio,43,0.242287564,0.246794796,1,"0,1"
baseline,44,0.257115902,0.260724914,1,"0,1"
prio,44,0.234629901,0.238339223,1,"0,1"
baseline,45,0.335938988,0.355528431,1,"0,1"
prio,45,0.239327553,0.259566769,1,"0,1"
baseline,46,0.286255698,0.290104002,1,"0,1"
prio,46,0.236045132,0.240083056,1,"0,1"
baseline,47,0.252434070,0.256328896,1,"0,1"
prio,47,0.238874988,0.243027451,1,"0,1"
baseline,48,0.259954958,0.263523308,1,"0,1"
prio,48,0.236843017,0.240630075,1,"0,1"
baseline,49,0.367716174,0.393022813,1,"0,1"
prio,49,0.235152835,0.238985885,1,"0,1"
baseline,50,0.287557780,0.291170435,1,"0,1"
prio,50,0.240353246,0.244541966,1,"0,1"
baseline,51,0.293088612,0.296522241,1,"0,1"
prio,51,0.235480793,0.239083391,1,"0,1"
baseline,52,0.251820395,0.255293632,1,"0,1"
prio,52,0.233480496,0.243193085,1,"0,1"
baseline,53,0.345414995,0.360565055,1,"0,1"
prio,53,0.236091793,0.239653406,1,"0,1"
baseline,54,0.264745624,0.268660252,1,"0,1"
prio,54,0.234626808,0.238511235,1,"0,1"
baseline,55,0.290402944,0.294171453,1,"0,1"
prio,55,0.236099915,0.239891462,1,"0,1"
baseline,56,0.253354300,0.267714000,1,"0,1"
prio,56,0.236297381,0.260432775,1,"0,1"
baseline,57,0.264437261,0.290401011,1,"0,1"
prio,57,0.236654865,0.240556552,1,"0,1"
baseline,58,0.309063668,0.312634071,1,"0,1"
prio,58,0.235896907,0.239762001,1,"0,1"
baseline,59,0.304673110,0.308163472,1,"0,1"
prio,59,0.235135714,0.238730226,1,"0,1"
baseline,60,0.349284459,0.374424627,1,"0,1"
prio,60,0.236191032,0.257114550,1,"0,1"
baseline,61,0.291674468,0.295204979,1,"0,1"
prio,61,0.243042168,0.247021261,1,"0,1"
baseline,62,0.252218752,0.256183794,1,"0,1"
prio,62,0.234773078,0.238440546,1,"0,1"
baseline,63,0.286976854,0.290694083,1,"0,1"
prio,63,0.257183555,0.268136432,1,"0,1"
baseline,64,0.355770453,0.395293747,1,"0,1"
prio,64,0.236180454,0.240128542,1,"0,1"
baseline,65,0.288506293,0.292114573,1,"0,1"
prio,65,0.235551958,0.239274479,1,"0,1"
baseline,66,0.294123506,0.297923359,1,"0,1"
