program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.300349637,0.304655425,1,"0,1"
prio,0,0.235000947,0.238663528,1,"0,1"
baseline,1,0.293528707,0.297554338,1,"0,1"
prio,1,0.235183205,0.238862215,1,"0,1"
baseline,2,0.290681542,0.294504458,1,"0,1"
prio,2,0.236594187,0.250689867,1,"0,1"
baseline,3,0.274340892,0.300927971,1,"0,1"
prio,3,0.233291342,0.244719616,1,"0,1"
baseline,4,0.254982267,0.258549114,1,"0,1"
prio,4,0.243711738,0.247380752,1,"0,1"
baseline,5,0.257324619,0.261052688,1,"0,1"
prio,5,0.235769236,0.239270381,1,"0,1"
baseline,6,0.295618728,0.299413475,1,"0,1"
prio,6,0.239841448,0.270949576,1,"0,1"
baseline,7,0.311251182,0.319061473,1,"0,1"
prio,7,0.233824323,0.237621193,1,"0,1"
baseline,8,0.241642245,0.245277809,1,"0,1"
prio,8,0.233961161,0.237630002,1,"0,1"
baseline,9,0.291597000,0.295539088,1,"0,1"
prio,9,0.235287512,0.239535616,1,"0,1"
baseline,10,0.252362610,0.255983135,1,"0,1"
prio,10,0.235309556,0.239739497,1,"0,1"
baseline,11,0.368581403,0.376848888,1,"0,1"
prio,11,0.235287899,0.238904503,1,"0,1"
baseline,12,0.289799042,0.293688782,1,"0,1"
prio,12,0.233650669,0.237225676,1,"0,1"
baseline,13,0.290790554,0.294406906,1,"0,1"
prio,13,0.233556923,0.237201618,1,"0,1"
baseline,14,0.290552990,0.294063805,1,"0,1"
prio,14,0.233844698,0.254125497,1,"0,1"
baseline,15,0.294289126,0.339787049,1,"0,1"
prio,15,0.236711907,0.240510907,1,"0,1"
baseline,16,0.280630871,0.284166077,1,"0,1"
prio,16,0.235227341,0.239080277,1,"0,1"
baseline,17,0.292189208,0.295712646,1,"0,1"
prio,17,0.235033815,0.238783069,1,"0,1"
baseline,18,0.303633275,0.329113835,1,"0,1"
prio,18,0.237268031,0.268578438,1,"0,1"
baseline,19,0.291702130,0.295215455,1,"0,1"
prio,19,0.235648493,0.239625080,1,"0,1"
baseline,20,0.288671246,0.292333464,1,"0,1"
prio,20,0.235949994,0.239925112,1,"0,1"
baseline,21,0.291779118,0.295389478,1,"0,1"
prio,21,0.234741573,0.260336007,1,"0,1"
baseline,22,0.283006727,0.325891289,1,"0,1"
prio,22,0.234735928,0.238474586,1,"0,1"
baseline,23,0.290304299,0.293774082,1,"0,1"
prio,23,0.235415836,0.239060617,1,"0,1"
baseline,24,0.259405501,0.262874502,1,"0,1"
prio,24,0.238342130,0.242531125,1,"0,1"
baseline,25,0.250583165,0.254364950,1,"0,1"
prio,25,0.236251933,0.255810959,1,"0,1"
baseline,26,0.335482236,0.350765159,1,"0,1"
prio,26,0.240339508,0.243934476,1,"0,1"
baseline,27,0.296859251,0.301034537,1,"0,1"
prio,27,0.236390536,0.240182946,1,"0,1"
baseline,28,0.288734330,0.292686306,1,"0,1"
prio,28,0.235632812,0.239433551,1,"0,1"
baseline,29,0.292208022,0.295715318,1,"0,1"
prio,29,0.238966557,0.253711852,1,"0,1"
baseline,30,0.353254169,0.385751328,1,"0,1"
prio,30,0.234527750,0.238580022,1,"0,1"
baseline,31,0.256202936,0.259906045,1,"0,1"
prio,31,0.237209761,0.240894542,1,"0,1"
baseline,32,0.238648883,0.242285607,1,"0,1"
prio,32,0.233272712,0.236954137,1,"0,1"
baseline,33,0.296930936,0.311403746,1,"0,1"
prio,33,0.235478327,0.285430827,1,"0,1"
baseline,34,0.291977970,0.306792374,1,"0,1"
prio,34,0.234808581,0.238587542,1,"0,1"
baseline,35,0.253975034,0.258088697,1,"0,1"
prio,35,0.233028210,0.236768766,1,"0,1"
baseline,36,0.253163567,0.257401346,1,"0,1"
prio,36,0.234661960,0.238285121,1,"0,1"
baseline,37,0.353148705,0.378876864,1,"0,1"
prio,37,0.237722101,0.252626975,1,"0,1"
