program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.203793310,0.207285185,1,"0,1"
prio,0,0.177161964,0.181271000,1,"0,1"
baseline,1,0.282103696,0.308005910,1,"0,1"
prio,1,0.175968631,0.190414970,1,"0,1"
baseline,2,0.176893511,0.181858035,1,"0,1"
prio,2,0.174867023,0.178469600,1,"0,1"
baseline,3,0.212608359,0.217809908,1,"0,1"
prio,3,0.176949469,0.180610721,1,"0,1"
baseline,4,0.229912600,0.235162188,1,"0,1"
prio,4,0.172490324,0.176140910,1,"0,1"
baseline,5,0.172446689,0.176154837,1,"0,1"
prio,5,0.172251177,0.176006995,1,"0,1"
baseline,6,0.238040246,0.263249002,1,"0,1"
prio,6,0.174370465,0.199700177,1,"0,1"
baseline,7,0.200476581,0.203936867,1,"0,1"
prio,7,0.170634365,0.174510620,1,"0,1"
baseline,8,0.180778374,0.185880929,1,"0,1"
prio,8,0.171382694,0.175499111,1,"0,1"
baseline,9,0.163658502,0.167286313,1,"0,1"
prio,9,0.176588802,0.180142518,1,"0,1"
baseline,10,0.196248738,0.200013692,1,"0,1"
prio,10,0.177664827,0.181576729,1,"0,1"
baseline,11,0.237157741,0.262333028,1,"0,1"
prio,11,0.175453946,0.206422945,1,"0,1"
baseline,12,0.172839531,0.193038617,1,"0,1"
prio,12,0.175136521,0.178924037,1,"0,1"
baseline,13,0.188312937,0.191959729,1,"0,1"
prio,13,0.174393758,0.178182093,1,"0,1"
baseline,14,0.184490604,0.189632017,1,"0,1"
prio,14,0.176989920,0.180709161,1,"0,1"
baseline,15,0.186381705,0.190073437,1,"0,1"
prio,15,0.160535403,0.163883165,1,"0,1"
baseline,16,0.163360745,0.166813008,1,"0,1"
prio,16,0.183639140,0.214429793,1,"0,1"
baseline,17,0.249529089,0.298463362,1,"0,1"
prio,17,0.171962472,0.194795788,1,"0,1"
baseline,18,0.171541764,0.175074273,1,"0,1"
prio,18,0.173907851,0.177496967,1,"0,1"
baseline,19,0.217836217,0.222677164,1,"0,1"
prio,19,0.174800950,0.178676026,1,"0,1"
baseline,20,0.168864491,0.172393928,1,"0,1"
prio,20,0.169134124,0.172875192,1,"0,1"
baseline,21,0.187728677,0.191096192,1,"0,1"
prio,21,0.179546054,0.215902547,1,"0,1"
baseline,22,0.266955719,0.301183017,1,"0,1"
prio,22,0.178305524,0.181952515,1,"0,1"
baseline,23,0.186895589,0.190502783,1,"0,1"
prio,23,0.172117660,0.175882165,1,"0,1"
baseline,24,0.184645175,0.188404639,1,"0,1"
prio,24,0.170173594,0.173893929,1,"0,1"
baseline,25,0.190600705,0.194261749,1,"0,1"
prio,25,0.160368948,0.163775482,1,"0,1"
baseline,26,0.205985666,0.209482705,1,"0,1"
prio,26,0.163954035,0.189421685,1,"0,1"
baseline,27,0.224385073,0.263395791,1,"0,1"
prio,27,0.177307468,0.186622311,1,"0,1"
baseline,28,0.171675457,0.175049140,1,"0,1"
