program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.172256994,0.175806031,1,"0,1"
prio,0,0.170300945,0.173965156,1,"0,1"
baseline,1,0.197271175,0.200813535,1,"0,1"
prio,1,0.156081448,0.176576069,1,"0,1"
baseline,2,0.272624693,0.298261065,1,"0,1"
prio,2,0.167344739,0.176438184,1,"0,1"
baseline,3,0.173351198,0.176822102,1,"0,1"
prio,3,0.169572163,0.173171040,1,"0,1"
baseline,4,0.199047283,0.202959972,1,"0,1"
prio,4,0.168626300,0.172787186,1,"0,1"
baseline,5,0.178193041,0.181779682,1,"0,1"
prio,5,0.175064287,0.178786589,1,"0,1"
baseline,6,0.174796353,0.178722613,1,"0,1"
prio,6,0.169769842,0.173695651,1,"0,1"
baseline,7,0.208919001,0.234635841,1,"0,1"
prio,7,0.169684627,0.227912858,1,"0,1"
baseline,8,0.196366876,0.223331674,1,"0,1"
prio,8,0.171060678,0.174735507,1,"0,1"
baseline,9,0.174106092,0.179099105,1,"0,1"
prio,9,0.171007073,0.175053294,1,"0,1"
baseline,10,0.198119135,0.202342456,1,"0,1"
prio,10,0.171725874,0.175296654,1,"0,1"
baseline,11,0.235796741,0.239717326,1,"0,1"
prio,11,0.169179131,0.173274843,1,"0,1"
baseline,12,0.273269113,0.293029293,1,"0,1"
prio,12,0.169250603,0.183735786,1,"0,1"
baseline,13,0.213069993,0.216676197,1,"0,1"
prio,13,0.168907622,0.172715298,1,"0,1"
baseline,14,0.168473604,0.173538350,1,"0,1"
prio,14,0.155550511,0.159098415,1,"0,1"
baseline,15,0.161312372,0.164737766,1,"0,1"
prio,15,0.171645732,0.175194948,1,"0,1"
baseline,16,0.187706640,0.191490387,1,"0,1"
prio,16,0.167202772,0.170749872,1,"0,1"
baseline,17,0.218701007,0.230482755,1,"0,1"
prio,17,0.154808864,0.187380119,1,"0,1"
baseline,18,0.228787596,0.248487395,1,"0,1"
prio,18,0.170437407,0.174143743,1,"0,1"
baseline,19,0.217981307,0.223577548,1,"0,1"
prio,19,0.167181722,0.170700256,1,"0,1"
