program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.246530458,0.250101574,1,"0,1"
prio,0,0.179768434,0.183429739,1,"0,1"
baseline,1,0.185457978,0.189246688,1,"0,1"
prio,1,0.181480615,0.185093921,1,"0,1"
baseline,2,0.173002202,0.176379899,1,"0,1"
prio,2,0.180464051,0.195987639,1,"0,1"
baseline,3,0.272017083,0.298807739,1,"0,1"
prio,3,0.181135916,0.200966991,1,"0,1"
baseline,4,0.223099650,0.226760699,1,"0,1"
prio,4,0.181955533,0.185964054,1,"0,1"
baseline,5,0.173113912,0.177802174,1,"0,1"
prio,5,0.180282770,0.184030648,1,"0,1"
baseline,6,0.173004536,0.177238362,1,"0,1"
prio,6,0.179507040,0.183503888,1,"0,1"
baseline,7,0.171224602,0.174978948,1,"0,1"
prio,7,0.171648935,0.181087441,1,"0,1"
baseline,8,0.285617635,0.311777201,1,"0,1"
prio,8,0.173140203,0.198494347,1,"0,1"
baseline,9,0.253398416,0.257053166,1,"0,1"
prio,9,0.165760361,0.169322341,1,"0,1"
baseline,10,0.181791117,0.187088383,1,"0,1"
prio,10,0.170436253,0.174000213,1,"0,1"
baseline,11,0.166625862,0.170410239,1,"0,1"
prio,11,0.171215760,0.174912582,1,"0,1"
baseline,12,0.167778071,0.171530663,1,"0,1"
prio,12,0.178820928,0.204965230,1,"0,1"
baseline,13,0.252630418,0.298434520,1,"0,1"
prio,13,0.164113733,0.178413327,1,"0,1"
baseline,14,0.182443023,0.186021887,1,"0,1"
prio,14,0.181134575,0.189065959,1,"0,1"
baseline,15,0.185190868,0.188835870,1,"0,1"
prio,15,0.178001631,0.181711776,1,"0,1"
baseline,16,0.251966379,0.255472234,1,"0,1"
prio,16,0.171118475,0.175070034,1,"0,1"
baseline,17,0.218684571,0.222196581,1,"0,1"
prio,17,0.163956520,0.180044484,1,"0,1"
baseline,18,0.247812240,0.286457958,1,"0,1"
prio,18,0.176157274,0.207236388,1,"0,1"
baseline,19,0.239840490,0.243266009,1,"0,1"
prio,19,0.165278223,0.168739898,1,"0,1"
baseline,20,0.257475589,0.261115080,1,"0,1"
prio,20,0.164762058,0.168176899,1,"0,1"
baseline,21,0.245848265,0.249318900,1,"0,1"
prio,21,0.178702873,0.182321254,1,"0,1"
baseline,22,0.287175566,0.317850305,1,"0,1"
prio,22,0.178573898,0.187686339,1,"0,1"
baseline,23,0.212072366,0.217148489,1,"0,1"
prio,23,0.180500665,0.184079921,1,"0,1"
baseline,24,0.169492912,0.173116659,1,"0,1"
prio,24,0.164292412,0.167655955,1,"0,1"
baseline,25,0.169018559,0.172452522,1,"0,1"
prio,25,0.170923830,0.174408590,1,"0,1"
baseline,26,0.161832913,0.165678114,1,"0,1"
prio,26,0.179564724,0.183311106,1,"0,1"
baseline,27,0.221278029,0.241245494,1,"0,1"
prio,27,0.180123655,0.222453042,1,"0,1"
baseline,28,0.170584600,0.192365163,1,"0,1"
prio,28,0.179581444,0.183415790,1,"0,1"
baseline,29,0.221820563,0.225362684,1,"0,1"
prio,29,0.172159123,0.175609443,1,"0,1"
baseline,30,0.179569350,0.183025179,1,"0,1"
prio,30,0.164019414,0.167423326,1,"0,1"
baseline,31,0.173691518,0.177106532,1,"0,1"
