run,time_s,wall_s
1,0.072109385,0.090680064
2,0.052700582,0.061948151
3,0.048592464,0.056394535
4,0.044209596,0.051383417
5,0.053008582,0.081576411
6,0.061203527,0.130963083
7,0.068759432,0.092146978
8,0.057490616,0.095417431
9,0.043940679,0.097912927
10,0.043911807,0.072127305
11,0.044062598,0.087092115
12,0.044822680,0.072820013
13,0.044723223,0.053072752
14,0.050873588,0.059269783
15,0.043860182,0.052131253
16,0.043988515,0.051503296
17,0.043377183,0.050304547
18,0.043393225,0.050189922
19,0.043857849,0.051174296
20,0.044000473,0.051252171
avg,0.049644309,
min,0.043377183,
max,0.072109385,
