run,time_s,wall_s
1,2.793229134,2.852589663
2,2.837208571,2.886351484
3,2.784358799,2.823582478
4,2.835862540,2.890203952
5,2.784220879,2.843293236
6,2.794985988,2.854662402
7,2.684610016,2.732486776
8,2.798895621,2.852440473
9,2.781487395,2.845368868
10,2.816639332,2.873144381
11,2.784206998,2.818742901
12,2.790906470,2.830316530
13,2.730525388,2.786273837
14,2.784432521,2.824604434
15,2.860768187,2.886554467
16,2.791129386,2.820185618
17,3.080418534,3.120609990
18,2.785062032,2.845478427
19,2.812626373,2.901375068
20,2.821808861,2.946768168
avg,2.807669151,
min,2.684610016,
max,3.080418534,
