run,time_s,wall_s
1,0.385623546,0.394481170
2,0.381776469,0.420830632
3,0.383462599,0.456117928
4,0.382085363,0.432156070
5,0.381933113,0.420785445
6,0.382329214,0.395429715
7,0.385205923,0.408226298
8,0.382062642,0.435999977
9,0.381790816,0.430769820
10,0.381828738,0.435857659
11,0.382657085,0.413558588
12,0.388759920,0.434278300
13,0.382545978,0.436508110
14,0.382077271,0.420719610
15,0.381934364,0.420529163
16,0.382329289,0.426500757
17,0.382436334,0.436599138
18,0.382147307,0.426898319
19,0.382455016,0.416398316
20,0.381805200,0.439069008
avg,0.382862309,
min,0.381776469,
max,0.388759920,
