program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.334210250,0.375754346,1,"0,1"
prio,0,0.358623500,0.376922275,1,"0,1"
baseline,1,0.316705375,0.337398898,1,"0,1"
prio,1,0.306854042,0.325342727,1,"0,1"
baseline,2,0.305977000,0.324225339,1,"0,1"
prio,2,0.306931334,0.325907107,1,"0,1"
baseline,3,0.312552042,0.332567384,1,"0,1"
prio,3,0.347511291,0.365715441,1,"0,1"
baseline,4,0.316990917,0.336722801,1,"0,1"
prio,4,0.311361166,0.329712225,1,"0,1"
baseline,5,0.316486334,0.335300034,1,"0,1"
prio,5,0.388715542,0.406923037,1,"0,1"
baseline,6,0.310356959,0.328125539,1,"0,1"
prio,6,0.316876292,0.334749650,1,"0,1"
baseline,7,0.309639751,0.328007995,1,"0,1"
prio,7,0.306929292,0.325899513,1,"0,1"
baseline,8,0.316794917,0.335746283,1,"0,1"
prio,8,0.307948958,0.385443596,1,"0,1"
baseline,9,0.313732709,0.332213577,1,"0,1"
prio,9,0.307211041,0.325012542,1,"0,1"
