platform,zhang,算法名,work_scale,repeats,baseline_mean_s,prio_mean_s,improvement_ratio,delta_mean_s,baseline_total_s,prio_total_s,baseline_min_s,baseline_max_s,prio_min_s,prio_max_s,cpu_set,cores_per_task,created_at,out_dir
rk3588,zhang1,cpf,100,100,1.236808891,1.353914844,-0.094683952,0.117105953,123.680889102,135.391484435,1.121219167,1.372097126,1.338140417,1.403513125,"0,1",2,2026-03-19T08-29-48+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang1/cpf_ws100_r100_cpu01_2026-03-19T08-29-48+00-00
rk3588,zhang1,heft,100,100,1.217874782,1.082164216,0.111432282,-0.135710566,121.787478226,108.216421594,1.096156834,1.332872334,1.077442626,1.111403709,"0,1",2,2026-03-19T12-21-55+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang1/heft_ws100_r100_cpu01_2026-03-19T12-21-55+00-00
rk3588,zhang1,t_level,100,100,1.638501035,1.154993006,0.295091684,-0.483508029,163.850103494,115.499300558,1.104192501,4.106788293,1.082817750,3.366314877,"0,1",2,2026-03-19T12-17-10+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang1/t_level_ws100_r100_cpu01_2026-03-19T12-17-10+00-00
rk3588,zhang1,wcet_first,100,100,1.250912711,1.357455630,-0.085172145,0.106542919,125.091271150,135.745563021,1.149004209,1.384274501,1.342500834,1.577878751,"0,1",2,2026-03-19T08-34-13+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang1/wcet_first_ws100_r100_cpu01_2026-03-19T08-34-13+00-00
rk3588,zhang1,zhao2020,100,100,1.215950136,1.084329508,0.108245086,-0.131620627,121.595013557,108.432950844,1.114148001,1.268099875,1.079792001,1.113117542,"0,1",2,2026-03-19T08-38-40+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang1/zhao2020_ws100_r100_cpu01_2026-03-19T08-38-40+00-00
rk3588,zhang2,cpf,100,100,1.517406419,1.593264973,-0.049992245,0.075858554,151.740641865,159.326497280,1.386531418,1.798762334,1.557801876,1.886545418,"0,1",2,2026-03-19T08-42-32+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang2/cpf_ws100_r100_cpu01_2026-03-19T08-42-32+00-00
rk3588,zhang2,heft,100,100,1.526054345,1.372427882,0.100669065,-0.153626463,152.605434490,137.242788154,1.346048376,1.731533709,1.301951876,1.574767834,"0,1",2,2026-03-19T08-47-46+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang2/heft_ws100_r100_cpu01_2026-03-19T08-47-46+00-00
rk3588,zhang2,t_level,100,100,1.636413707,1.332034500,0.186003824,-0.304379206,163.641370668,133.203450019,1.477575459,1.775995667,1.305966959,1.507415834,"0,1",2,2026-03-19T08-57-37+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang2/t_level_ws100_r100_cpu01_2026-03-19T08-57-37+00-00
rk3588,zhang2,wcet_first,100,100,1.646601703,1.326109723,0.194638436,-0.320491980,164.660170329,132.610972316,1.455077751,1.785853126,1.305545209,1.762053126,"0,1",2,2026-03-19T09-02-41+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang2/wcet_first_ws100_r100_cpu01_2026-03-19T09-02-41+00-00
rk3588,zhang2,zhao2020,100,100,1.520644815,1.364278433,0.102828997,-0.156366382,152.064481489,136.427843314,1.321286751,1.763271126,1.302104418,1.597851917,"0,1",2,2026-03-19T09-07-46+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang2/zhao2020_ws100_r100_cpu01_2026-03-19T09-07-46+00-00
rk3588,zhang3,cpf,100,100,1.132212971,0.968192876,0.144866822,-0.164020095,113.221297094,96.819287590,1.048861042,1.279457959,0.953375500,0.973730042,"0,1",2,2026-03-21T08-36-02+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang3/cpf_ws100_r100_cpu01_2026-03-21T08-36-02+00-00
rk3588,zhang3,heft,100,100,1.122812879,0.981518645,0.125839520,-0.141294234,112.281287851,98.151864463,1.037038625,1.283423167,0.979365625,1.009202543,"0,1",2,2026-03-21T08-28-05+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang3/heft_ws100_r100_cpu01_2026-03-21T08-28-05+00-00
rk3588,zhang3,t_level,100,100,1.135051910,0.949675957,0.163319362,-0.185375953,113.505191013,94.967595666,1.048648043,1.313043959,0.948128417,0.958391875,"0,1",2,2026-03-21T08-24-30+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang3/t_level_ws100_r100_cpu01_2026-03-21T08-24-30+00-00
rk3588,zhang3,wcet_first,100,100,1.083233068,0.953144616,0.120092763,-0.130088452,108.323306845,95.314461624,0.958652042,1.308892376,0.946351584,0.976593833,"0,1",2,2026-03-21T08-17-28+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang3/wcet_first_ws100_r100_cpu01_2026-03-21T08-17-28+00-00
rk3588,zhang3,zhao2020,100,100,1.062623533,1.004856642,0.054362519,-0.057766892,106.262353342,100.485664174,0.945931000,1.280857376,0.999413626,1.122660000,"0,1",2,2026-03-21T08-20-57+00-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/rk3588/zhang3/zhao2020_ws100_r100_cpu01_2026-03-21T08-20-57+00-00
