program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.221790580,0.225285346,1,"0,1"
prio,0,0.199534267,0.203426265,1,"0,1"
baseline,1,0.250587647,0.254377975,1,"0,1"
prio,1,0.210986086,0.214981836,1,"0,1"
baseline,2,0.202616595,0.207007514,1,"0,1"
prio,2,0.208768588,0.213082576,1,"0,1"
baseline,3,0.315922051,0.335133398,1,"0,1"
prio,3,0.204610365,0.220705037,1,"0,1"
baseline,4,0.243172303,0.246876532,1,"0,1"
prio,4,0.195420936,0.199480588,1,"0,1"
baseline,5,0.218281156,0.222094181,1,"0,1"
prio,5,0.199860294,0.203653910,1,"0,1"
baseline,6,0.195112690,0.198730335,1,"0,1"
prio,6,0.197579075,0.201337652,1,"0,1"
baseline,7,0.204359638,0.208044128,1,"0,1"
prio,7,0.199289737,0.225028848,1,"0,1"
baseline,8,0.242624294,0.262714025,1,"0,1"
prio,8,0.198169358,0.201844755,1,"0,1"
baseline,9,0.213515004,0.217180940,1,"0,1"
prio,9,0.195689019,0.199521953,1,"0,1"
baseline,10,0.245583732,0.249279994,1,"0,1"
prio,10,0.195097092,0.198822765,1,"0,1"
baseline,11,0.235325109,0.238972070,1,"0,1"
prio,11,0.194281355,0.197962175,1,"0,1"
baseline,12,0.272681129,0.297895840,1,"0,1"
prio,12,0.198597383,0.222793124,1,"0,1"
baseline,13,0.218201795,0.221753387,1,"0,1"
prio,13,0.194637898,0.198612135,1,"0,1"
baseline,14,0.218933577,0.223153256,1,"0,1"
prio,14,0.196659699,0.200381875,1,"0,1"
baseline,15,0.212767181,0.216521468,1,"0,1"
prio,15,0.194263500,0.197983093,1,"0,1"
baseline,16,0.216641244,0.220663585,1,"0,1"
prio,16,0.196680567,0.217668567,1,"0,1"
baseline,17,0.243138167,0.263509788,1,"0,1"
prio,17,0.195136691,0.199054969,1,"0,1"
baseline,18,0.207864112,0.211400046,1,"0,1"
prio,18,0.194588976,0.198372271,1,"0,1"
baseline,19,0.222247994,0.226402429,1,"0,1"
prio,19,0.195895920,0.199672035,1,"0,1"
baseline,20,0.216905998,0.220517022,1,"0,1"
prio,20,0.195782964,0.199483082,1,"0,1"
baseline,21,0.246549056,0.271656430,1,"0,1"
prio,21,0.200304665,0.253483294,1,"0,1"
baseline,22,0.227836666,0.253254459,1,"0,1"
prio,22,0.196111508,0.200048475,1,"0,1"
baseline,23,0.238913936,0.242633155,1,"0,1"
prio,23,0.199064344,0.202721574,1,"0,1"
baseline,24,0.228732504,0.232451343,1,"0,1"
prio,24,0.194514716,0.198109144,1,"0,1"
baseline,25,0.219677593,0.223375801,1,"0,1"
prio,25,0.196280142,0.217058064,1,"0,1"
baseline,26,0.242100089,0.265932310,1,"0,1"
prio,26,0.195661950,0.199889461,1,"0,1"
baseline,27,0.216235151,0.219981207,1,"0,1"
prio,27,0.193575660,0.197263448,1,"0,1"
baseline,28,0.226107846,0.229961947,1,"0,1"
prio,28,0.195353174,0.199123170,1,"0,1"
baseline,29,0.231743717,0.235376988,1,"0,1"
prio,29,0.195895570,0.199839279,1,"0,1"
baseline,30,0.294477938,0.325225565,1,"0,1"
prio,30,0.200502817,0.226090611,1,"0,1"
baseline,31,0.216962618,0.221489289,1,"0,1"
prio,31,0.197943023,0.201770310,1,"0,1"
baseline,32,0.232072561,0.235766419,1,"0,1"
prio,32,0.194462264,0.198136435,1,"0,1"
baseline,33,0.227727865,0.231389342,1,"0,1"
prio,33,0.195760078,0.199375020,1,"0,1"
baseline,34,0.235593664,0.239271612,1,"0,1"
prio,34,0.196996880,0.222675573,1,"0,1"
baseline,35,0.266696098,0.285519088,1,"0,1"
prio,35,0.193779894,0.197507956,1,"0,1"
baseline,36,0.219657085,0.223648547,1,"0,1"
prio,36,0.194297304,0.197898730,1,"0,1"
baseline,37,0.215450679,0.219066418,1,"0,1"
prio,37,0.194720495,0.198486031,1,"0,1"
baseline,38,0.195644445,0.199396111,1,"0,1"
prio,38,0.194305073,0.198021078,1,"0,1"
baseline,39,0.271593132,0.291604197,1,"0,1"
prio,39,0.198786161,0.213296091,1,"0,1"
baseline,40,0.218058575,0.221563204,1,"0,1"
prio,40,0.197506619,0.201214902,1,"0,1"
baseline,41,0.215337007,0.219083504,1,"0,1"
prio,41,0.193817322,0.197897747,1,"0,1"
baseline,42,0.220207995,0.224281762,1,"0,1"
prio,42,0.196702653,0.200476217,1,"0,1"
baseline,43,0.210905700,0.214489743,1,"0,1"
prio,43,0.199661082,0.219711821,1,"0,1"
baseline,44,0.234733564,0.250350028,1,"0,1"
prio,44,0.195990420,0.199869478,1,"0,1"
baseline,45,0.199250950,0.202810676,1,"0,1"
prio,45,0.194930078,0.198489401,1,"0,1"
baseline,46,0.198316489,0.202038665,1,"0,1"
prio,46,0.200909605,0.204670865,1,"0,1"
baseline,47,0.196706757,0.200325736,1,"0,1"
prio,47,0.196606143,0.200184123,1,"0,1"
baseline,48,0.223249496,0.226782504,1,"0,1"
prio,48,0.197168415,0.222501389,1,"0,1"
baseline,49,0.247120253,0.268265335,1,"0,1"
prio,49,0.194233839,0.198119484,1,"0,1"
baseline,50,0.214797462,0.218245530,1,"0,1"
prio,50,0.199212323,0.202805932,1,"0,1"
