program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.465828928,1.469615632,1,"0,1"
prio,0,1.399768605,1.409158976,1,"0,1"
baseline,1,1.591288515,1.597268484,1,"0,1"
prio,1,1.351028923,1.365938463,1,"0,1"
baseline,2,1.509758740,1.544403482,1,"0,1"
prio,2,1.409108678,1.433823327,1,"0,1"
baseline,3,1.548987774,1.568840774,1,"0,1"
prio,3,1.361152072,1.375753497,1,"0,1"
baseline,4,1.512962785,1.538369342,1,"0,1"
prio,4,1.366252107,1.397612354,1,"0,1"
baseline,5,1.524575067,1.551612029,1,"0,1"
prio,5,1.380993979,1.400740273,1,"0,1"
baseline,6,1.432117653,1.435725817,1,"0,1"
prio,6,1.377136102,1.392479931,1,"0,1"
baseline,7,1.592968121,1.615032023,1,"0,1"
prio,7,1.370424854,1.374071150,1,"0,1"
baseline,8,1.506026645,1.509505503,1,"0,1"
prio,8,1.362573541,1.388376957,1,"0,1"
baseline,9,1.515329024,1.542844701,1,"0,1"
prio,9,1.457135882,1.461031993,1,"0,1"
baseline,10,1.515578303,1.519495483,1,"0,1"
prio,10,1.481542695,1.502173303,1,"0,1"
baseline,11,1.505423748,1.528715506,1,"0,1"
prio,11,1.444259484,1.448521696,1,"0,1"
baseline,12,1.526851675,1.530467278,1,"0,1"
prio,12,1.475370655,1.496979863,1,"0,1"
baseline,13,1.486456933,1.536225159,1,"0,1"
prio,13,1.480098694,1.489509203,1,"0,1"
baseline,14,1.503288297,1.506835814,1,"0,1"
prio,14,1.467169106,1.481949571,1,"0,1"
baseline,15,1.427710369,1.453271314,1,"0,1"
prio,15,1.489270485,1.515009931,1,"0,1"
baseline,16,1.596875213,1.600520596,1,"0,1"
prio,16,1.402495128,1.412175165,1,"0,1"
baseline,17,1.560198443,1.576776728,1,"0,1"
prio,17,1.422219729,1.425925904,1,"0,1"
baseline,18,1.523643015,1.527099078,1,"0,1"
prio,18,1.422057608,1.453680717,1,"0,1"
baseline,19,1.511492520,1.560864195,1,"0,1"
prio,19,1.426097745,1.446132590,1,"0,1"
baseline,20,1.513759466,1.517074392,1,"0,1"
prio,20,1.449954797,1.459027498,1,"0,1"
baseline,21,1.574389911,1.604534142,1,"0,1"
prio,21,1.443233262,1.447337700,1,"0,1"
baseline,22,1.484948402,1.488551964,1,"0,1"
prio,22,1.448171357,1.452604422,1,"0,1"
baseline,23,1.541827200,1.573835697,1,"0,1"
prio,23,1.456942306,1.488067226,1,"0,1"
baseline,24,1.575760765,1.579321480,1,"0,1"
prio,24,1.391148521,1.416723464,1,"0,1"
baseline,25,1.534604986,1.568926133,1,"0,1"
prio,25,1.380417252,1.400594345,1,"0,1"
baseline,26,1.578363211,1.581686005,1,"0,1"
prio,26,1.459489900,1.468805992,1,"0,1"
baseline,27,1.616409217,1.631081342,1,"0,1"
prio,27,1.410949641,1.414810247,1,"0,1"
baseline,28,1.543710171,1.546949248,1,"0,1"
prio,28,1.410870890,1.436754234,1,"0,1"
baseline,29,1.537401923,1.575918474,1,"0,1"
prio,29,1.385849625,1.423280461,1,"0,1"
baseline,30,1.496364644,1.499747230,1,"0,1"
prio,30,1.439754807,1.460035114,1,"0,1"
baseline,31,1.513556068,1.522874378,1,"0,1"
prio,31,1.439162972,1.465359863,1,"0,1"
baseline,32,1.524957479,1.546971954,1,"0,1"
prio,32,1.447103821,1.479275430,1,"0,1"
baseline,33,1.592295248,1.637420599,1,"0,1"
prio,33,1.395939279,1.449036633,1,"0,1"
baseline,34,1.437008810,1.451837304,1,"0,1"
