program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.525946511,1.556520472,1,"0,1"
prio,0,1.420770098,1.424779566,1,"0,1"
baseline,1,1.483776958,1.488084211,1,"0,1"
prio,1,1.442637810,1.446418590,1,"0,1"
baseline,2,1.648752290,1.673518145,1,"0,1"
prio,2,1.484739193,1.488487238,1,"0,1"
baseline,3,1.553708416,1.557224665,1,"0,1"
prio,3,1.453439487,1.468971302,1,"0,1"
baseline,4,1.567878913,1.593591228,1,"0,1"
prio,4,1.457546306,1.461200908,1,"0,1"
baseline,5,1.544300020,1.548211417,1,"0,1"
prio,5,1.425624131,1.445626447,1,"0,1"
baseline,6,1.557850515,1.583388165,1,"0,1"
prio,6,1.402084579,1.405762292,1,"0,1"
baseline,7,1.597187069,1.600569200,1,"0,1"
prio,7,1.477279009,1.497553707,1,"0,1"
baseline,8,1.608751449,1.619863867,1,"0,1"
prio,8,1.409567279,1.413309782,1,"0,1"
baseline,9,1.598794640,1.602474744,1,"0,1"
prio,9,1.392707783,1.418483743,1,"0,1"
baseline,10,1.646423385,1.659335183,1,"0,1"
prio,10,1.353037532,1.383010707,1,"0,1"
baseline,11,1.535634601,1.557647185,1,"0,1"
prio,11,1.370295737,1.385187468,1,"0,1"
baseline,12,1.492701799,1.518136245,1,"0,1"
prio,12,1.378610329,1.381942142,1,"0,1"
baseline,13,1.533705365,1.537369897,1,"0,1"
prio,13,1.409353559,1.429355224,1,"0,1"
baseline,14,1.507489206,1.528499572,1,"0,1"
prio,14,1.407533908,1.410894425,1,"0,1"
baseline,15,1.541148530,1.544444047,1,"0,1"
prio,15,1.396617995,1.411715048,1,"0,1"
baseline,16,1.354758301,1.398222651,1,"0,1"
prio,16,1.419720690,1.425670573,1,"0,1"
baseline,17,1.443136808,1.446561942,1,"0,1"
prio,17,1.367897455,1.436740785,1,"0,1"
baseline,18,1.425927104,1.438538574,1,"0,1"
prio,18,1.406459652,1.410825725,1,"0,1"
baseline,19,1.551461967,1.558797914,1,"0,1"
prio,19,1.370312965,1.401154164,1,"0,1"
baseline,20,1.451463327,1.474913922,1,"0,1"
prio,20,1.335813493,1.355775547,1,"0,1"
baseline,21,1.564656766,1.592891362,1,"0,1"
prio,21,1.357908108,1.361652959,1,"0,1"
baseline,22,1.440565384,1.444182864,1,"0,1"
prio,22,1.351802085,1.371938842,1,"0,1"
baseline,23,1.471693951,1.514490765,1,"0,1"
prio,23,1.416393128,1.420043505,1,"0,1"
baseline,24,1.588677695,1.592355822,1,"0,1"
prio,24,1.420339443,1.451365538,1,"0,1"
baseline,25,1.440027376,1.465464821,1,"0,1"
prio,25,1.436816441,1.451086654,1,"0,1"
baseline,26,1.502285213,1.505804100,1,"0,1"
prio,26,1.424819689,1.455780323,1,"0,1"
