program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.468710741,1.472026085,1,"0,1"
prio,0,1.428608318,1.432177926,1,"0,1"
baseline,1,1.585765000,1.589232471,1,"0,1"
prio,1,1.428817353,1.459357846,1,"0,1"
baseline,2,1.433471056,1.453368068,1,"0,1"
prio,2,1.426027976,1.429540364,1,"0,1"
baseline,3,1.500773438,1.504279014,1,"0,1"
prio,3,1.409810596,1.418854654,1,"0,1"
baseline,4,1.581292492,1.622732663,1,"0,1"
prio,4,1.429744174,1.449796854,1,"0,1"
baseline,5,1.480836719,1.484201052,1,"0,1"
prio,5,1.390289293,1.410331305,1,"0,1"
baseline,6,1.419674287,1.461172613,1,"0,1"
prio,6,1.392334168,1.395952807,1,"0,1"
baseline,7,1.482161926,1.485683996,1,"0,1"
prio,7,1.387291437,1.401361019,1,"0,1"
baseline,8,1.504347437,1.507945814,1,"0,1"
prio,8,1.364343892,1.407031763,1,"0,1"
baseline,9,1.508430313,1.512140245,1,"0,1"
prio,9,1.392959814,1.413369691,1,"0,1"
baseline,10,1.608568724,1.615796902,1,"0,1"
prio,10,1.655104689,1.658878823,1,"0,1"
baseline,11,1.545481985,1.548802457,1,"0,1"
prio,11,1.396647982,1.416618352,1,"0,1"
baseline,12,1.592279751,1.611764260,1,"0,1"
prio,12,1.393655233,1.422289238,1,"0,1"
baseline,13,1.581566107,1.610160386,1,"0,1"
prio,13,1.388195351,1.409796132,1,"0,1"
baseline,14,1.541366150,1.594270513,1,"0,1"
prio,14,1.391962963,1.419759677,1,"0,1"
baseline,15,1.572536223,1.592482797,1,"0,1"
prio,15,1.391538235,1.411522816,1,"0,1"
baseline,16,1.574008880,1.615769609,1,"0,1"
prio,16,1.396472276,1.418380632,1,"0,1"
baseline,17,1.432379707,1.435993812,1,"0,1"
prio,17,1.383163816,1.392571149,1,"0,1"
baseline,18,1.619546782,1.629388963,1,"0,1"
prio,18,1.396529848,1.411147698,1,"0,1"
baseline,19,1.587227035,1.609376830,1,"0,1"
prio,19,1.392287336,1.412515932,1,"0,1"
baseline,20,1.651895281,1.655785074,1,"0,1"
prio,20,1.393582854,1.426791039,1,"0,1"
baseline,21,1.532403426,1.535975657,1,"0,1"
prio,21,1.388769686,1.409091524,1,"0,1"
baseline,22,1.550066391,1.577992611,1,"0,1"
prio,22,1.386505298,1.412074296,1,"0,1"
baseline,23,1.569676577,1.578776132,1,"0,1"
prio,23,1.386398216,1.406227363,1,"0,1"
baseline,24,1.515603428,1.535624771,1,"0,1"
prio,24,1.378012002,1.403436432,1,"0,1"
baseline,25,1.669746197,1.695693280,1,"0,1"
prio,25,1.401333208,1.421370594,1,"0,1"
baseline,26,1.425778199,1.451565150,1,"0,1"
prio,26,1.390787608,1.416529493,1,"0,1"
baseline,27,1.620888676,1.646341872,1,"0,1"
prio,27,1.405744522,1.426163489,1,"0,1"
baseline,28,1.592328664,1.615247391,1,"0,1"
prio,28,1.396034658,1.421802349,1,"0,1"
baseline,29,1.622896233,1.626847851,1,"0,1"
prio,29,1.399579806,1.414175117,1,"0,1"
baseline,30,1.533190382,1.553668051,1,"0,1"
prio,30,1.431249500,1.451890891,1,"0,1"
baseline,31,1.591429722,1.613926398,1,"0,1"
prio,31,1.393441463,1.419106354,1,"0,1"
baseline,32,1.545706699,1.567308884,1,"0,1"
prio,32,1.394693410,1.403698091,1,"0,1"
baseline,33,1.518518268,1.522427304,1,"0,1"
prio,33,1.403511809,1.424126318,1,"0,1"
baseline,34,1.655524936,1.670940215,1,"0,1"
prio,34,1.409337515,1.429630513,1,"0,1"
baseline,35,1.613433367,1.627957777,1,"0,1"
prio,35,1.394931637,1.410065281,1,"0,1"
baseline,36,1.548821816,1.565451542,1,"0,1"
prio,36,1.392835327,1.413179153,1,"0,1"
baseline,37,1.616224044,1.636167076,1,"0,1"
prio,37,1.416651162,1.447355011,1,"0,1"
baseline,38,1.481730595,1.491925953,1,"0,1"
prio,38,1.396703971,1.416539730,1,"0,1"
baseline,39,1.497107876,1.517317601,1,"0,1"
prio,39,1.473799771,1.494471933,1,"0,1"
baseline,40,1.614709040,1.635322715,1,"0,1"
prio,40,1.444259518,1.469470518,1,"0,1"
baseline,41,1.480154207,1.484022648,1,"0,1"
prio,41,1.463016980,1.493615995,1,"0,1"
baseline,42,1.588008639,1.606389719,1,"0,1"
prio,42,1.437119254,1.468079095,1,"0,1"
baseline,43,1.529319529,1.554990267,1,"0,1"
prio,43,1.440378873,1.460541856,1,"0,1"
baseline,44,1.565768452,1.606256532,1,"0,1"
prio,44,1.452685466,1.474393090,1,"0,1"
baseline,45,1.593109554,1.596484379,1,"0,1"
prio,45,1.436240799,1.439967328,1,"0,1"
baseline,46,1.437888604,1.441248771,1,"0,1"
prio,46,1.432622993,1.452821070,1,"0,1"
baseline,47,1.554934568,1.574222222,1,"0,1"
prio,47,1.454262765,1.480403567,1,"0,1"
baseline,48,1.449612288,1.475086922,1,"0,1"
prio,48,1.477566475,1.502921814,1,"0,1"
baseline,49,1.555533709,1.575984607,1,"0,1"
prio,49,1.433514380,1.437249693,1,"0,1"
baseline,50,1.627251909,1.632636362,1,"0,1"
prio,50,1.460178389,1.463797079,1,"0,1"
baseline,51,1.541637002,1.545826976,1,"0,1"
prio,51,1.458597885,1.474391013,1,"0,1"
baseline,52,1.684018405,1.710132902,1,"0,1"
prio,52,1.430972620,1.443747544,1,"0,1"
baseline,53,1.485183894,1.505014848,1,"0,1"
prio,53,1.470105973,1.490052588,1,"0,1"
baseline,54,1.609731967,1.652300516,1,"0,1"
prio,54,1.409028761,1.423821996,1,"0,1"
baseline,55,1.469542407,1.473064788,1,"0,1"
prio,55,1.488733487,1.513770892,1,"0,1"
baseline,56,1.673158499,1.693484015,1,"0,1"
prio,56,1.489301948,1.510015075,1,"0,1"
baseline,57,1.538208399,1.543490106,1,"0,1"
prio,57,1.452733147,1.472929212,1,"0,1"
baseline,58,1.679629834,1.707999357,1,"0,1"
prio,58,1.449295346,1.452815834,1,"0,1"
baseline,59,1.653734054,1.657592145,1,"0,1"
prio,59,1.695888965,1.700788797,1,"0,1"
baseline,60,1.607351183,1.612521810,1,"0,1"
prio,60,1.494738662,1.511197692,1,"0,1"
baseline,61,1.560395733,1.575023830,1,"0,1"
prio,61,1.495219185,1.528108089,1,"0,1"
baseline,62,1.491956608,1.506474082,1,"0,1"
prio,62,1.452570142,1.473095007,1,"0,1"
baseline,63,1.612902371,1.660726460,1,"0,1"
prio,63,1.432589356,1.448605920,1,"0,1"
baseline,64,1.675149558,1.678808934,1,"0,1"
prio,64,1.446999622,1.463160531,1,"0,1"
baseline,65,1.586706057,1.645100061,1,"0,1"
prio,65,1.408299063,1.428225524,1,"0,1"
baseline,66,1.540283732,1.543629923,1,"0,1"
prio,66,1.396645110,1.406279061,1,"0,1"
baseline,67,1.609838238,1.656955732,1,"0,1"
prio,67,1.427384308,1.431357255,1,"0,1"
baseline,68,1.677369499,1.681169937,1,"0,1"
prio,68,1.427584759,1.459415768,1,"0,1"
baseline,69,1.559154266,1.579192559,1,"0,1"
prio,69,1.471458952,1.475482008,1,"0,1"
baseline,70,1.624397046,1.627929370,1,"0,1"
prio,70,1.461273036,1.487008680,1,"0,1"
baseline,71,1.599650454,1.608497678,1,"0,1"
prio,71,1.458386938,1.484062987,1,"0,1"
baseline,72,1.464377557,1.484742104,1,"0,1"
prio,72,1.501729209,1.527467530,1,"0,1"
baseline,73,1.634932198,1.646815992,1,"0,1"
prio,73,1.470166802,1.490147308,1,"0,1"
baseline,74,1.599737648,1.627267499,1,"0,1"
prio,74,1.441855378,1.467283093,1,"0,1"
baseline,75,1.496932313,1.527877934,1,"0,1"
prio,75,1.455297472,1.479704273,1,"0,1"
baseline,76,1.558970467,1.562630731,1,"0,1"
prio,76,1.412736396,1.427410444,1,"0,1"
baseline,77,1.591698854,1.611496479,1,"0,1"
prio,77,1.420712472,1.441137248,1,"0,1"
baseline,78,1.591997802,1.641264857,1,"0,1"
prio,78,1.409524943,1.429493701,1,"0,1"
baseline,79,1.489642067,1.493710913,1,"0,1"
prio,79,1.407573888,1.417210819,1,"0,1"
baseline,80,1.606376085,1.653353206,1,"0,1"
prio,80,1.430538685,1.437100617,1,"0,1"
baseline,81,1.603897205,1.607341263,1,"0,1"
prio,81,1.426298858,1.459244068,1,"0,1"
baseline,82,1.571663157,1.603829815,1,"0,1"
prio,82,1.429190838,1.478325663,1,"0,1"
baseline,83,1.526808323,1.541793682,1,"0,1"
prio,83,1.413830547,1.434707587,1,"0,1"
baseline,84,1.619918515,1.661846917,1,"0,1"
prio,84,1.421141438,1.435682466,1,"0,1"
baseline,85,1.511381806,1.514680572,1,"0,1"
prio,85,1.438478050,1.463494386,1,"0,1"
baseline,86,1.570056555,1.595322792,1,"0,1"
prio,86,1.411464708,1.415008463,1,"0,1"
baseline,87,1.540450661,1.544061944,1,"0,1"
prio,87,1.421777895,1.441861808,1,"0,1"
baseline,88,1.602775016,1.629270109,1,"0,1"
prio,88,1.414735217,1.434799902,1,"0,1"
baseline,89,1.584360815,1.587925834,1,"0,1"
prio,89,1.409634653,1.435091287,1,"0,1"
baseline,90,1.558725667,1.589358261,1,"0,1"
