program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.509834709,1.529803127,1,"0,1"
prio,0,1.422249894,1.447600540,1,"0,1"
baseline,1,1.563297232,1.607742536,1,"0,1"
prio,1,1.415244996,1.437113358,1,"0,1"
baseline,2,1.518142753,1.521774282,1,"0,1"
prio,2,1.420337151,1.440356339,1,"0,1"
baseline,3,1.559664005,1.590833609,1,"0,1"
prio,3,1.405947520,1.427427672,1,"0,1"
baseline,4,1.581943422,1.585341650,1,"0,1"
prio,4,1.408796983,1.428712307,1,"0,1"
baseline,5,1.488289038,1.492361018,1,"0,1"
prio,5,1.411811603,1.431715063,1,"0,1"
baseline,6,1.576265562,1.590851333,1,"0,1"
prio,6,1.418553031,1.449799171,1,"0,1"
baseline,7,1.488522979,1.492354356,1,"0,1"
prio,7,1.413075228,1.438888654,1,"0,1"
baseline,8,1.634931079,1.659452518,1,"0,1"
prio,8,1.423709522,1.449488117,1,"0,1"
baseline,9,1.535432077,1.559072995,1,"0,1"
prio,9,1.423778162,1.443926390,1,"0,1"
baseline,10,1.616096688,1.644015459,1,"0,1"
prio,10,1.421524333,1.425012931,1,"0,1"
baseline,11,1.598047159,1.618937911,1,"0,1"
prio,11,1.435908167,1.467058037,1,"0,1"
baseline,12,1.587913673,1.591714626,1,"0,1"
prio,12,1.426285339,1.457610240,1,"0,1"
baseline,13,1.429255648,1.440302080,1,"0,1"
prio,13,1.448330125,1.468305415,1,"0,1"
baseline,14,1.588413827,1.597160733,1,"0,1"
prio,14,1.443028883,1.462937242,1,"0,1"
baseline,15,1.561606889,1.587423591,1,"0,1"
prio,15,1.414725721,1.435133527,1,"0,1"
baseline,16,1.622715768,1.637627147,1,"0,1"
prio,16,1.454238059,1.486425146,1,"0,1"
baseline,17,1.439787331,1.467192304,1,"0,1"
prio,17,1.435195716,1.440052453,1,"0,1"
baseline,18,1.635090395,1.639276104,1,"0,1"
prio,18,1.432944588,1.458884064,1,"0,1"
baseline,19,1.536845629,1.568594126,1,"0,1"
prio,19,1.413728672,1.438401277,1,"0,1"
baseline,20,1.508090710,1.511750571,1,"0,1"
prio,20,1.436187954,1.450513198,1,"0,1"
baseline,21,1.555867374,1.567910900,1,"0,1"
prio,21,1.426040427,1.446512377,1,"0,1"
baseline,22,1.619126340,1.639327540,1,"0,1"
prio,22,1.444777625,1.470142751,1,"0,1"
baseline,23,1.439580539,1.459628303,1,"0,1"
prio,23,1.415334830,1.440779637,1,"0,1"
baseline,24,1.600101918,1.606941442,1,"0,1"
prio,24,1.422955056,1.443459104,1,"0,1"
baseline,25,1.510610160,1.547482092,1,"0,1"
prio,25,1.437872761,1.463910748,1,"0,1"
baseline,26,1.588723301,1.609470098,1,"0,1"
prio,26,1.426827762,1.457976708,1,"0,1"
baseline,27,1.497591124,1.504530634,1,"0,1"
prio,27,1.416831987,1.421195970,1,"0,1"
baseline,28,1.561176532,1.565046469,1,"0,1"
prio,28,1.442896377,1.463024628,1,"0,1"
baseline,29,1.610296402,1.662993206,1,"0,1"
prio,29,1.433754638,1.457735254,1,"0,1"
baseline,30,1.519762432,1.523902485,1,"0,1"
prio,30,1.465364546,1.485277984,1,"0,1"
baseline,31,1.537073026,1.590975334,1,"0,1"
prio,31,1.472050053,1.478190688,1,"0,1"
baseline,32,1.493672143,1.497549769,1,"0,1"
prio,32,1.430807286,1.441127319,1,"0,1"
baseline,33,1.586019560,1.627800077,1,"0,1"
prio,33,1.493204922,1.514504164,1,"0,1"
baseline,34,1.568036536,1.572048020,1,"0,1"
prio,34,1.496193236,1.511473338,1,"0,1"
baseline,35,1.769655149,1.793077430,1,"0,1"
prio,35,1.475544759,1.479207005,1,"0,1"
baseline,36,1.688023347,1.692692606,1,"0,1"
prio,36,1.438019442,1.453293467,1,"0,1"
baseline,37,1.669059880,1.689185740,1,"0,1"
prio,37,1.450409982,1.477328433,1,"0,1"
baseline,38,1.598766125,1.624340915,1,"0,1"
prio,38,1.453910946,1.484969367,1,"0,1"
baseline,39,1.618848044,1.630020949,1,"0,1"
prio,39,1.460865262,1.487416964,1,"0,1"
baseline,40,1.482414779,1.521018158,1,"0,1"
prio,40,1.502293194,1.523128497,1,"0,1"
baseline,41,1.552102209,1.555990513,1,"0,1"
prio,41,1.513681191,1.534193009,1,"0,1"
baseline,42,1.583914859,1.632678056,1,"0,1"
prio,42,1.452264341,1.472627276,1,"0,1"
baseline,43,1.707909991,1.711712494,1,"0,1"
prio,43,1.449083932,1.475897504,1,"0,1"
baseline,44,1.631302405,1.635425660,1,"0,1"
prio,44,1.423644646,1.427298341,1,"0,1"
baseline,45,1.605877906,1.609541485,1,"0,1"
prio,45,1.461752595,1.487486984,1,"0,1"
baseline,46,1.519496299,1.534627860,1,"0,1"
prio,46,1.459438193,1.491214768,1,"0,1"
baseline,47,1.530137678,1.553215129,1,"0,1"
prio,47,1.443878237,1.447702320,1,"0,1"
baseline,48,1.662762045,1.668877763,1,"0,1"
prio,48,1.486946995,1.508144802,1,"0,1"
baseline,49,1.601553173,1.606157069,1,"0,1"
prio,49,1.442959958,1.463139810,1,"0,1"
baseline,50,1.577868858,1.609182035,1,"0,1"
prio,50,1.441928915,1.462636747,1,"0,1"
baseline,51,1.609937346,1.624408652,1,"0,1"
prio,51,1.446920710,1.467369953,1,"0,1"
baseline,52,1.499900269,1.514599039,1,"0,1"
prio,52,1.436103563,1.450686277,1,"0,1"
baseline,53,1.574385447,1.578826348,1,"0,1"
prio,53,1.436112868,1.457352662,1,"0,1"
baseline,54,1.697622658,1.718215061,1,"0,1"
prio,54,1.458841897,1.485094124,1,"0,1"
baseline,55,1.641626882,1.672357999,1,"0,1"
prio,55,1.441932230,1.461890139,1,"0,1"
baseline,56,1.499732280,1.503883471,1,"0,1"
prio,56,1.440071396,1.460542080,1,"0,1"
baseline,57,1.625467936,1.667444702,1,"0,1"
prio,57,1.462061043,1.483300073,1,"0,1"
baseline,58,1.609231928,1.613130055,1,"0,1"
prio,58,1.434056507,1.453857809,1,"0,1"
