program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.353233011,0.378402053,1,"0,1"
prio,0,0.235006031,0.254982001,1,"0,1"
baseline,1,0.287976595,0.291439908,1,"0,1"
prio,1,0.233641979,0.237405927,1,"0,1"
baseline,2,0.287380805,0.290815953,1,"0,1"
prio,2,0.232493613,0.236118924,1,"0,1"
baseline,3,0.288825195,0.292648608,1,"0,1"
prio,3,0.234142975,0.265275252,1,"0,1"
baseline,4,0.328124717,0.333166095,1,"0,1"
prio,4,0.235105799,0.238582076,1,"0,1"
baseline,5,0.252629789,0.256030915,1,"0,1"
prio,5,0.234816488,0.238396494,1,"0,1"
baseline,6,0.249447763,0.252948121,1,"0,1"
prio,6,0.233424456,0.237032155,1,"0,1"
baseline,7,0.287838192,0.291369840,1,"0,1"
prio,7,0.236950513,0.245964868,1,"0,1"
baseline,8,0.300151921,0.317547043,1,"0,1"
prio,8,0.234539116,0.238433354,1,"0,1"
baseline,9,0.269558029,0.273209320,1,"0,1"
prio,9,0.234639902,0.238083893,1,"0,1"
baseline,10,0.289851731,0.293740303,1,"0,1"
prio,10,0.233291572,0.236640151,1,"0,1"
baseline,11,0.319524497,0.355754294,1,"0,1"
prio,11,0.235706615,0.257109816,1,"0,1"
baseline,12,0.284286386,0.287762796,1,"0,1"
prio,12,0.234609930,0.238155308,1,"0,1"
baseline,13,0.287169910,0.290858875,1,"0,1"
prio,13,0.235660332,0.239175017,1,"0,1"
baseline,14,0.275650149,0.279440944,1,"0,1"
prio,14,0.236068397,0.255867959,1,"0,1"
baseline,15,0.343692849,0.355412654,1,"0,1"
prio,15,0.233921290,0.237734763,1,"0,1"
baseline,16,0.250517173,0.254035205,1,"0,1"
prio,16,0.234533502,0.238281692,1,"0,1"
baseline,17,0.259083066,0.262716049,1,"0,1"
prio,17,0.235009364,0.238614856,1,"0,1"
baseline,18,0.291736099,0.295590437,1,"0,1"
prio,18,0.236162424,0.261657546,1,"0,1"
baseline,19,0.313470184,0.340211074,1,"0,1"
prio,19,0.235657535,0.239694951,1,"0,1"
baseline,20,0.290331998,0.293903613,1,"0,1"
prio,20,0.235978593,0.240318869,1,"0,1"
baseline,21,0.290353621,0.293914117,1,"0,1"
prio,21,0.234158211,0.237988805,1,"0,1"
baseline,22,0.314996764,0.329325360,1,"0,1"
prio,22,0.235225829,0.266427363,1,"0,1"
baseline,23,0.245723231,0.265794987,1,"0,1"
prio,23,0.234394630,0.238083540,1,"0,1"
baseline,24,0.288882472,0.292622302,1,"0,1"
prio,24,0.228022994,0.231629445,1,"0,1"
baseline,25,0.288890408,0.292603986,1,"0,1"
prio,25,0.232907239,0.236743345,1,"0,1"
baseline,26,0.319863277,0.345243413,1,"0,1"
prio,26,0.234784532,0.260468655,1,"0,1"
baseline,27,0.286189895,0.289919810,1,"0,1"
prio,27,0.230849824,0.234238107,1,"0,1"
baseline,28,0.252286034,0.255830230,1,"0,1"
prio,28,0.235161264,0.238750316,1,"0,1"
baseline,29,0.251726836,0.255354373,1,"0,1"
prio,29,0.235785263,0.255640633,1,"0,1"
baseline,30,0.354278370,0.371392717,1,"0,1"
prio,30,0.235052504,0.238997721,1,"0,1"
baseline,31,0.250075006,0.253451972,1,"0,1"
prio,31,0.229798370,0.233197590,1,"0,1"
baseline,32,0.283584716,0.287232755,1,"0,1"
prio,32,0.230750092,0.234221380,1,"0,1"
baseline,33,0.241481060,0.245064353,1,"0,1"
prio,33,0.237065844,0.257149059,1,"0,1"
baseline,34,0.276216976,0.312900768,1,"0,1"
prio,34,0.234537859,0.249717319,1,"0,1"
baseline,35,0.289455724,0.293079643,1,"0,1"
prio,35,0.233946314,0.237938113,1,"0,1"
baseline,36,0.289135812,0.292717799,1,"0,1"
prio,36,0.234662994,0.238147068,1,"0,1"
baseline,37,0.308284347,0.322724465,1,"0,1"
prio,37,0.235491843,0.266459145,1,"0,1"
baseline,38,0.251345998,0.276723729,1,"0,1"
prio,38,0.235892973,0.239565316,1,"0,1"
baseline,39,0.294460903,0.298310168,1,"0,1"
prio,39,0.234543783,0.238165518,1,"0,1"
baseline,40,0.290239660,0.293789687,1,"0,1"
prio,40,0.234735292,0.239444580,1,"0,1"
baseline,41,0.339976983,0.347655556,1,"0,1"
prio,41,0.234171601,0.238425649,1,"0,1"
baseline,42,0.251288151,0.254748915,1,"0,1"
prio,42,0.235411853,0.239108243,1,"0,1"
baseline,43,0.287003792,0.290626524,1,"0,1"
prio,43,0.235467785,0.238999621,1,"0,1"
baseline,44,0.291135687,0.294847047,1,"0,1"
prio,44,0.233926663,0.259510949,1,"0,1"
baseline,45,0.284807676,0.326473203,1,"0,1"
prio,45,0.235410619,0.247382423,1,"0,1"
baseline,46,0.287084689,0.290676847,1,"0,1"
prio,46,0.233718719,0.237306787,1,"0,1"
baseline,47,0.287676887,0.291244663,1,"0,1"
prio,47,0.235403295,0.239167368,1,"0,1"
baseline,48,0.299034003,0.330508851,1,"0,1"
prio,48,0.233822776,0.280869439,1,"0,1"
baseline,49,0.237731011,0.263096179,1,"0,1"
prio,49,0.234559565,0.238195120,1,"0,1"
baseline,50,0.242163990,0.245891378,1,"0,1"
prio,50,0.233579459,0.237129238,1,"0,1"
baseline,51,0.286283874,0.290122188,1,"0,1"
prio,51,0.222547248,0.225973410,1,"0,1"
baseline,52,0.293590079,0.307902010,1,"0,1"
prio,52,0.234408107,0.254424768,1,"0,1"
baseline,53,0.297249539,0.300526488,1,"0,1"
prio,53,0.234313641,0.238118509,1,"0,1"
baseline,54,0.272981346,0.276692893,1,"0,1"
prio,54,0.226602072,0.229927202,1,"0,1"
baseline,55,0.270165509,0.273849622,1,"0,1"
prio,55,0.235462131,0.239299478,1,"0,1"
baseline,56,0.322232983,0.347358186,1,"0,1"
prio,56,0.235412188,0.255618879,1,"0,1"
baseline,57,0.290810215,0.294685019,1,"0,1"
prio,57,0.235396697,0.239027293,1,"0,1"
baseline,58,0.261029757,0.264684338,1,"0,1"
prio,58,0.234277761,0.237916847,1,"0,1"
baseline,59,0.288971216,0.292642412,1,"0,1"
prio,59,0.236296296,0.246108965,1,"0,1"
baseline,60,0.389762283,0.404709365,1,"0,1"
prio,60,0.236374257,0.240028509,1,"0,1"
baseline,61,0.284580548,0.288140603,1,"0,1"
prio,61,0.233454029,0.236968723,1,"0,1"
baseline,62,0.288976312,0.292782256,1,"0,1"
prio,62,0.235035672,0.238768494,1,"0,1"
baseline,63,0.307544941,0.332911053,1,"0,1"
prio,63,0.234435970,0.265466631,1,"0,1"
baseline,64,0.272073442,0.291897967,1,"0,1"
prio,64,0.235139952,0.239072390,1,"0,1"
baseline,65,0.289777872,0.293440778,1,"0,1"
prio,65,0.236214358,0.239693943,1,"0,1"
baseline,66,0.288843143,0.292509560,1,"0,1"
prio,66,0.235538621,0.261167079,1,"0,1"
baseline,67,0.361429816,0.365404643,1,"0,1"
prio,67,0.234992515,0.238577957,1,"0,1"
baseline,68,0.284413623,0.288745093,1,"0,1"
prio,68,0.237160239,0.240700729,1,"0,1"
baseline,69,0.290038266,0.293679876,1,"0,1"
prio,69,0.234049584,0.237580439,1,"0,1"
baseline,70,0.285309657,0.305065621,1,"0,1"
prio,70,0.240077506,0.283973287,1,"0,1"
baseline,71,0.272912164,0.292867679,1,"0,1"
prio,71,0.236350654,0.240132048,1,"0,1"
baseline,72,0.302210155,0.305824965,1,"0,1"
prio,72,0.235830211,0.239599794,1,"0,1"
baseline,73,0.266512472,0.270286137,1,"0,1"
prio,73,0.235394232,0.239136410,1,"0,1"
baseline,74,0.315184779,0.340322029,1,"0,1"
prio,74,0.235434995,0.250000856,1,"0,1"
baseline,75,0.290378328,0.293849186,1,"0,1"
prio,75,0.236595101,0.240300569,1,"0,1"
baseline,76,0.289116829,0.292886383,1,"0,1"
prio,76,0.234665799,0.238325829,1,"0,1"
baseline,77,0.291916457,0.295523546,1,"0,1"
prio,77,0.241302214,0.255902698,1,"0,1"
baseline,78,0.320805233,0.339955522,1,"0,1"
prio,78,0.236974376,0.240582264,1,"0,1"
baseline,79,0.297015253,0.300633094,1,"0,1"
prio,79,0.234387118,0.238159945,1,"0,1"
baseline,80,0.272296506,0.275952395,1,"0,1"
prio,80,0.233688382,0.237282943,1,"0,1"
baseline,81,0.294682838,0.320288314,1,"0,1"
prio,81,0.234444689,0.279336432,1,"0,1"
