program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.226113010,0.229792724,1,"0,1"
prio,0,0.178905249,0.182698779,1,"0,1"
baseline,1,0.215650720,0.220954054,1,"0,1"
prio,1,0.176119314,0.179821789,1,"0,1"
baseline,2,0.172139678,0.175729229,1,"0,1"
prio,2,0.172996071,0.176794194,1,"0,1"
baseline,3,0.188900557,0.192471414,1,"0,1"
prio,3,0.177076917,0.201977429,1,"0,1"
baseline,4,0.239372126,0.287051533,1,"0,1"
prio,4,0.177101542,0.195736398,1,"0,1"
baseline,5,0.175651025,0.180927867,1,"0,1"
prio,5,0.169254666,0.172678697,1,"0,1"
baseline,6,0.176319326,0.180057898,1,"0,1"
prio,6,0.172241331,0.175841254,1,"0,1"
baseline,7,0.177652188,0.181187377,1,"0,1"
prio,7,0.162345637,0.166171964,1,"0,1"
baseline,8,0.184369320,0.188363118,1,"0,1"
prio,8,0.177738548,0.192415693,1,"0,1"
baseline,9,0.248761131,0.277339286,1,"0,1"
prio,9,0.177489718,0.197428770,1,"0,1"
baseline,10,0.164612560,0.168159926,1,"0,1"
prio,10,0.173108811,0.176650926,1,"0,1"
baseline,11,0.188033179,0.191899773,1,"0,1"
prio,11,0.174668909,0.178543844,1,"0,1"
baseline,12,0.184723668,0.188457841,1,"0,1"
prio,12,0.171701902,0.175282875,1,"0,1"
baseline,13,0.171985433,0.175799790,1,"0,1"
prio,13,0.170502199,0.174134893,1,"0,1"
baseline,14,0.231035141,0.256336333,1,"0,1"
prio,14,0.176426875,0.202121611,1,"0,1"
baseline,15,0.197305935,0.202698097,1,"0,1"
prio,15,0.176806025,0.180627850,1,"0,1"
baseline,16,0.218179294,0.221604513,1,"0,1"
prio,16,0.170652484,0.174201035,1,"0,1"
baseline,17,0.206017025,0.211050839,1,"0,1"
prio,17,0.175105732,0.178779262,1,"0,1"
baseline,18,0.209653019,0.213214611,1,"0,1"
prio,18,0.166465743,0.169897910,1,"0,1"
baseline,19,0.272946695,0.298157745,1,"0,1"
prio,19,0.176092639,0.185352679,1,"0,1"
baseline,20,0.172567937,0.176178729,1,"0,1"
prio,20,0.172304435,0.176052743,1,"0,1"
baseline,21,0.163034599,0.166487406,1,"0,1"
prio,21,0.174133781,0.177931852,1,"0,1"
baseline,22,0.171791892,0.175404609,1,"0,1"
prio,22,0.173379943,0.177251569,1,"0,1"
baseline,23,0.176336596,0.179985289,1,"0,1"
prio,23,0.169318517,0.173012888,1,"0,1"
baseline,24,0.252391055,0.266720740,1,"0,1"
prio,24,0.173156522,0.206465727,1,"0,1"
baseline,25,0.171596583,0.197059292,1,"0,1"
prio,25,0.176328436,0.180221902,1,"0,1"
baseline,26,0.192500860,0.196481511,1,"0,1"
prio,26,0.174940667,0.178696840,1,"0,1"
baseline,27,0.178329090,0.182145798,1,"0,1"
prio,27,0.175103216,0.178941641,1,"0,1"
baseline,28,0.184172199,0.187832463,1,"0,1"
prio,28,0.164920750,0.168595820,1,"0,1"
baseline,29,0.211652975,0.215109550,1,"0,1"
prio,29,0.174142557,0.199593000,1,"0,1"
baseline,30,0.218783894,0.255015367,1,"0,1"
prio,30,0.175798111,0.184989333,1,"0,1"
baseline,31,0.189874980,0.194816902,1,"0,1"
prio,31,0.167648782,0.171112863,1,"0,1"
baseline,32,0.176618445,0.181535727,1,"0,1"
prio,32,0.174945813,0.179086065,1,"0,1"
baseline,33,0.183332792,0.186991162,1,"0,1"
prio,33,0.166415359,0.169813680,1,"0,1"
baseline,34,0.160685550,0.164475437,1,"0,1"
prio,34,0.171418232,0.191045051,1,"0,1"
baseline,35,0.223073403,0.265011513,1,"0,1"
prio,35,0.177186177,0.197292463,1,"0,1"
baseline,36,0.177481646,0.181350481,1,"0,1"
prio,36,0.172947950,0.176670588,1,"0,1"
baseline,37,0.186098144,0.190018150,1,"0,1"
prio,37,0.175177582,0.179130327,1,"0,1"
baseline,38,0.175018564,0.178780397,1,"0,1"
prio,38,0.176139289,0.180371575,1,"0,1"
baseline,39,0.176248693,0.179871297,1,"0,1"
prio,39,0.167731633,0.171323609,1,"0,1"
baseline,40,0.249615690,0.269399450,1,"0,1"
prio,40,0.175203601,0.178924617,1,"0,1"
baseline,41,0.167686200,0.171520031,1,"0,1"
prio,41,0.173514106,0.176988738,1,"0,1"
baseline,42,0.202944036,0.206448874,1,"0,1"
prio,42,0.172910198,0.176563042,1,"0,1"
baseline,43,0.198488274,0.202066070,1,"0,1"
prio,43,0.174975921,0.178711736,1,"0,1"
baseline,44,0.187165196,0.190958747,1,"0,1"
prio,44,0.173481476,0.177209530,1,"0,1"
baseline,45,0.183585558,0.208936303,1,"0,1"
prio,45,0.175227572,0.230001638,1,"0,1"
baseline,46,0.189418210,0.216296188,1,"0,1"
prio,46,0.176778176,0.180502888,1,"0,1"
baseline,47,0.181812502,0.185370719,1,"0,1"
prio,47,0.176229260,0.180208793,1,"0,1"
baseline,48,0.190826431,0.194642951,1,"0,1"
prio,48,0.173499918,0.177157090,1,"0,1"
baseline,49,0.200192817,0.203970018,1,"0,1"
prio,49,0.176175192,0.179954605,1,"0,1"
baseline,50,0.214907179,0.234709691,1,"0,1"
prio,50,0.177222109,0.191422940,1,"0,1"
baseline,51,0.237613594,0.242833650,1,"0,1"
prio,51,0.169624657,0.173189126,1,"0,1"
baseline,52,0.161192020,0.166181934,1,"0,1"
prio,52,0.176365463,0.179963856,1,"0,1"
baseline,53,0.186531984,0.190294227,1,"0,1"
prio,53,0.174227931,0.177749275,1,"0,1"
baseline,54,0.188361320,0.192007975,1,"0,1"
prio,54,0.176762361,0.180921574,1,"0,1"
baseline,55,0.189272906,0.193022692,1,"0,1"
